Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
LICENSING,8270,SUBSCRIPTIONS,2012-10-01,3337397,ERS INVOICE72948,500,DVLA,364794,Unclassified Non Trade,CENTRAL GOVERNMENT
CLAIMS,8740,PUBLIC LIABILITY,2012-10-01,3337399,ERS INVOICE72950,18500.00,RUSSELL WORTH SOLICITORS,570211,Legal Services,SOLICITORS MARKETING SERVICES
LEP BUSINESS PLAN - W4,1194,OTHER FEES,2012-10-01,3336112,1024,5532.12,SHEFFIELD LEP LTD,482230,Unclassified Non Trade,LOCAL GOVERNMENT
VS - BUILDING COHESION,8180,GRANTS,2012-10-01,3337400,ERS INVOICE72951,2000.00,MENTAL HEALTH ACTION GROUP SHEFFIELD,332590,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-01,3337401,ERS INVOICE72952,1667.00,SHEFFIELD CHINESE SCHOOL,325468,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-01,3337402,ERS INVOICE72953,2222.00,SHEFFIELD WOMEN'S AID,321447,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-01,3337403,ERS INVOICE72954,2222.00,HAVEN HOUSE PROJECT,301587,Medical,COUNSELLING & ADVICE SERVICES
DISABLED GRANTS,1165,NC&A OTHER,2012-10-01,3337405,ERS INVOICE72956,2918.70,PRISM MEDICAL UK WESTHOLME DIVISION,209483,Medical,DISABILITY EQUIPMENT - MNFRS &
DISABLED GRANTS,1165,NC&A OTHER,2012-10-01,3337406,ERS INVOICE72957,5638.34,CLARK & PARTNERS LTD,203928,Medical,DISABILITY EQUIPMENT - MNFRS &
DISABLED GRANTS,1165,NC&A OTHER,2012-10-01,3337407,ERS INVOICE72958,4302.00,STANNAH LIFT SERVICES LTD.,208625,Social Community Care,STAIRLIFTS - MNFRS & INSTALLER
DISABLED GRANTS,1165,NC&A OTHER,2012-10-01,3337408,ERS INVOICE72959,3365.00,ABBEYDALE SHOWERS,302256,Construction,ELECTRICIANS & ELECTRICAL CONT
VS - INFRASTRUCTURE SUPPORT,8180,GRANTS,2012-10-01,3337411,ERS INVOICE72965,2222.00,REDACTED PERSONAL DATA,503588,Social Community Care,HOME CARE SERVICES
VS - INFRASTRUCTURE SUPPORT,8180,GRANTS,2012-10-01,3337412,ERS INVOICE72966,1667.00,BUSINESS IN THE COMMUNITY,304358,Human Resources,BUSINESS & TRADE ORGANISATIONS
DSG MANAGEMENT REVIEWS,8460,CONSULTANTS FEES,2012-10-01,3337420,ERS INVOICE72976,5055.20,MR TONY DESSENT,524993,Unclassified Non Trade,LOCAL GOVERNMENT
STATUTORY VALUATION,4390,OTHER RENT INCOME,2012-10-01,3337537,ERS INVOICE72994,2125.00,OUGHTIBRIDGE PRIMARY SCHOOL,506704,Unclassified Non Trade,SCHOOLS - LOCAL AUTHORITY
COMMERCIAL ESTATE,6210,RENTS,2012-10-01,3337538,ERS INVOICE72995,2210.00,H M REVENUE & CUSTOMS STAMP DUTY,528263,Unclassified Non Trade,CENTRAL GOVERNMENT
CLAIMS,8740,PUBLIC LIABILITY,2012-10-01,3337541,ERS INVOICE72998,12000.00,REDACTED PERSONAL DATA,562294,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
COMMUNITY ASSEMBLY EAST,9120,OTHER AGENCIES,2012-10-01,3337542,ERS INVOICE72999,500,HEELEY CITY FARM,301277,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
COMMUNITY ASSEMBLY EAST,9120,OTHER AGENCIES,2012-10-01,3337543,ERS INVOICE73000,1000.00,MANOR BOXING CLUB,573024,Leisure Services,SPORTS CLUBS & ASSOCIATIONS
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-10-01,3337548,ERS INVOICE73006,6762.75,SPRINT TRAINING LTD,375572,Human Resources,TRAINING SERVICES
COMPLEX NEEDS,5010,GENERAL BASIC PAY,2012-10-01,3309541,2100072830,1437.18,SHEFFIELD HEALTH AND SOCIAL CARE,336425,Unclassified Non Trade,HEALTH AUTHORITIES
COMPLEX NEEDS,5010,GENERAL BASIC PAY,2012-10-01,3309545,2100072831,1437.18,SHEFFIELD HEALTH AND SOCIAL CARE,336425,Unclassified Non Trade,HEALTH AUTHORITIES
