Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No,Proclass Details Level 1,Thomson Classification Description
"FAMILIES, ADOPTERS & CARERS TE",5750,TRAINING EXPENDITURE,2013-01-02,3387125,2100147654,3200.00,SHEFFIELD CHILDRENS HOSPITAL NHS  TRUST,332785,Unclassified Non Trade,HOSPITALS
ALDINE HOUSE,5610,AGENCY STAFF,2013-01-02,3387149,781492,587.1,TEACHING PERSONNEL,410695,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
SCHOOL MEALS,8140,GROCERIES,2013-01-02,3387492,ERS INVOICE77333,323.99,PIT STOP,317086,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
STRENGTHENING PUBLIC HEALTH,8180,GRANTS,2013-01-02,3387498,ERS INVOICE77339,16000.00,COMMUNITY LEGAL ADVICE SERVICE,472004,Legal Services,LEGAL SERVICES
STRENGTHENING PUBLIC HEALTH,8180,GRANTS,2013-01-02,3387499,ERS INVOICE77340,14000.00,SOUTH YORKSHIRE ENERGY CENTRE,529715,Consultancy,ENERGY CONSERVATION CONSULTANT
AFFORDABLE HOUSING,8440,FEE EXPENSES,2013-01-02,3387501,ERS INVOICE77342,1884.00,REDACTED PERSONAL DATA,575749,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
PARENT REIMBURSEMENTS,7060,EXTERNAL VEHICLE HIRE,2013-01-02,3387503,ERS INVOICE77344,267.3,REDACTED PERSONAL DATA,501295,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CLAIMS,8740,PUBLIC LIABILITY,2013-01-02,3387520,ERS INVOICE77362,7162.50,REDACTED PERSONAL DATA,576666,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
COMMUNITY ASSEMBLY CENTRAL,9120,OTHER AGENCIES,2013-01-02,3387528,ERS INVOICE77370,1200.00,FRIENDS OF PRIMROSE CHILDREN'S CENTRE,547270,Social Community Care,CHILDREN'S ACTIVITY CENTRES
DSG MANAGEMENT REVIEWS,8460,CONSULTANTS FEES,2013-01-02,3387529,ERS INVOICE77371,9310.40,MR TONY DESSENT,524993,Unclassified Non Trade,LOCAL GOVERNMENT
CORONIAL SERVICES,8440,PATHOLOGIST INVOICE,2013-01-02,3387532,ERS INVOICE77374,595.9,DR NAOMI CARTER,554404,Medical,DOCTORS
CORONIAL SERVICES,8440,PATHOLOGIST INVOICE,2013-01-02,3387533,ERS INVOICE77375,1645.60,DR MINI C VARGHESE,567541,Medical,DOCTORS
SAFETY CAMERAS A61,1194,OTHER FEES,2013-01-02,3352000,49074,681.86,HALDO DEVELOPMENTS LIMITED,537728,Traffic Management,TRAFFIC MANAGEMENT SYSTEMS
P&TC STAFFING,8490,OTHER PROFESSIONAL FEES,2013-01-02,3363119,10279,250,COLLINS-DONNELLY CONSULTANCY,504223,Human Resources,TRAINING CONSULTANTS
ON STREET CAR PARKING,8030,EQUIPMENT MAINTENANCE CONTRACT,2013-01-02,3363134,109733,10889.57,METRIC GROUP LIMITED,460092,Construction,ACCESS EQUIPMENT
ON STREET CAR PARKING,8030,EQUIPMENT MAINTENANCE CONTRACT,2013-01-02,3366070,109817,336.96,METRIC GROUP LIMITED,460092,Construction,ACCESS EQUIPMENT
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2013-01-02,3370473,8464,17522.00,TRADE GARAGE EQUIPMENT LTD,564495,Vehicles Not Buses,CAR BODY REPAIRS
RANGERS (MANAGER),5750,TRAINING EXPENDITURE,2013-01-02,3375592,1100001810,600,CITY & GUILDS,298137,Education,EXAMINATION BOARDS
WOOD LANE,8060,MATERIALS AND SUPPLIES GENERAL,2013-01-02,3375929,494,2700.00,NORTH SHEFFIELD CONSERVATION GROUP,310661,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
ENERGY -SCHEME,6190,WATER SERVICES-INVOICED,2013-01-02,3376126,800686764,34485.51,YORKSHIRE WATER,534807,Utilities,WATER COMPANIES
CAPABILITY & DEVELOPMENT,8060,MATERIALS AND SUPPLIES GENERAL,2013-01-02,3376725,42981,315.15,QUALSAFE LIMITED,441282,Human Resources,FIRST AID TRAINING
SANCTUARY SCHEME,8060,MATERIALS AND SUPPLIES GENERAL,2013-01-02,3377755,71210,500,SENTRY DOORS LTD.,208307,Building Construction Materials,DOOR MANUFACTURERS - INDUSTRIA
LAND DRAINAGE & FLOOD MGMT,8440,FEE EXPENSES,2013-01-02,3378364,4763,390,ENVIRONMENTAL DRAINAGE SOLUTIONS LTD,373384,Environmental Services,DRAINAGE CONTRACTORS
FOSTERING DEVELOPMENT,8420,ADVERTISING AND PUBLICITY,2013-01-02,3378982,54287,1130.40,REGIONAL MAGAZINE COMPANY LIMITED,326282,Education,PUBLISHERS
