Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No,Proclass Details Level 1,Thomson Classification Description
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761979,J1044086 040115,261.00,REDACTED PERSONAL DATA,332870,,HOME CARE SERVICES
ON STREET CAR PARKING,4190,RESIDENTS PARKING PERMITS,2015-01-02,3762112,ERS INVOICE112155,432.00,REDACTED PERSONAL DATA,618591,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
RGF 4,8440,FEE EXPENSES,2015-01-02,3762113,ERS INVOICE112156,29231.08,YELLOW ARCH STUDIOS LTD,511706,,MUSIC PUBLISHERS
OFF STREET CAR PARKS,6210,RENTS,2015-01-02,3748922,S0010944,32500.00,HOMES & COMMUNITIES AGENCY,320560,,DEVELOPMENT AGENCIES
CAR PARKING MANAGEMENT,8540,SECURITY SERVICES,2015-01-02,3750526,R141130-42,3338.54,COBALT TELEPHONE TECHNOLOGIES LTD,525994,,COMPUTER SYSTEMS & SOFTWARE (D
CAR PARKING MANAGEMENT,6030,REPAIRS AND MTCE - RESPONSIVE,2015-01-02,3756153,11414,780.00,ELITE SECURITY SYSTEMS,445002,,SECURITY SERVICES
SUPPORTED HOUSING,8050,FURNITURE PURCHASES,2015-01-02,3758734,TK109354,499.00,THOMAS KNEALE & CO. LTD.,441585,,"BEDS, BEDDING & BLANKETS"
SUPPORTED HOUSING,8050,FURNITURE PURCHASES,2015-01-02,3758770,TK109344,7293.54,THOMAS KNEALE & CO. LTD.,441585,,"BEDS, BEDDING & BLANKETS"
SUPPORTED HOUSING,8050,ELECTRICAL GOODS,2015-01-02,3760754,CMD2479809,377.50,DOMESTIC APPLIANCE DISTRIBUTORS,527171,,ELECTRICAL GOODS - SALES
PARTNERSHIP & GRANT AID MH,9160,PARTNERSHIP CONTRACTS,2015-01-02,3760984,455,7425.00,SHEFFIELD CITIZENS ADVICE AND LAW CENTRE,588762,,COUNSELLING & ADVICE SERVICES
INCOME MANAGEMENT,9140,CO-OP RENT PAYMENT CARDS,2015-01-02,3761267,10221,600.49,PSC SYSTEMS,525464,,DIRECT MAIL
KENNELLING,8010,EQUIPMENT PURCHASE AND REPAIR,2015-01-02,3761277,11880,292.00,ROBERT ACTON PRODUCT DEVELOPMENTS/BAGO,514101,,CLEANING CONTRACTORS EQUIPMENT
OTHER REPAIRS & FEES,6030,REPAIRS TO TENANTED PROPERTIES,2015-01-02,3761301,15688,350.00,AMBER VALLEY WATER SERVICES,386647,,WATER TREATMENT EQUIPMENT & SE
MEDICO LEGAL CENTRE,5750,TRAINING EXPENDITURE,2015-01-02,3761305,2605190,1233.86,PULSE HEALTHCARE LIMITED,616685,,EMPLOYMENT & RECRUITMENT AGENC
AREA NORTH,8560,GOING LOCAL,2015-01-02,3761429,6966,346.00,DIO-MET FABRICATIONS LTD,393119,,ARCHITECTURAL IRONMONGERS
MEDICO LEGAL CENTRE,5750,TRAINING EXPENDITURE,2015-01-02,3761466,2612479,1001.22,PULSE HEALTHCARE LIMITED,616685,,EMPLOYMENT & RECRUITMENT AGENC
BRINDLEY CARS,7060,EXTERNAL VEHICLE HIRE,2015-01-02,3761846,32359,1289.96,SHEFFIELD COMMUNITY TRANSPORT (WORKSHOP),297061,,CHARITIES & VOLUNTARY ORGANISA
OTHER REPAIRS & FEES,6030,OTHER RESPONSIVE REPAIRS,2015-01-02,3761865,MAL-IN14515,324.78,MICRO ALARMS LTD,206861,,SECURITY EQUIPMENT INSTALLERS
BRINDLEY CARS,7060,EXTERNAL VEHICLE HIRE,2015-01-02,3761866,32360,1486.03,SHEFFIELD COMMUNITY TRANSPORT (WORKSHOP),297061,,CHARITIES & VOLUNTARY ORGANISA
ALDINE HOUSE,6030,REPAIRS AND MTCE - RESPONSIVE,2015-01-02,3761906,210945134,423.62,MITIE TFM LTD,370338,,FACILITIES MANAGEMENT
STANIFORTH ROAD WORKSHOPS,8110,"CLOTHING, UNIFORM AND LAUNDRY",2015-01-02,3761944,SN1892250,271.08,BERENDSEN UK LTD,330548,,LINEN HIRE SERVICES
SHEFFIELD FIRST PARTNERSHIP,8240,CONFERENCE EXPENSES,2015-01-02,3761950,8758,350.00,ELECTRIC WORKS,512542,,BUSINESS CENTRES
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-01-02,3762055,A9980103865,4358.02,ATS EUROMASTER LTD,545966,,TYRE DEALERS
SEN TAXIS,7060,EXTERNAL VEHICLE HIRE,2015-01-02,3762074,78607,4201.20,DIAL A CAB,598412,,TAXIS & PRIVATE HIRE
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-01-02,3761933,14877,449.53,RODDISONS RECOVERY,517591,,COMMERCIAL VEHICLE BREAKDOWN &
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-01-02,3761939,8457,902.84,GPG 2000 LTD,416225,,CAR BODY REPAIRS
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-01-02,3761946,8477,584.50,GPG 2000 LTD,416225,,CAR BODY REPAIRS
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-01-02,3761947,8458,370.00,GPG 2000 LTD,416225,,CAR BODY REPAIRS
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761968,J1044075 040115,261.00,REDACTED PERSONAL DATA,328030,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761969,J1044076 040115,261.00,REDACTED PERSONAL DATA,206291,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761970,J1044077 040115,550.00,REDACTED PERSONAL DATA,328070,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761971,J1044078 040115,261.00,REDACTED PERSONAL DATA,328077,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761972,J1044079 040115,797.00,REDACTED PERSONAL DATA,408112,,HOME CARE SERVICES
PURCHASING,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761973,J1044080 040115,261.00,REDACTED PERSONAL DATA,328091,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761973,J1044080 040115,261.00,REDACTED PERSONAL DATA,328091,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761974,J1044081 040115,261.00,REDACTED PERSONAL DATA,328101,,HOME CARE SERVICES
PURCHASING,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761974,J1044081 040115,265.00,REDACTED PERSONAL DATA,328101,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761975,J1044082 040115,261.00,REDACTED PERSONAL DATA,436605,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761976,J1044083 040115,261.00,REDACTED PERSONAL DATA,594718,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761977,J1044084 040115,550.00,REDACTED PERSONAL DATA,369406,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761978,J1044085 040115,275.00,REDACTED PERSONAL DATA,208144,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761980,J1044087 040115,275.00,REDACTED PERSONAL DATA,333138,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761981,J1044088 040115,463.70,REDACTED PERSONAL DATA,333307,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761982,J1044089 040115,261.00,REDACTED PERSONAL DATA,333400,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761983,J1044090 040115,261.00,REDACTED PERSONAL DATA,501798,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761984,J1044091 040115,261.00,REDACTED PERSONAL DATA,328095,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761985,J1044092 040115,261.00,REDACTED PERSONAL DATA,526062,,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761986,J1044093 040115,261.00,REDACTED PERSONAL DATA,553116,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761987,J1044073 040115,261.00,REDACTED PERSONAL DATA,596745,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2015-01-02,3761988,J1044074 040115,811.00,REDACTED PERSONAL DATA,332448,,HOME CARE SERVICES
PURCHASING,9190,DIRECT PAYMENTS,2015-01-02,3761991,J1044613,990.00,REDACTED PERSONAL DATA,556296,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2015-01-02,3761992,J1044613,2920.29,REDACTED PERSONAL DATA,562178,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-02,3761992,J1044613,701.05,REDACTED PERSONAL DATA,562178,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2015-01-02,3761993,J1044613,1206.87,REDACTED PERSONAL DATA,571344,Social Community Care,CAREFIRST DIRECT PAYMENTS
PDSI PURCHASING,9190,DIRECT PAYMENTS,2015-01-02,3761994,J1044613,389.60,REDACTED PERSONAL DATA,571404,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2015-01-02,3761995,J1044613,1224.16,THE ROWAN ORGANISATION MANAGED ACCOUNTS,585750,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2015-01-02,3761997,J1044613,1870.33,REDACTED PERSONAL DATA,618938,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARELEAVER SUPPORT,9440,CARELEAVERS,2015-01-02,3762013,PTC2753P,796.66,REDACTED PERSONAL DATA,547777,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARELEAVER SUPPORT,9440,CARELEAVERS,2015-01-02,3762015,PTC2754P,873.32,REDACTED PERSONAL DATA,573956,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CARELEAVER SUPPORT,9440,CARELEAVERS,2015-01-02,3762019,PTC31704P,570.00,REDACTED PERSONAL DATA,618981,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
