Body Name,Portfolio,Organisation Code,Org Code Description,Object Code,Object Code Description,GL Date,Invoice No,Value,Supplier,Category,Category Description,Supplier No
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2016-01-03,42359,3750.00,ASPERGERS CHILDREN & CARERS TOGETHER,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2016-01-03,18289/SUS,931.50,UNIVERSITY OF SHEFFIELD,,UNIVERSITIES & MEDICAL SCHOOLS,
SHEFFIELD CITY COUNCIL,CYPF,39147,PREVENTION & SUPPORT - CDT,9270,CARELEAVERS INDEPENDENT LIVING,2016-01-03,1005999214,600.00,HAYS PERSONNEL,,EMPLOYMENT & RECRUITMENT AGENC,
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2016-01-03,INV.T00997,4035.00,THE ADSETTS PARTNERSHIP C/O AUTISM PLUS,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2016-01-03,AMY2312,1990.59,AMY'S HOUSE LTD,,CHARITIES & VOLUNTARY ORGANISA,
SHEFFIELD CITY COUNCIL,CYPF,33050,CONSTRUCTION DESIGN CENTRE,9120,OTHER AGENCIES,2016-01-04,ERS INVOICE131084,663.00,BARNBOW PROPERTY SERVICES,,PROPERTY & ESTATE MANAGEMENT,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49466,REGISTRATION & REGULATION,4080,FEES & CHARGES,2016-01-04,ERS INVOICE131090,335.00,DOVE PROPERTIES AND ESTATES LTD,,LETTING AGENTS,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49701,SOUTH EAST,8180,GRANTS,2016-01-04,ERS INVOICE131093,980.81,SPA VIEW COMMUNITY CHURCH,,PLACES OF WORSHIP,
SHEFFIELD CITY COUNCIL,CYPF,33114,POST 16 LDD DELIVERY 15 16,9120,OTHER AGENCIES,2016-01-04,ERS INVOICE131094,528.00,REDACTED PERSONAL DATA,,EDUCATIONAL SERVICES,
SHEFFIELD CITY COUNCIL,CYPF,33114,POST 16 LDD DELIVERY 15 16,9120,OTHER AGENCIES,2016-01-04,ERS INVOICE131095,594.00,REDACTED PERSONAL DATA,,EDUCATIONAL SERVICES,
