Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No,Proclass Details Level 1,Thomson Classification Description
STRUCTURES,8460,CONSULTANTS FEES,2013-07-01,3478549,12682,831.81,REDACTED PERSONAL DATA,565073,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD COMMUNITY NETWORK,9120,OTHER AGENCIES,2013-07-01,3478972,ERS INVOICE85908,6620.95,COMMUNITY MEDIA SOLUTIONS LIMITED,558337,Unclassified Trade,BROADCASTING SERVICES
SHEFFIELD COMMUNITY NETWORK,9120,OTHER AGENCIES,2013-07-01,3478973,ERS INVOICE85909,3303.75,SERO CONSULTING LTD,434360,Consultancy,BUSINESS & MANAGEMENT CONSULTA
COUNCIL HOMES NEW BUILD PROG,1141,PURCHASE OF BUILDINGS,2013-07-01,3478975,ERS INVOICE85911,1639575.00,ATHERTON GODFREY SOLICITORS,527436,Legal Services,SOLICITORS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-07-01,3478977,ERS INVOICE85913,390.90,CARTER BROWN ASSOCIATES LTD,417243,Medical,PSYCHOLOGISTS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-07-01,3478980,ERS INVOICE85917,421.20,CARTER BROWN ASSOCIATES LTD,417243,Medical,PSYCHOLOGISTS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-07-01,3478981,ERS INVOICE85918,894.74,CARTER BROWN ASSOCIATES LTD,417243,Medical,PSYCHOLOGISTS
CITY DEAL,9120,OTHER AGENCIES,2013-07-01,3475022,SINV.27676,5391.00,CHESTERFIELD COLLEGE,317687,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
CITY DEAL,9120,OTHER AGENCIES,2013-07-01,3475025,SINV.27677,5391.00,CHESTERFIELD COLLEGE,317687,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
"LIASON, DE-ESCALATION & GOV SE",8270,SUBSCRIPTIONS,2013-07-01,3475666,13-058MG,467.25,LEARNING POOL LIMITED,535432,Education,E-LEARNING
PROVIDER CONTRACT AUG12-JUL13,9120,OTHER AGENCIES,2013-07-01,3478317,WCF12B035,565.00,WOODHOUSE & DISTRICT COMMUNITY FORUM,482835,Unclassified Non Trade,COMMUNITY PROJECTS
CORPORATE PARENTING,9120,OTHER AGENCIES,2013-07-01,3478333,29229,30659.91,NATIONAL YOUTH ADVOCACY SERVICE,546945,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PARKHILL DEMOLITION SHM (STH),1143,COMPENSATION,2013-07-01,3478989,ERS INVOICE85927,4700.00,REDACTED PERSONAL DATA,584498,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
PCASS DRUG SERVICES,8350,MISCELLANEOUS EXPENSES,2013-07-01,3470160,13742,1540.00,HOME HEALTH UK LTD,583481,Unclassified Non Trade,PUBLIC HEALTH SUPPLIERS
PCASS DRUG SERVICES,8350,MISCELLANEOUS EXPENSES,2013-07-01,3470161,13746,1181.75,HOME HEALTH UK LTD,583481,Unclassified Non Trade,PUBLIC HEALTH SUPPLIERS
PCASS DRUG SERVICES,8350,MISCELLANEOUS EXPENSES,2013-07-01,3470162,13928,1540.00,HOME HEALTH UK LTD,583481,Unclassified Non Trade,PUBLIC HEALTH SUPPLIERS
PCASS DRUG SERVICES,8350,MISCELLANEOUS EXPENSES,2013-07-01,3470165,13964,1181.75,HOME HEALTH UK LTD,583481,Unclassified Non Trade,PUBLIC HEALTH SUPPLIERS
PCASS DRUG SERVICES,8350,MISCELLANEOUS EXPENSES,2013-07-01,3470166,14150,770.00,HOME HEALTH UK LTD,583481,Unclassified Non Trade,PUBLIC HEALTH SUPPLIERS
GRENOSIDE GRANGE,6270,SERVICE / PFI UNITARY CHARGE,2013-07-01,3470487,2100079302,6717.00,SHEFFIELD CARE TRUST (SP),366826,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SWIMMING DEVELOPMENT,6280,HIRE OF PREMISES,2013-07-01,3471221,3027441,6674.87,PONDS FORGE,320223,Leisure Services,LEISURE & RECREATION CENTRES
AQUATICS SQUADS,6280,HIRE OF PREMISES,2013-07-01,3471237,3027446,1402.40,PONDS FORGE,320223,Leisure Services,LEISURE & RECREATION CENTRES
CLAIMS,8740,HIGHWAYS,2013-07-01,3478987,ERS INVOICE85925,3450.00,REDACTED PERSONAL DATA,584677,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3478943,ERS INVOICE85872,284.70,REDACTED PERSONAL DATA,584346,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3478952,ERS INVOICE85881,372.84,WM GREGORY,209574,Unclassified Trade,PROPERTY & ESTATE MANAGEMENT
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-07-01,3478955,ERS INVOICE85884,933.04,CARTER BROWN ASSOCIATES LTD,417243,Medical,PSYCHOLOGISTS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-07-01,3478956,ERS INVOICE85885,267.14,CARTER BROWN ASSOCIATES LTD,417243,Medical,PSYCHOLOGISTS
CLAIMS,8740,HIGHWAYS,2013-07-01,3478959,ERS INVOICE85888,480.00,DEPARTMENT FOR WORK & PENSIONS,326920,Unclassified Non Trade,CENTRAL GOVERNMENT
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-07-01,3478960,ERS INVOICE85889,316.67,DR M LAXTON-KANE,530523,Medical,DOCTORS
VSP DELIVER,9120,OTHER AGENCIES,2013-07-01,3478963,ERS INVOICE85893,1143.00,WHIRLOW HALL FARM TRUST LTD,318019,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VSP DELIVER,9120,OTHER AGENCIES,2013-07-01,3478964,ERS INVOICE85894,2215.68,THE SHEFFIELD COLLEGE,297611,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
VSP DELIVER,9120,OTHER AGENCIES,2013-07-01,3478965,ERS INVOICE85896,635.00,WHIRLOW HALL FARM TRUST LTD,318019,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VSP DELIVER,9140,PRIVATE CONTRACTORS,2013-07-01,3478966,ERS INVOICE85897,750.00,A MIND APART THEATRE COMPANY LTD,508180,Education,DRAMA SCHOOLS
VSP DELIVER,9140,PRIVATE CONTRACTORS,2013-07-01,3478967,ERS INVOICE85898,1492.25,NACRO,297575,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VSP DELIVER,9140,PRIVATE CONTRACTORS,2013-07-01,3478968,ERS INVOICE85900,2159.00,SHEFFIELD TEACHING HOSPITALS NHS TRUST,299675,Unclassified Non Trade,HOSPITALS - POST MORTEM
VSP DELIVER,9140,PRIVATE CONTRACTORS,2013-07-01,3478969,ERS INVOICE85901,2063.32,THE SHEFFIELD COLLEGE,297611,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
SHEFFIELD COMMUNITY NETWORK,9120,OTHER AGENCIES,2013-07-01,3478970,ERS INVOICE85906,7286.56,CULTURAL INDUSTRIES QUARTER AGENCY,318230,Unclassified Non Trade,DEVELOPMENT AGENCIES
SHEFFIELD COMMUNITY NETWORK,9120,OTHER AGENCIES,2013-07-01,3478971,ERS INVOICE85907,3722.13,COMMUNITY MEDIA ASSOCIATION,562477,Unclassified Non Trade,COMMUNITY PROJECTS
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479236,ERS INVOICE85938,596.60,MR TITUS ABAYOMI,538681,Unclassified Trade,LETTING AGENTS
DISABLED GRANTS,1165,NC&A OTHER,2013-07-01,3479241,ERS INVOICE85944,2802.00,ABLE BATHING & BUILDING CONTRACTORS,503765,Construction,BUILDERS
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479242,ERS INVOICE85945,276.90,REDACTED PERSONAL DATA,584589,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479245,ERS INVOICE85948,603.20,REDACTED PERSONAL DATA,584585,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479257,ERS INVOICE85960,284.31,SOUTH YORKSHIRE HOUSING,564831,Social Community Care,CAREFIRST DIRECT PAYMENTS
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479258,ERS INVOICE85961,312.78,SOUTH YORKSHIRE HOUSING,564831,Social Community Care,CAREFIRST DIRECT PAYMENTS
DISABLED GRANTS,1165,NC&A OTHER,2013-07-01,3479262,ERS INVOICE85965,3909.00,STANNAH LIFT SERVICES LTD.,208625,Social Community Care,STAIRLIFTS - MNFRS & INSTALLER
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479265,ERS INVOICE85968,758.20,REDACTED PERSONAL DATA,583315,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
VSP DELIVER,9140,PRIVATE CONTRACTORS,2013-07-01,3479266,ERS INVOICE85969,1125.00,THE SHEFFIELD COLLEGE,297611,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
VSP DELIVER,9140,PRIVATE CONTRACTORS,2013-07-01,3479267,ERS INVOICE85970,1968.75,THE SHARKS,540033,Leisure Services,SPORTS CLUBS & ASSOCIATIONS
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479269,ERS INVOICE85972,387.79,REDACTED PERSONAL DATA,584653,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479271,ERS INVOICE85974,627.90,REDACTED PERSONAL DATA,584643,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
VSP DELIVER,9140,PRIVATE CONTRACTORS,2013-07-01,3479272,ERS INVOICE85975,1984.38,MANOR AND CASTLE DEVELOPMENT TRUST,486881,Unclassified Non Trade,YOUTH ORGANISATIONS & CENTRES
VSP DELIVER,9120,OTHER AGENCIES,2013-07-01,3479273,ERS INVOICE85976,2120.07,THE SHEFFIELD COLLEGE,297611,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479278,ERS INVOICE85981,500.00,REDACTED PERSONAL DATA,578564,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479360,ERS INVOICE86063,261.95,YORKSHIRE METROPOLITAN H A LTD,447611,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2013-07-01,3479362,ERS INVOICE86065,269.75,GUINNESS NORTHERN COUNTIES HOUSING,504343,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
