Body Name,Organisational Unit,Business Unit No.,Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
SHEFFIELD CITY COUNCIL,CYPF,39284,INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2017-01-09,4135420,26999,3120.04,REDACTED PERSONAL DATA,521940,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,PLACE,97551,COUNCIL HSG ACQUISITIONS PROG,1194,OTHER FEES,2017-01-03,4132848,ERS INVOICE148470,85000.00,LAMBERT PUGH LLP,624659,,SOLICITORS
SHEFFIELD CITY COUNCIL,CYPF,36034,PARENT REIMBURSEMENTS,7060,EXTERNAL VEHICLE HIRE,2017-01-03,4132850,ERS INVOICE148472,383.40,REDACTED PERSONAL DATA,532597,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,RESOURCES,19347,CLAIMS,8740,EMPLOYERS LIABILITY,2017-01-03,4132861,ERS INVOICE148485,50000.00,THOMPSONS CLIENT ACCOUNT,505870,,SOLICITORS
SHEFFIELD CITY COUNCIL,RESOURCES,19347,CLAIMS,8740,PUBLIC LIABILITY,2017-01-03,4132862,ERS INVOICE148486,942.80,IRWIN MITCHELL,533882,,SOLICITORS
SHEFFIELD CITY COUNCIL,CYPF,36034,PARENT REIMBURSEMENTS,7060,EXTERNAL VEHICLE HIRE,2017-01-03,4132870,ERS INVOICE148494,349.60,REDACTED PERSONAL DATA,639067,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,38004,BUS PASSES HARDSHIP FUND,9120,OTHER AGENCIES,2017-01-03,4132871,ERS INVOICE148495,300.00,PLACES FOR PEOPLE INDIVIDUAL SUPPORT(SP),351159,,HOME SUPPORT SERVICES
SHEFFIELD CITY COUNCIL,CYPF,38004,BUS PASSES HARDSHIP FUND,9120,OTHER AGENCIES,2017-01-03,4132872,ERS INVOICE148496,885.00,SYHA LTD,385143,,"HOUSING ASSOCIATIONS, SOCIETIE"
SHEFFIELD CITY COUNCIL,COMMUNITIES,49704,CENTRAL,8180,GRANTS,2017-01-03,4132945,ERS INVOICE148499,250.00,393 CLUB,597887,,"CLUBS & ASSOCIATIONS - SOCIAL,"
SHEFFIELD CITY COUNCIL,CYPF,38208,0-4 HEALTHY WEIGHT SERVICE,5750,TRAINING EXPENDITURE,2017-01-03,4132946,ERS INVOICE148500,350.00,JULIE ROBERTS -TRAINING,632115,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,49352,AREA NORTH,8560,HOUSING AREA CONSULT ALLOWANCE,2017-01-03,4079694,90546676,329.21,AMEY LG LTD,578587,,ROAD CONSTRUCTION CONTRACTORS
