Authority Name,Date of Payment,Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Descripition
Salford City Council,2014-05-16,601110872,23863.57,3977.26,19886.31,Ph Jones Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-08,601112592,9000.00,0.00,9000.00,Salford Community Leisure Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-05-08,601112593,20209.00,0.00,20209.00,Salford Community Leisure Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-05-02,601112846,4700.00,0.00,4700.00,Sheldon Davidson Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-27,601113090,1060.73,0.00,1060.73,The Advanced Childcare Group,Children's Services,Payts to Agencies
Salford City Council,2014-05-27,601113091,824.49,0.00,824.49,The Advanced Childcare Group,Children's Services,Payts to Agencies
Salford City Council,2014-05-01,601113362,1214.40,202.40,1012.00,Experian Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-01,601113547,18000.00,3000.00,15000.00,Aon Ltd,Customer and Support Services,Repaymt-Insur Hldg
Salford City Council,2014-05-01,601113653,1800.00,300.00,1500.00,The Award Scheme Ltd,Children's Services,Subscriptions
Salford City Council,2014-05-02,601113664,969.60,161.60,808.00,Psi (Resources) Limited,Environment and Community Safety,del'd kitchen formul
Salford City Council,2014-05-01,601113778,1550.00,0.00,1550.00,The Hawthorn Hotel,Children's Services,Children Act-Sect 17
Salford City Council,2014-05-08,601113950,4499.68,0.00,4499.68,Helping Hands Homecare Agency,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-05-08,601113951,19648.50,0.00,19648.50,Salford Community Leisure Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-05-08,601113976,4233.04,0.00,4233.04,Helping Hands Homecare Agency,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-05-02,601114008,1224.00,204.00,1020.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-05-01,601114050,5999.56,0.00,5999.56,Abbotsound Limited,"Community, Health & Social Care",Day Care
Salford City Council,2014-05-08,601114118,274800.00,45800.00,229000.00,Salford Community Leisure Ltd,"Community, Health & Social Care",SCL management fee
Salford City Council,2014-05-01,601114164,2500.00,416.67,2083.33,Northgate Information Solutions,Customer and Support Services,IT  Licence Fee
Salford City Council,2014-05-08,601114210,612.00,102.00,510.00,Trinity Mirror Publishing Ltd,Sustainable Regeneration,Marketing/Publicity
Salford City Council,2014-05-07,601114223,1680.00,280.00,1400.00,Bacs Payment Schemes Ltd,Customer and Support Services,Bank Commission
Salford City Council,2014-05-08,601114250,14000.00,0.00,14000.00,Salford Community Leisure Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-05-01,601114363,1080.00,180.00,900.00,Trinity Mirror Publishing Ltd,Capital Expenditure,Other Works
Salford City Council,2014-05-02,601114401,570.00,95.00,475.00,Ice Watch,Capital Expenditure,Other Works
Salford City Council,2014-05-02,601114439,3648.06,608.01,3040.05,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-05-02,601114440,2622.30,437.05,2185.25,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-05-19,601114441,1140.00,190.00,950.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-05-19,601114442,1140.00,190.00,950.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-05-09,601114647,1530.00,255.00,1275.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-05-14,601114654,150604.51,24043.22,126561.29,Corona Energy,Capital Expenditure,Invoice holding a/c
Salford City Council,2014-05-02,601114739,5808.00,0.00,5808.00,Disclosure & Barring Service,Customer and Support Services,Other Prof Fees
Salford City Council,2014-05-08,601114793,2795.78,0.00,2795.78,Creative Support Limited,Children's Services,Payts to Agencies
Salford City Council,2014-05-09,601114799,1918.42,319.74,1598.68,Corona Energy,Children's Services,Gas
Salford City Council,2014-05-01,601114818,551.06,0.00,551.06,Wirral Community Nhs Trust,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-05-01,601114820,3587.01,0.00,3587.01,Park Foster Care Limited,Children's Services,Payts to Agencies
Salford City Council,2014-05-01,601114821,3165.00,0.00,3165.00,Fostering People Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-19,601114822,660.00,0.00,660.00,Penderels Trust,"Community, Health & Social Care",Oth Office Expenses
Salford City Council,2014-05-01,601114823,3167.27,0.00,3167.27,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-05-01,601114828,6702.74,0.00,6702.74,Wigan Council,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-05-16,601114844,3005.08,500.85,2504.23,Royal Mail Group Plc,"Community, Health & Social Care",Postage
Salford City Council,2014-05-01,601114845,3658.00,0.00,3658.00,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-05-01,601114846,3540.00,0.00,3540.00,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-05-01,601114847,3658.00,0.00,3658.00,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-05-01,601114848,3304.00,0.00,3304.00,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-05-01,601114850,1062.00,0.00,1062.00,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-05-01,601114851,3330.74,0.00,3330.74,Home Focus,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-05-09,601114852,960.00,160.00,800.00,Rnib,"Community, Health & Social Care",Books & Periodicals
Salford City Council,2014-05-02,601114853,975.00,0.00,975.00,Together Trust,"Community, Health & Social Care",Day Care
Salford City Council,2014-05-23,601114859,575.42,0.00,575.42,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-05-14,601114866,672.61,112.10,560.51,G Jones Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2014-05-09,601114896,2057.22,0.00,2057.22,Foster Cares Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-02,601114898,18949.00,0.00,18949.00,Central Manchester University,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-05-02,601114902,1010.00,0.00,1010.00,Paypoint Plc,Sustainable Regeneration,Gas
Salford City Council,2014-05-01,601114903,2967.51,0.00,2967.51,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2014-05-02,601114905,1115.73,0.00,1115.73,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-05-02,601114906,930.00,0.00,930.00,Redacted Data,Capital Expenditure,Disturbance Payments
Salford City Council,2014-05-02,601114909,1875.98,0.00,1875.98,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-05-02,601114910,1000.00,0.00,1000.00,Seedley & Langworthy In Bloom,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-05-01,601114913,13000.00,0.00,13000.00,Glp Solicitors,Customer and Support Services,Liability Insurance
