Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2017-01-03,601182682,518.00,0.00,518.00,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2017-01-03,601181365,520.00,0.00,520.00,Aqa Education,Children's Services,Training expenses
Salford City Council,2017-01-03,601181501,524.72,87.45,437.27,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-01-03,601181498,532.42,88.74,443.68,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-01-03,1600576603,548.05,91.34,456.71,Lex Autolease Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2017-01-03,1600576239,561.20,93.53,467.67,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2017-01-03,1600576705,563.46,93.91,469.55,G Jones Builders Ltd,Capital Expenditure,Works & Building
Salford City Council,2017-01-03,1600565815,582.00,97.00,485.00,The Training Company,Children's Services,Training expenses
Salford City Council,2017-01-03,601182683,629.00,0.00,629.00,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2017-01-03,601181936,636.00,106.00,530.00,The Key Support Services Ltd,Children's Services,Vehicle Hire - perm
Salford City Council,2017-01-03,601182530,655.42,109.24,546.18,Opus Energy Ltd,Children's Services,Electricity
Salford City Council,2017-01-03,601181371,669.20,111.53,557.67,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-01-03,601182676,686.52,0.00,686.52,Redacted Data,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-01-03,601181503,698.15,116.36,581.79,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-01-03,601181363,727.20,121.20,606.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-01-03,601182531,727.20,121.20,606.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-01-03,601181500,764.78,127.46,637.32,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-01-03,1600577408,812.56,135.43,677.13,Vanguard Storage Services Ltd,Sustainable Regeneration,Removal Expenses
Salford City Council,2017-01-03,601181502,837.24,139.54,697.70,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-01-03,601181505,868.14,144.69,723.45,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-01-03,1600577355,900.00,150.00,750.00,Richard L Thomas Associates Ltd,Sustainable Regeneration,Building Rep & Maint
