Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2017-11-01,601204380,1110,185,925,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2017-11-01,601204396,1110,185,925,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2017-11-01,601204392,754.5,125.75,628.75,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-11-01,601204393,2236.55,372.76,1863.79,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-11-01,601204398,570.72,95.12,475.6,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-11-01,601204399,644.4,107.4,537,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-11-01,601204400,713.4,118.9,594.5,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-11-01,601204401,570.72,95.12,475.6,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-11-01,601204402,570.72,95.12,475.6,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-11-01,601204403,702,117,585,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-11-01,1600594261,687.18,114.53,572.65,Enterprise Flex E-Rent,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2017-11-01,601203210,799.2,0,799.2,Bookpoint Limited,Children's Services,Books & Periodicals
Salford City Council,2017-11-01,1600595076,87841.2,14640.2,73201,Sap (Uk) Limited,Service Reform,Computer Maintenance
Salford City Council,2017-11-01,1600593738,3537,589.5,2947.5,Pitney Bowes Software Europe Ltd,"Community, Health & Social Care",Computer Software
Salford City Council,2017-11-01,1600595093,1550,0,1550,Redacted Data,Children's Services,Consult/Contractors
Salford City Council,2017-11-01,1600593576,600,100,500,Wakefield Machinery Ltd,Service Reform,Equipment Repair
Salford City Council,2017-11-01,601204410,300690.3,0,300690.3,Ecf (General Partner) Limited,Capital Expenditure,External Fees-Other
Salford City Council,2017-11-01,dkpjrwoxq,665.89,0.46,665.43,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-11-01,yjqahxxnl,848.19,6.4,841.79,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-11-01,hanpnytmb,511.59,3.55,508.04,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-11-01,jymvrnbyr,641.01,3.01,638,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-11-01,mrqmnfypl,589.02,1.51,587.51,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-11-01,mvuoluevc,647.07,0.81,646.26,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-11-01,ymzzutaxa,610.76,3.31,607.45,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-11-01,601203215,892.8,148.8,744,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-11-01,601203219,1182.3,197.05,985.25,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-11-01,601203220,853.45,142.24,711.21,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-11-01,601203221,884.17,147.36,736.81,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-11-01,601204369,1262.35,210.39,1051.96,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-11-01,601204370,797.46,132.91,664.55,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-11-01,601204371,1069.16,178.19,890.97,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-11-01,601204372,1279.39,213.23,1066.16,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-11-01,601204373,1170.3,195.05,975.25,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-11-01,rdwoujhae,565.97,0,565.97,Www.Argos.Co.Uk,Children's Services,General Expenditure Reallocation
Salford City Council,2017-11-01,1600594287,8250,0,8250,Salford Foundation Ltd,"Community, Health & Social Care",Grants
Salford City Council,2017-11-01,601203208,1122,187,935,Applied Trading Ltd,Children's Services,Leisure Activity
Salford City Council,2017-11-01,601204404,647,0,647,Department Of Work & Pensions,Service Reform,Liability Insurance
Salford City Council,2017-11-01,601204406,637,0,637,Department Of Work & Pensions,Service Reform,Liability Insurance
Salford City Council,2017-11-01,1600593859,630,105,525,Transport For Greater Manchester,Capital Expenditure,Miscellaneous Exes
Salford City Council,2017-11-01,pmrbrwlhw,723.6,0,723.6,Www.Impressionltd.Co.U,Children's Services,Other Professional Fees
Salford City Council,2017-11-01,1600594289,3541.32,590.22,2951.1,Glowarm Dsp Ltd,Capital Expenditure,Other Works
Salford City Council,2017-11-01,1600594290,16508.59,2751.43,13757.16,Rm Education Plc,Capital Expenditure,Other Works
Salford City Council,2017-11-01,2204772415,6202650.16,0,6202650.16,NHS CCG,"Community, Health & Social Care",Payments to Health Authority
Salford City Council,2017-11-01,1600594282,5623.53,0,5623.53,Salford Foundation Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-11-01,1600594283,10000,0,10000,Salford Foundation Ltd,Children's Services,Payts to Agencies
Salford City Council,2017-11-01,601204379,7562.14,0,7562.14,Cleggs Chilled Food Service,Environment and Community Safety,Provisions
Salford City Council,2017-11-01,1600594779,1837.5,0,1837.5,Cheadle Royal School Priory,Children's Services,Pupil Assistance
Salford City Council,2017-11-01,1600594897,570,95,475,Footlights Theatre Group,Children's Services,Training
Salford City Council,2017-11-01,601204386,592.68,98.78,493.9,North West Local Authorities,Service Reform,Training
