Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.,G/L descript,Cap code,Cap descipt
Salford City Council,2018-09-03,1600612364,3894.00,649.00,3245.00,Ohec,Capital Works,Demolition,5716,,,W3048,,,,
Salford City Council,2018-09-03,1600613440,2160.00,360.00,1800.00,Soft Surfaces Limited,Capital Works,Pmnt to Ctrs-Improv,5751,,,D0584,,,,
Salford City Council,2018-09-03,1600612899,1575.90,0.00,1575.90,Chubb Fire & Security Ltd,Capital Works,Purch of Furn/Equip,5380,,,E6115,,,,
Salford City Council,2018-09-03,601225034,1180.28,196.71,983.57,David Phillips Group,People (Adults) - CHSC,Furniture,5630,,,H8011,,,,
Salford City Council,2018-09-03,601225039,520.00,0.00,520.00,Hawthorn Hotel,People (Adults) - CHSC,Rents,5605,,,C3261,,,,
Salford City Council,2018-09-03,601225048,595.00,0.00,595.00,Hawthorn Hotel,People (Adults) - CHSC,Rents,6553,,,E4833,,,,
Salford City Council,2018-09-03,601225042,650.00,0.00,650.00,Hawthorn Hotel,People (Adults) - CHSC,Rents,6553,,,E4833,,,,
Salford City Council,2018-09-03,601225045,910.00,0.00,910.00,Hawthorn Hotel,People (Adults) - CHSC,Rents,5694,,,W3551,,,,
Salford City Council,2018-09-03,601225037,1350.00,0.00,1350.00,Hawthorn Hotel,People (Adults) - CHSC,Rents,6018,,,S2691,,,,
Salford City Council,2018-09-03,601225043,1430.00,0.00,1430.00,Hawthorn Hotel,People (Adults) - CHSC,Rents,6018,,,S2691,,,,
Salford City Council,2018-09-03,601225038,2465.00,0.00,2465.00,Hawthorn Hotel,People (Adults) - CHSC,Rents,6018,,,S2691,,,,
Salford City Council,2018-09-03,601225040,2520.00,0.00,2520.00,Hawthorn Hotel,People (Adults) - CHSC,Rents,6018,,,S2691,,,,
Salford City Council,2018-09-03,601225041,2790.00,0.00,2790.00,Hawthorn Hotel,People (Adults) - CHSC,Rents,7017,F60038,Play Area Improvements
Salford City Council,2018-09-03,1600613418,890.65,0.00,890.65,Redacted Data,People (Childrens) Service Group,Payts to Agencies,6018,,,S2691,,,,
Salford City Council,2018-09-03,1600612866,2800.00,0.00,2800.00,Redacted Data,People (Childrens) Service Group,Payts to Agencies,6553,,,E4833,,,,
Salford City Council,2018-09-03,1600613427,5000.00,0.00,5000.00,Safe Families For Children Uk Ltd,People (Childrens) Service Group,Payts to Agencies,6553,,,E3055,,,,
Salford City Council,2018-09-03,601225422,900.00,150.00,750.00,Tower Learning Centre,People (Childrens) Service Group,Pupil Assistance,6020,,,C5061,,,,
Salford City Council,2018-09-03,1600612828,1610.00,0.00,1610.00,Hawthorn Hotel,People (Childrens) Service Group,Rents,6018,,,S2691,,,,
Salford City Council,2018-09-03,1600612827,2635.00,0.00,2635.00,Hawthorn Hotel,People (Childrens) Service Group,Rents,5522,,,V0201,,,,
Salford City Council,2018-09-03,1600612961,585.00,0.00,585.00,Lancashire County Council,People (Childrens) Service Group,Training expenses,4600,,,E2087,,,,
Salford City Council,2018-09-03,601225538,60923.19,10153.87,50769.32,Edf Energy Plc,Place Directorate,Electricity,7013,H57015,High Street Estate
Salford City Council,2018-09-03,601225537,61084.34,10180.72,50903.62,Edf Energy Plc,Place Directorate,Electricity,5734,,,F0563,,,,
Salford City Council,2018-09-03,igpjtycpc,45504.44,7584.07,37920.37,Swalec,Place Directorate,Electricity,,,
