Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2012-10-01,601066718,1200.00,200.00,1000.00,Tri-X Childcare Ltd,Children's Services,Training expenses
Salford City Council,2012-10-01,601066784,1200.00,200.00,1000.00,S & S Marquees,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2012-10-01,601067063,1139.00,0.00,1139.00,Start In  Salford,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2012-10-01,601067925,16246.88,2707.81,13539.07,Virgin Media Business,Customer and Support Services,Lease line rentals
Salford City Council,2012-10-01,601068627,600.00,100.00,500.00,G-Map Services Ltd,Children's Services,Photography
Salford City Council,2012-10-01,601068675,1258.49,209.75,1048.74,Urban Vision Partnership Ltd,Children's Services,Other Prof Fees
Salford City Council,2012-10-01,601068739,872.23,145.37,726.86,Southern Electric,Children's Services,Electricity
Salford City Council,2012-10-01,601068754,9563.24,1593.87,7969.37,Virgin Media Business,Customer and Support Services,Telephones & Fax
Salford City Council,2012-10-01,601068755,4449.32,741.56,3707.76,Virgin Media Business,Customer and Support Services,Broadband services
Salford City Council,2012-10-01,601068758,1818.97,303.16,1515.81,Virgin Media Business,Customer and Support Services,Telephones & Fax
Salford City Council,2012-10-01,601068759,1032.00,172.00,860.00,Mainline Private Hire,Community Health & Social Care,Transport
Salford City Council,2012-10-01,601068780,1653.05,0.00,1653.05,United Utilities Water Limited,Children's Services,Water
Salford City Council,2012-10-01,601068781,20906.84,3484.47,17422.37,Urban Vision Partnership Ltd,Children's Services,Other Prof Fees
Salford City Council,2012-10-01,601068782,2718.00,453.00,2265.00,Urban Vision Partnership Ltd,Chief Executives,Equipment Hire
Salford City Council,2012-10-01,601068784,1344.00,224.00,1120.00,Urban Vision Partnership Ltd,Capital Expenditure,Works & Building
Salford City Council,2012-10-01,601068795,5763.00,0.00,5763.00,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2012-10-01,601068796,2126.00,0.00,2126.00,Thyssenkrupp Encasa Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2012-10-01,601068797,1203.29,0.00,1203.29,Wessex Lift Co Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2012-10-01,601068798,9520.06,0.00,9520.06,G Jones Builders,Capital Expenditure,Improvement Grants
Salford City Council,2012-10-01,601068799,1684.06,0.00,1684.06,G Jones Builders,Sustainable Regeneration,Other Prof Fees
Salford City Council,2012-10-01,601068800,2899.16,0.00,2899.16,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2012-10-01,601068802,9798.22,0.00,9798.22,Wessex Lift Co Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2012-10-01,601068803,4475.00,0.00,4475.00,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2012-10-01,601068805,718.40,0.00,718.40,Redacted Personal Data,Community Health & Social Care,Adult Placements
Salford City Council,2012-10-01,601068806,628.60,0.00,628.60,Redacted Personal Data,Community Health & Social Care,Carers Respite
Salford City Council,2012-10-01,601068814,2072.30,0.00,2072.30,Redacted Personal Data,Community Health & Social Care,Sessional
Salford City Council,2012-10-01,601068818,3048.96,508.16,2540.80,The Nas Services Ltd,Community Health & Social Care,Day Care
Salford City Council,2012-10-01,601068819,44992.26,7498.69,37493.57,Southern Electric,Children's Services,Electricity
Salford City Council,2012-10-01,1600449090,1866.01,311.02,1554.99,Skopos Design Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2012-10-01,1600449092,2432.40,405.40,2027.00,Spectra Security,Capital Expenditure,Works & Building
Salford City Council,2012-10-01,1600449101,1806.00,301.00,1505.00,Bsi Group,Environment and Community Safety,Subscriptions
Salford City Council,2012-10-01,1600449114,1662.00,277.00,1385.00,Invacare Ltd,Community Health & Social Care,Disability Equipment
Salford City Council,2012-10-01,1600449116,6126.36,1021.06,5105.30,Cruden Property Services Ltd.,Capital Expenditure,Works & Building
Salford City Council,2012-10-01,1600449289,2730.00,455.00,2275.00,Idox Software,Sustainable Regeneration,Other Prof Fees
Salford City Council,2012-10-01,1600449346,645.00,107.50,537.50,Mountway Ltd,Community Health & Social Care,Disability Equipment
Salford City Council,2012-10-01,1600449348,6925.00,0.00,6925.00,Greater Manchester West,Environment and Community Safety,Grants - External
Salford City Council,2012-10-01,1600449351,2366.70,394.45,1972.25,Jws Waste & Recycling Systems Ltd,Environment and Community Safety,Contractors
Salford City Council,2012-10-01,1600449363,900.00,150.00,750.00,Lamas Thermaclad Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2012-10-01,1600449412,108000.00,18000.00,90000.00,Careers Solutions,Children's Services,Grants
Salford City Council,2012-10-01,1600449439,2100.00,350.00,1750.00,Abca Systems,Sustainable Regeneration,Electricity
Salford City Council,2012-10-01,1600449596,875.90,0.00,875.90,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2012-10-01,1600449598,860.70,0.00,860.70,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
