Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2013-12-02,601103375,509.25,0.00,509.25,Primrose Hill Private Day,Children's Services,Payts to Agencies
Salford City Council,2013-12-02,601103376,509.25,0.00,509.25,St Lukes Pre-School Playgroup,Children's Services,Payts to Agencies
Salford City Council,2013-12-02,601103379,509.25,0.00,509.25,Yogurt Pots Childcare Services,Children's Services,Payts to Agencies
Salford City Council,2013-12-02,601103338,516.68,86.10,430.58,Plumbing Trade Supplies,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-12-02,56069532,517.52,11.13,506.39,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2013-12-02,601103382,533.50,0.00,533.50,Cosy Toes Child Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-12-02,1600489089,540.00,90.00,450.00,Central Power Services Ltd,Children's Services,UV Prog Rep
Salford City Council,2013-12-02,1600487609,550.20,91.70,458.50,Creedon Healthcare,"Community, Health & Social Care",Equipment Repair
Salford City Council,2013-12-02,601103411,555.54,92.59,462.95,Your Printer Cartridge Company,Children's Services,Housekeeping
Salford City Council,2013-12-02,1600489088,589.66,98.28,491.38,Central Power Services Ltd,Customer and Support Services,Computer Equipment
Salford City Council,2013-12-02,1600487728,630.00,105.00,525.00,Salford Community Leisure Ltd,Customer and Support Services,Provisions
Salford City Council,2013-12-02,1600487704,660.00,110.00,550.00,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2013-12-02,1600487910,687.70,114.62,573.08,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2013-12-02,601103366,693.55,0.00,693.55,Fun4All Cic,Children's Services,Payts to Agencies
Salford City Council,2013-12-02,601103341,699.61,116.60,583.01,Plumbing Trade Supplies,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-12-02,601103337,723.17,120.54,602.63,Edmundson Electrical Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-12-02,601103370,800.25,0.00,800.25,Holyrood Nursery - Mediacityuk,Children's Services,Payts to Agencies
Salford City Council,2013-12-02,1600490009,833.28,138.88,694.40,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2013-12-02,601103377,853.60,0.00,853.60,Tinytots Vision Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-12-02,601103351,860.00,0.00,860.00,Lancashire Care,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2013-12-02,1600487545,864.00,144.00,720.00,"Haigh Engineering Co Ltd,","Community, Health & Social Care",Central S & S Alloc
Salford City Council,2013-12-02,1600487660,900.00,150.00,750.00,Granart Memorials,Environment and Community Safety,Gen Resaleable Items
Salford City Council,2013-12-02,1600489219,915.06,152.51,762.55,Thomas Hardie,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2013-12-02,601103340,929.81,154.97,774.84,Plumbing Trade Supplies,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-12-02,1600487547,978.00,163.00,815.00,H Jenkinson & Company Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2013-12-02,601103364,1018.50,0.00,1018.50,Broad Oaks Nursery,Children's Services,Payts to Agencies
Salford City Council,2013-12-02,601103374,1018.50,0.00,1018.50,Oaklands Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2013-12-02,1600489394,1039.49,173.25,866.24,Safe & Secure (Uk) Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-12-02,1600487562,1080.00,180.00,900.00,Aidapt Bathrooms Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2013-12-02,1600489327,1152.00,192.00,960.00,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2013-12-02,601103360,1224.00,204.00,1020.00,Trinity Mirror Publishing Ltd,Sustainable Regeneration,Marketing/Publicity
Salford City Council,2013-12-02,1600487586,1320.00,220.00,1100.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2013-12-02,1600487886,1434.00,239.00,1195.00,Wilson Electrics,Environment and Community Safety,Central S & S Alloc
Salford City Council,2013-12-02,601103365,1527.75,0.00,1527.75,Fledglings Day Nursery,Children's Services,Payts to Agencies
