Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2020-10-01,601286797,1570,0,1570,3 Flow Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-10-01,1600654570,1224,0,1224,Ability Smart Ltd,People (Childrens) Service Group,Equip for Staff
Salford City Council,2020-10-01,601286753,951,158.5,792.5,Addleshaw Goddard Llp,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2020-10-01,601286752,4308.6,718.1,3590.5,Addleshaw Goddard Llp,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2020-10-01,1600654563,1248.78,208.13,1040.65,Allied Publicity Services (M/Cr) Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-10-01,1600654588,6361.75,1060.29,5301.46,Apem Ltd,Place Directorate,Gen Contractor Work
Salford City Council,2020-10-01,1600654571,3250,0,3250,Association Of Directors Of Public,Public Health,Training expenses
Salford City Council,2020-10-01,601286800,2326.06,0,2326.06,Bristow & Sutor,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,2020-10-01,1600654556,1648.72,274.78,1373.94,Capita Business Services Ltd,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2020-10-01,1600654593,3114,519,2595,Carbon Creative Ltd,Service Reform (Corp Bus & Transform),Marketing/Publicity
Salford City Council,2020-10-01,601286794,588,98,490,Carrington Riding Centre,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-10-01,1600654590,5040,840,4200,Cmgrp Uk Ltd T/A Weber Shandwick,Service Reform (Corp Bus & Transform),Marketing/Publicity
Salford City Council,2020-10-01,1600654589,6000,1000,5000,Cmgrp Uk Ltd T/A Weber Shandwick,Service Reform (Corp Bus & Transform),Marketing/Publicity
Salford City Council,2020-10-01,601286801,688,0,688,Department Of Work & Pensions,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-10-01,1600654587,1249.88,208.31,1041.57,Global Document Systems Ltd,Service Reform (Corp Bus & Transform),Equipment Hire
Salford City Council,2020-10-01,601286749,20250,0,20250,Inspiring Communities Together,Place Directorate,Grants
Salford City Council,2020-10-01,1600654569,3068,0,3068,Langworthy Cornerstone Assoc.,People (Childrens) Service Group,Rents
Salford City Council,2020-10-01,601286810,11207.95,0,11207.95,Mainline 8S Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-10-01,601286759,790,0,790,Oakwood Academy,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-10-01,1600654120,27329.5,0,27329.5,Places For People Living+ Ltd,People (Childrens) Service Group,Pmts Reg Soc l'lords
Salford City Council,2020-10-01,1600654559,4262.61,710.44,3552.17,Prism Medical Uk,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-10-01,6003115906,644.23,0,644.23,Redacted data,People (Childrens) Service Group,ClientTravel Expense
Salford City Council,2020-10-01,601286780,900,150,750,Redacted data,People (Childrens) Service Group,Grounds Maintenance
Salford City Council,2020-10-01,601286754,950,0,950,Redacted data,People (Adults) - CHSC,Release of Provision
Salford City Council,2020-10-01,6003115890,1081.56,0,1081.56,Redacted data,People (Childrens) Service Group,ClientTravel Expense
Salford City Council,2020-10-01,601286788,1500,0,1500,Redacted data,Place Directorate,Refunds
Salford City Council,2020-10-01,601286745,594,99,495,Rentokil Initial Washroom Hygience,People (Adults) - CHSC,Cleaning Services
Salford City Council,2020-10-01,1600654597,2619.54,436.59,2182.95,Salford Schools Solutions Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-10-01,1600654596,3367.98,561.33,2806.65,Salford Schools Solutions Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-10-01,1600654595,5559.84,926.64,4633.2,Salford Schools Solutions Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-10-01,1600654580,1470,245,1225,Solon Security,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2020-10-01,601286770,1040.4,173.4,867,T/A Phonak Uk Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-10-01,601286768,1099.56,183.26,916.3,T/A Phonak Uk Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-10-01,601286769,1099.56,183.26,916.3,T/A Phonak Uk Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-10-01,601286772,1099.56,183.26,916.3,T/A Phonak Uk Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-10-01,601286771,1598.34,266.39,1331.95,T/A Phonak Uk Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-10-01,601286773,1611.4,268.57,1342.83,T/A Phonak Uk Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-10-01,601286774,2080.8,346.8,1734,T/A Phonak Uk Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-10-01,601286789,4000,0,4000,The Court Service,Place Directorate,Debt Collection
Salford City Council,2020-10-01,1600654602,1730,0,1730,Thyssenkrupp Encasa Ltd,Service Reform (Corp Bus & Transform),Improvement Grants
