Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2015-07-01,601145169,1200,0,1200,Adult Disability Team Clients A/C,"Community, Health & Social Care",Rents
Salford City Council,2015-07-01,1600538848,720.31,120.05,600.26,Alliance Disposables Ltd,Environment and Community Safety,Cleaning Materials
Salford City Council,2015-07-01,1600537691,15795.5,2632.58,13162.92,Azure,Customer and Support Services,Hire of Facilities
Salford City Council,2015-07-01,1600538378,149280.58,24880.1,124400.48,Balfour Beatty Group Ltd,Capital Expenditure,Works & Building
Salford City Council,2015-07-01,601144960,1746.45,0,1746.45,Care Today Childrens Services,Children's Services,Payts to Agencies
Salford City Council,2015-07-01,1600539562,57600,9600,48000,Carillion Construction Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2015-07-01,601145014,3655.42,0,3655.42,Cleapss,Children's Services,Vehicle Hire
Salford City Council,2015-07-01,1600537201,3655.42,0,3655.42,Cleapss,Children's Services,Vehicle Hire
Salford City Council,2015-07-01,1600538452,3360,560,2800,Computer Futures Solutions,Customer and Support Services,Consult/Contractors
Salford City Council,2015-07-01,1600535879,8058,1343,6715,Computer Futures Solutions,Customer and Support Services,Consult/Contractors
Salford City Council,2015-07-01,1600538451,8058,1343,6715,Computer Futures Solutions,Customer and Support Services,Consult/Contractors
Salford City Council,2015-07-01,1600538680,657.6,109.6,548,Dawson Rentals,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-07-01,1600538450,8824.32,1470.72,7353.6,Direct Healthcare Services Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-07-01,1600538594,4770.29,795.05,3975.24,Dlp Services (Northern) Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2015-07-01,1600538265,3156.62,526.1,2630.52,Due North Ltd,Customer and Support Services,IT  Licence Fee
Salford City Council,2015-07-01,1600538933,600,0,600,Fairfield Residential,Children's Services,Payts to Agencies
Salford City Council,2015-07-01,1600539589,1428.56,0,1428.56,Fairfield Residential,Children's Services,Payts to Agencies
Salford City Council,2015-07-01,1600539594,1484,0,1484,Fairfield Residential,Children's Services,Payts to Agencies
Salford City Council,2015-07-01,1600538859,594,99,495,Hcl Safety Ltd,Children's Services,Training expenses
Salford City Council,2015-07-01,601145170,8519.96,0,8519.96,Irlam Primary,Customer and Support Services,Premises Insurance
Salford City Council,2015-07-01,1600539193,2048.34,341.39,1706.95,Language Empire Limited,Children's Services,Interpreter/translat
Salford City Council,2015-07-01,601145039,3339.34,0,3339.34,Lorimer Foster Services,Children's Services,Payts to Agencies
Salford City Council,2015-07-01,1600538866,1344,224,1120,National Retail Systems Ltd,Environment and Community Safety,Computer Equipment
Salford City Council,2015-07-01,601143853,2500,416.67,2083.33,Northgate Public Services (Uk) Ltd,Customer and Support Services,IT  Licence Fee
Salford City Council,2015-07-01,1600538977,544.32,90.72,453.6,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-07-01,1600538979,544.32,90.72,453.6,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-07-01,1600538989,680.4,113.4,567,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-07-01,1600538155,1224,204,1020,P C Concepts,Children's Services,Pupil Assistance
Salford City Council,2015-07-01,601145164,535,0,535,Paypoint Plc,Sustainable Regeneration,Provisions
Salford City Council,2015-07-01,601145175,619.62,0,619.62,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2015-07-01,1600538245,3270,545,2725,Richard Fowler Associates,Capital Expenditure,Miscellaneous Exes
Salford City Council,2015-07-01,1600535933,17578.25,2929.71,14648.54,S & W Tlp Education Partnership Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2015-07-01,1600537601,17578.25,2929.71,14648.54,S & W Tlp Education Partnership Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2015-07-01,1600538855,990.74,165.12,825.62,Salford Innovation Park Ltd,Sustainable Regeneration,Rents
Salford City Council,2015-07-01,1600538740,3840,640,3200,The Franking Machine Company Ltd,Customer and Support Services,Postage
Salford City Council,2015-07-01,1600539551,4200,700,3500,The Landing At Media City Ltd,Customer and Support Services,Other Prof Fees
Salford City Council,2015-07-01,601145054,681.05,0,681.05,The National Fostering Agency,Customer and Support Services,Contingency
Salford City Council,2015-07-01,1600538228,1253.2,0,1253.2,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-07-01,1600538226,3107.44,0,3107.44,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-07-01,1600538227,3107.44,0,3107.44,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-07-01,1600538225,3167.27,0,3167.27,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-07-01,1600538613,3167.27,0,3167.27,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-07-01,1600538223,3387.68,0,3387.68,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-07-01,1600537612,8340,1390,6950,Timpson Out There Events Ltd,Sustainable Regeneration,Equipment Hire
Salford City Council,2015-07-01,1600538334,813.6,135.6,678,Trinity Mirror Publishing Ltd,"Community, Health & Social Care",Marketing/Publicity
Salford City Council,2015-07-01,1600538862,3139.2,523.2,2616,Turner Groundscare,Environment and Community Safety,Equipment Purchase
Salford City Council,2015-07-01,1600538399,67409.69,11234.95,56174.74,Vinci Park Services Uk Ltd,Sustainable Regeneration,Contractors
Salford City Council,2015-07-01,1600537722,2868,478,2390,W V Howe Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2015-07-02,1600538947,6460.92,1076.82,5384.1,Ans Group Plc,Customer and Support Services,Computer Equipment
Salford City Council,2015-07-02,knrusxueu,520.74,8.36,512.38,Brake Bros Ltd,Customer and Support Services Services,Food and refreshment
Salford City Council,2015-07-02,1600538941,783.71,130.62,653.09,Bt Global Services Solutions,Capital Expenditure,Purch of Comp Equip
Salford City Council,2015-07-02,601145195,5000,0,5000,City West Housing Trust,Customer and Support Services,Catering Materials
Salford City Council,2015-07-02,601145185,1745.4,0,1745.4,Community Integrated Care,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-07-02,601145223,1469.2,10.2,1459,Complete Background Screening Ltd,Customer and Support Services,Other Prof Fees
Salford City Council,2015-07-02,1600537736,1404,234,1170,Daniel Kelly T/A Dragonware Limited,Capital Expenditure,Computer Software
Salford City Council,2015-07-02,1600537426,1597.2,266.2,1331,Door Care & Security,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2015-07-02,1600538363,1309.12,218.19,1090.93,Facultatieve Technologies Ltd,Environment and Community Safety,Prog Maint & Works
Salford City Council,2015-07-02,1600539643,1385.52,230.92,1154.6,Firemark Limited,Customer and Support Services,Fire Equipment
