Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2014-02-03,1600492732,2100.00,350.00,1750.00,Abca Systems,Sustainable Regeneration,Electricity
Salford City Council,2014-02-03,1600493144,11735.71,0.00,11735.71,Alliance Care And Education,Children's Services,Payts to Agencies
Salford City Council,2014-02-03,1600494276,4065.50,677.58,3387.92,Apem Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2014-02-03,1600493410,720.00,120.00,600.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493402,960.00,160.00,800.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493411,1020.00,170.00,850.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493514,1200.00,200.00,1000.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493515,1200.00,200.00,1000.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493517,1200.00,200.00,1000.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493401,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493403,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493407,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493412,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493413,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493415,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493511,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493512,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600493408,1680.00,280.00,1400.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-02-03,1600494009,1619.80,0.00,1619.80,Broadoak Funeral Service,"Community, Health & Social Care",Funerals
Salford City Council,2014-02-03,601107476,4470.98,0.00,4470.98,Broughton Care Ltd,Children's Services,Grants
Salford City Council,2014-02-03,1600494421,745.30,124.22,621.08,Bt Global Services Solutions,Capital Expenditure,Purch of Comp Equip
Salford City Council,2014-02-03,1600493027,28243.12,0.00,28243.12,Bury College,Children's Services,Pupil Assistance
Salford City Council,2014-02-03,1600492763,685.71,0.00,685.71,Care & Support Initiative,Children's Services,Rents
Salford City Council,2014-02-03,1600492753,3199.99,0.00,3199.99,Care & Support Initiative,Children's Services,Rents
Salford City Council,2014-02-03,1600492759,3542.85,0.00,3542.85,Care & Support Initiative,Children's Services,Rents
Salford City Council,2014-02-03,1600492761,3542.85,0.00,3542.85,Care & Support Initiative,Children's Services,Rents
Salford City Council,2014-02-03,1600492771,3542.86,0.00,3542.86,Care & Support Initiative,Children's Services,Rents
Salford City Council,2014-02-03,1600492929,3542.86,0.00,3542.86,Care & Support Initiative,Children's Services,Rents
Salford City Council,2014-02-03,1600493535,1981.98,330.33,1651.65,Cg Cleaning,Office of the Chief Executive,Cleaning
Salford City Council,2014-02-03,1600495160,863.72,0.00,863.72,City West Housing Trust,Children's Services,Rents
Salford City Council,2014-02-03,1600493673,30212.58,0.00,30212.58,City West Housing Trust,Sustainable Regeneration,Rents
Salford City Council,2014-02-03,1600493032,11071.65,0.00,11071.65,Courtyard Care Group,Children's Services,Payts to Agencies
Salford City Council,2014-02-03,1600493031,17714.02,0.00,17714.02,Courtyard Care Group,Children's Services,Payts to Agencies
Salford City Council,2014-02-03,1600493893,697.22,116.20,581.02,Dennis Eagle Limited,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-02-03,1600492733,142514.40,23752.40,118762.00,Disc,Children's Services,Payts to Agencies
Salford City Council,2014-02-03,1600492469,2290.56,381.76,1908.80,Drive Medical Ltd,"Community, Health & Social Care",Disability Equipment
