Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2013-06-03,1600471609,46800.00,0,46800.00,42nd Street,Children's Services,Grants - External
Salford City Council,2013-06-03,48670604,1098.50,0,1098.50,Alexander Support Serv,Sustainable Regeneration,Rents
Salford City Council,2013-06-03,1600473225,892.75,148.79,743.96,Alliance Disposables Ltd,Sustainable Regeneration,Cleaning Materials
Salford City Council,2013-06-03,1600473226,618.72,103.12,515.6,Alliance Disposables Ltd,Sustainable Regeneration,Cleaning Materials
Salford City Council,2013-06-03,1600471600,3424.20,0,3424.20,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-06-03,1600471601,3287.23,0,3287.23,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-06-03,1600471603,3321.47,0,3321.47,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-06-03,1600471604,3185.10,0,3185.10,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-06-03,1600471712,3287.23,0,3287.23,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-06-03,601089980,1100.00,0,1100.00,Any Yarn Goes,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2013-06-03,1600472993,936,156,780,Calibration And Repair Services Ltd,Environment and Community Health,Equipment Repair
Salford City Council,2013-06-03,1600471716,12934.44,2155.74,10778.70,Care Today Childrens Services,Children's Services,Payts to Agencies
Salford City Council,2013-06-03,1600471753,12934.44,2155.74,10778.70,Care Today Childrens Services,Children's Services,Payts to Agencies
Salford City Council,2013-06-03,601089986,1036.03,0,1036.03,Collective Enterprises Ltd,Capital Expenditure,Other Works
Salford City Council,2013-06-03,601089222,6075.94,996.49,5079.45,Co-Ordinate (Uk) Ltd,Capital Expenditure,Works & Building
Salford City Council,2013-06-03,1600472844,3673.80,0,3673.80,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-06-03,1600472845,4239.00,0,4239.00,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-06-03,1600472846,2782.00,0,2782.00,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-06-03,1600472847,3210.00,0,3210.00,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-06-03,601089969,600,0,600,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2013-06-03,601089975,585,0,585,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
