Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2016-04-01,601163178,544.50,90.75,453.75,1st Base Solutions Ltd,Children's Services,Clothing & Uniforms
Salford City Council,2016-04-01,1600558293,720.00,120.00,600.00,A&D Transport,"Community, Health & Social Care",Disability Equipment
Salford City Council,2016-04-01,601161904,10728.00,0.00,10728.00,Abc Coach Limited,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,1600557473,1632.00,272.00,1360.00,Ableworld,"Community, Health & Social Care",Disability Equipment
Salford City Council,2016-04-01,1600557474,10400.67,0.00,10400.67,Acorn Care & Education Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2016-04-01,1600557475,10977.67,0.00,10977.67,Acorn Care & Education Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2016-04-01,1600557477,10977.67,0.00,10977.67,Acorn Care & Education Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2016-04-01,1600557478,50498.00,0.00,50498.00,Acorn Care & Education Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2016-04-01,1600557479,50498.00,0.00,50498.00,Acorn Care & Education Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2016-04-01,601162561,1088.00,0.00,1088.00,Brookvale Care Home,"Community, Health & Social Care",Day Care
Salford City Council,2016-04-01,1600558608,731.70,0.00,731.70,Bury Council,Environment and Community Safety,Other Prof Fees
Salford City Council,2016-04-01,1600559554,2938.91,489.82,2449.09,C P Davidson & Sons Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2016-04-01,6001996456,1384.70,0.00,1384.70,Care Direct Salford Ltd,"Community, Health & Social Care",Day Care
Salford City Council,2016-04-01,1600559000,100499.99,16750.00,83749.99,Career Connect,Children's Services,Payts to Agencies
Salford City Council,2016-04-01,6001996462,5666.83,0.00,5666.83,Community Integrated Care Ltd,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2016-04-01,601161855,1330.00,0.00,1330.00,Comus Auto Cabs,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,601161920,1120.00,0.00,1120.00,Comus Auto Cabs,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,1600558580,3772.80,628.80,3144.00,Core Assets Childrens Services Ltd,Children's Services,Payts to Agencies
Salford City Council,2016-04-01,601163262,515.76,0.00,515.76,Cumberland & Westmorland Schools,Children's Services,Taxis service users
Salford City Council,2016-04-01,601163258,14909.00,0.00,14909.00,Cumberland School,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,601163261,699.96,0.00,699.96,Cumberland School,Children's Services,Taxis service users
Salford City Council,2016-04-01,601161653,676.80,112.80,564.00,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2016-04-01,601161654,950.02,158.34,791.68,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2016-04-01,601163186,1537.92,256.32,1281.60,Experian Ltd,Corporate Business,Oth Office Expenses
Salford City Council,2016-04-01,1600558830,4458.63,0.00,4458.63,George House Trust,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2016-04-01,1600557472,336250.00,0.00,336250.00,GMW Mental Health Foundation Trust,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2016-04-01,1600558679,552.00,92.00,460.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2016-04-01,1600558336,1125.36,187.56,937.80,Helping Hand Company,"Community, Health & Social Care",Disability Equipment
Salford City Council,2016-04-01,1600559517,14400.00,2400.00,12000.00,Helping Hands Minor Repairs Service,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2016-04-01,601161581,11719.16,0.00,11719.16,Icap Europe Limited,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2016-04-01,1600558347,1332.00,222.00,1110.00,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2016-04-01,6001996452,2595.54,0.00,2595.54,Living Ambitions,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2016-04-01,6001996453,2595.54,0.00,2595.54,Living Ambitions,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2016-04-01,6001996454,2595.54,0.00,2595.54,Living Ambitions,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2016-04-01,6001996455,2595.54,0.00,2595.54,Living Ambitions,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2016-04-01,1600559693,3600.00,0.00,3600.00,Loispec Ltd,Children's Services,Consultants
Salford City Council,2016-04-01,1600558298,819.54,136.59,682.95,Mac Active Ltd,Office of the Chief Executive,Cmputer Eqt purchase
Salford City Council,2016-04-01,1600558893,4283.93,713.99,3569.94,Mast Lift Project Co (No2) Ltd,Corporate Business,Gas
Salford City Council,2016-04-01,601161891,1500.00,0.00,1500.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,601162718,600.00,0.00,600.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,1600559132,2000.00,0.00,2000.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,601161842,2450.00,0.00,2450.00,Mead Executive Travel,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,601163260,17196.67,0.00,17196.67,Nugent Care Society,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,601161905,1847.10,0.00,1847.10,P A Devine,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,1600559630,760.80,126.80,634.00,Playdale Playgroups Ltd,Environment and Community Safety,Adapts/Alterations
Salford City Council,2016-04-01,601163265,18352.00,0.00,18352.00,Pontville School Limited,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,601163267,19194.33,0.00,19194.33,Pontville School Limited,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,1600558828,769.80,128.30,641.50,Posturite (Uk) Limited,"Community, Health & Social Care",Central S & S Alloc
Salford City Council,2016-04-01,1600558829,2240.28,0.00,2240.28,Pro Support,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2016-04-01,1600557527,2957.52,492.92,2464.60,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,601163025,2116.80,0.00,2116.80,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996449,514.08,0.00,514.08,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996450,514.08,0.00,514.08,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996451,514.08,0.00,514.08,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996459,5363.16,0.00,5363.16,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996461,23322.30,0.00,23322.30,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996463,6583.19,0.00,6583.19,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996465,6106.72,0.00,6106.72,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996466,5987.95,0.00,5987.95,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996467,3245.74,0.00,3245.74,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996468,3146.86,0.00,3146.86,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996469,3146.86,0.00,3146.86,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996470,3146.86,0.00,3146.86,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996471,5881.32,0.00,5881.32,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996473,8490.48,0.00,8490.48,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996519,2793.13,0.00,2793.13,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996520,2793.13,0.00,2793.13,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996521,2816.68,0.00,2816.68,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996522,2816.68,0.00,2816.68,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996523,2473.00,0.00,2473.00,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,6001996524,16564.80,0.00,16564.80,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2016-04-01,601161854,640.00,0.00,640.00,Redacted data,Children's Services,Pupil Assistance
Salford City Council,2016-04-01,601161872,1120.00,0.00,1120.00,Redacted data,Children's Services,Pupil Assistance
