Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2017-09-01,1600590838,780,130,650,Pde Waste Technologies Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2017-09-01,1600591171,697.37,116.23,581.14,Killgerm Chemicals Ltd,Environment and Community Safety,Chemicals
Salford City Council,2017-09-01,1600591661,1338,223,1115,National Retail Systems Ltd,Environment and Community Safety,Computer Software
Salford City Council,2017-09-01,601199254,4000,0,4000,Redacted Data,Children's Services,Consult/Contractors
Salford City Council,2017-09-01,1600591649,3250,0,3250,Tipp,Children's Services,Consult/Contractors
Salford City Council,2017-09-01,601200106,600,0,600,The Court Service,Sustainable Regeneration,Debt Recoveries Agen
Salford City Council,2017-09-01,601200107,1448,0,1448,The Court Service,Sustainable Regeneration,Debt Recoveries Agen
Salford City Council,2017-09-01,1600591015,543.6,90.6,453,Osborne Delta,Office of the Chief Executive,Dev Servs Day to Day
Salford City Council,2017-09-01,1600590788,1440,240,1200,Enventure Research,Environment and Community Safety,Equipment Purchase
Salford City Council,2017-09-01,1600591160,5760,960,4800,F. R. Sharrock Limited,Environment and Community Safety,Equipment Purchase
Salford City Council,2017-09-01,1600591651,22041.5,3673.58,18367.92,Harry Fairclough Construction Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2017-09-01,1600591671,566.28,94.38,471.9,Hub Security Systems Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2017-09-01,yfuokulbm,735.96,6.06,729.9,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-01,601191368,4384.5,0,4384.5,Carpenters Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-01,601197440,540,90,450,Thinking Communities Ltd,Children's Services,Other Prof Fees
Salford City Council,2017-09-01,601199258,609.1,0,609.1,Langworthy Medical Practice,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-01,601199259,959.04,0,959.04,Langworthy Medical Practice,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-01,1600585903,684,114,570,Horticon Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-01,601198748,931,0,931,Better Tuition,Children's Services,Pupil Assistance
Salford City Council,2017-09-01,1600591016,2914,0,2914,Langworthy Cornerstone Assoc.,Children's Services,Rents
Salford City Council,2017-09-01,uxespziyn,999.52,0,999.52,Eurowings Nge82u_130289,Corporate Business,Staff Travel
Salford City Council,2017-09-01,1600591169,613.6,18.6,595,Iccm National Office,Environment and Community Safety,Training expenses
Salford City Council,2017-09-01,1600591165,1027.2,171.2,856,North West Local Authorities,Corporate Business,Training of Others
Salford City Council,2017-09-01,1600589524,255280.15,42546.69,212733.46,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2017-09-01,1600591012,1496.94,249.49,1247.45,E.F.T. Systems Ltd,Sustainable Regeneration,UV Light/Fire
Salford City Council,2017-09-01,601200054,672,112,560,Chrystal Consulting Ltd,Environment and Community Safety,Veh Operating Leases
Salford City Council,2017-09-01,601200063,588,98,490,Societe Generale Equipment Fin Ltd,Environment and Community Safety,Veh Operating Leases
Salford City Council,2017-09-01,601200067,1698,283,1415,Societe Generale Equipment Fin Ltd,Environment and Community Safety,Veh Operating Leases
Salford City Council,2017-09-01,601200068,840,0,840,Buddies Matchstick Club,Children's Services,Vehicle RunningCosts
