Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L no.
Salford City Council,2014-07-01,1600507877,1320.00,220.00,1100.00,Amtec Computer Services Ltd,Customer and Support Services,IT  Licence Fee
Salford City Council,2014-07-01,601119253,6554.28,0.00,6554.28,Aon Uk,Sustainable Regeneration,Insurance Premiums
Salford City Council,2014-07-01,601119239,7675.71,0.00,7675.71,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600508503,624.00,104.00,520.00,C P Davidson & Sons Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-07-01,601119237,3600.00,0.00,3600.00,Capstone Foster Care (North) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,601119233,3720.00,0.00,3720.00,Capstone Foster Care (North) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600508193,19277.42,0.00,19277.42,Care Uk Learning Disabilities Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600510020,6483.70,1080.62,5403.08,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2014-07-01,601119232,2925.00,0.00,2925.00,Classic Foster Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600509106,3113.70,0.00,3113.70,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600507870,3166.65,0.00,3166.65,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600508628,3166.65,0.00,3166.65,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600508072,3210.00,0.00,3210.00,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600508037,3217.49,0.00,3217.49,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600507872,3268.80,0.00,3268.80,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600507871,3272.20,0.00,3272.20,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,1600507874,3272.20,0.00,3272.20,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-07-01,601119264,547.00,0.00,547.00,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-01,1600508350,550.43,91.74,458.69,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-07-01,1600508352,626.63,104.44,522.19,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-07-01,1600508370,756.48,126.08,630.40,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-07-01,1600508694,3825.10,637.52,3187.58,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2014-07-01,601118743,3627.36,604.56,3022.80,Emanuel Whittakers Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-01,601119280,2882.00,0.00,2882.00,Equitas Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-01,1600508429,777.86,129.65,648.21,F. R. Sharrock Limited,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-07-01,601117542,1378.20,229.70,1148.50,Forbes Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-01,601119333,4000.00,0.00,4000.00,Fp Teleset Data Group,Customer and Support Services,Postage
Salford City Council,2014-07-01,1600507772,4458.67,0.00,4458.67,George House Trust,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-07-01,1600507773,4458.67,0.00,4458.67,George House Trust,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-07-01,1600509874,1680.00,280.00,1400.00,Georgian Gates And Railing Ltd,Environment and Community Safety,Equipment Repair
Salford City Council,2014-07-01,1600508494,12600.00,2100.00,10500.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-07-01,1600508829,70156.80,11692.80,58464.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-07-01,601118645,870.00,145.00,725.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2014-07-01,601118628,234971.70,39161.95,195809.75,Ht Forrest Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-07-01,1600509269,5102.40,850.40,4252.00,Independent Catering Services (Uk),Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-07-01,1600509267,5604.00,934.00,4670.00,Independent Catering Services (Uk),Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-07-01,1600509271,9912.00,1652.00,8260.00,Independent Catering Services (Uk),Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-07-01,1600509270,11854.80,1975.80,9879.00,Independent Catering Services (Uk),Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-07-01,1600507567,1886.22,314.37,1571.85,Jenx Limited,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-07-01,601119279,11800.00,0.00,11800.00,Linder Myers Llp,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-01,601119260,1709.14,0.00,1709.14,LV=,Customer and Support Services,Liability Insurance
Salford City Council,2014-07-01,1600509960,33800.84,5633.47,28167.37,Mitie Security Ltd,Environment and Community Safety,Security/Equipment
Salford City Council,2014-07-01,601117407,2500.00,416.67,2083.33,Northgate Information Solutions,Customer and Support Services,IT  Licence Fee
Salford City Council,2014-07-01,1600508441,712.80,118.80,594.00,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-07-01,1600507516,870.00,0.00,870.00,Parish Of Clifton,Children's Services,Hire of Facilities
Salford City Council,2014-07-01,601119282,1320.00,0.00,1320.00,Paypoint Plc,Sustainable Regeneration,Provisions
Salford City Council,2014-07-01,601119311,15352.00,0.00,15352.00,Pontville School Limited,Children's Services,Non-Maint Spec Schls
Salford City Council,2014-07-01,601117935,15969.00,0.00,15969.00,Pontville School Limited,Children's Services,Non-Maint Spec Schls
Salford City Council,2014-07-01,601118199,18352.00,0.00,18352.00,Pontville School Limited,Children's Services,Non-Maint Spec Schls
Salford City Council,2014-07-01,601119252,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
