Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2013-02-01,1600461280,841.43,140.24,701.19,Alan Franklin Builders Ltd,Capital Expenditure,Other Works
Salford City Council,2013-02-01,1600461670,2049.60,341.60,1708.00,Alarm And Security Services,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-02-01,1600461681,2833.20,472.20,2361.00,Alarm And Security Services,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-02-01,43565036,1603.00,0.00,1603.00,Alexander Support Serv,Sustainable Regeneration,Rents
Salford City Council,2013-02-01,1600460453,607.91,101.32,506.59,"Arjo Limited,","Community, Health & Social Care",Vehicle Related Expenditure
Salford City Council,2013-02-01,601079425,6000.00,1000.00,5000.00,Atkins Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2013-02-01,601079426,6000.00,1000.00,5000.00,Atkins Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2013-02-01,1600462009,822.91,137.15,685.76,Bcl,Office of the Chief Executive,Electricity
Salford City Council,2013-02-01,1600461142,12590.23,0.00,12590.23,Birtenshaw Hall,Children's Services,Non-Maint Spec Schls
Salford City Council,2013-02-01,1600461063,1603.11,0.00,1603.11,Broadoak Funeral Service,"Community, Health & Social Care",Funerals
Salford City Council,2013-02-01,1600460857,3039.11,506.52,2532.59,Cable & Wireless Communications,Customer and Support Services,Computer Equipment
Salford City Council,2013-02-01,601079427,36027.38,6004.56,30022.82,Carillion Construction Ltd,Capital Expenditure,Other Works
Salford City Council,2013-02-01,1600461623,42279.60,7046.60,35233.00,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2013-02-01,1600461986,10000.00,0.00,10000.00,Clapperboard Uk Ltd,Office of the Chief Executive,Grants - External
Salford City Council,2013-02-01,1600459863,726.00,121.00,605.00,Click Fire & Security Ltd,Children's Services,Prog Health & Safety
Salford City Council,2013-02-01,1600459859,1260.00,210.00,1050.00,Click Fire & Security Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2013-02-01,1600459736,754.27,125.71,628.56,Community Security (North West) Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-02-01,1600459740,880.86,146.81,734.05,Community Security (North West) Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-02-01,1600461984,4884.00,814.00,4070.00,Dolphin Mobility Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-02-01,601079411,12000.00,2000.00,10000.00,Ener-G Switch2 Ltd,Capital Expenditure,Other Works
Salford City Council,2013-02-01,601079414,4000.00,0.00,4000.00,Fp Teleset Data Group,Customer and Support Services,Postage
Salford City Council,2013-02-01,601077965,992.44,0.00,992.44,Great Places Housing Association,Children's Services,Rents
Salford City Council,2013-02-01,1600461374,1240.55,0.00,1240.55,Great Places Housing Association,Children's Services,Rents
Salford City Council,2013-02-01,1600461849,45591.60,7598.60,37993.00,Hint Media,"Community, Health & Social Care",Marketing/Publicity
Salford City Council,2013-02-01,601079407,3217.24,0.00,3217.24,Imagine Act And Succeed,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2013-02-01,1600461736,3870.00,645.00,3225.00,Industry Wake Parks,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-02-01,1600460107,8590.50,1431.75,7158.75,Ingenitech Ltd,Customer and Support Services,Lease line rentals
Salford City Council,2013-02-01,1600460392,1348.99,224.83,1124.16,Johnston Sweepers Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2013-02-01,1600460465,1188.60,198.10,990.50,Jws Waste & Recycling Systems Ltd,Environment and Community Safety,Contractors
Salford City Council,2013-02-01,1600461684,990.68,0.00,990.68,Langworthy Cornerstone Assoc.,Children's Services,Rents
Salford City Council,2013-02-01,1600458498,2958.00,0.00,2958.00,Langworthy Cornerstone Assoc.,Children's Services,Other Prof Fees
Salford City Council,2013-02-01,601079392,8360.79,1393.46,6967.33,Leigh Electrical Services Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-02-01,1600459731,2100.00,350.00,1750.00,Lisclare Limited,"Community, Health & Social Care",Disability Equipment
Salford City Council,2013-02-01,1600459732,2664.00,444.00,2220.00,Lisclare Limited,"Community, Health & Social Care",Disability Equipment
Salford City Council,2013-02-01,1600461222,900.00,0.00,900.00,Mds Mini Buses,Children's Services,Pupil Assistance
Salford City Council,2013-02-01,1600461223,1500.00,0.00,1500.00,Mds Mini Buses,Children's Services,Pupil Assistance
Salford City Council,2013-02-01,1600458291,682.67,113.78,568.89,Metric Group Limited,Sustainable Regeneration,Electricity
Salford City Council,2013-02-01,601078752,11184.18,1864.03,9320.15,Mitie Security Ltd,Capital Expenditure,Capital Expenses
Salford City Council,2013-02-01,1600460430,8480.50,0.00,8480.50,Mjcc,"Community, Health & Social Care",Payts to Agencies
