Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2013-03-01,1600462584,2100,350,1750,Abca Systems,Sustainable Regeneration,Electricity
Salford City Council,2013-03-01,1600463824,960,160,800,After Adoption,Children's Services,Training expenses
Salford City Council,2013-03-01,1600462279,667.13,111.19,555.94,Air Products Plc,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2013-03-01,1600464193,1026,171,855,Alan Franklin Builders Ltd,Capital Expenditure,Demolition
Salford City Council,2013-03-01,1600464197,1026,171,855,Alan Franklin Builders Ltd,Capital Expenditure,Demolition
Salford City Council,2013-03-01,1600464741,724.34,120.72,603.62,Alarm And Security Services,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-03-01,1600462367,1728,288,1440,Bikeright,Sustainable Regeneration,Training expenses
Salford City Council,2013-03-01,44833302,700.88,0,700.88,Birtwistle Butcher,Environmental and Community Health,Food and refreshments
Salford City Council,2013-03-01,601082006,4118.57,0,4118.57,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,601081119,1766.92,294.46,1472.46,Comensura Ltd,Capital Expenditure,Agency Fees
Salford City Council,2013-03-01,601081874,2274.09,0,2274.09,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,601082017,4248.89,0,4248.89,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,1600462649,3312,552,2760,Csc Window Films,Capital Expenditure,External Fees-Other
Salford City Council,2013-03-01,1600462156,960,160,800,Ellesmere Engineering Co Ltd,Customer and Support Services,UV Air Con
Salford City Council,2013-03-01,1600464122,950.76,158.46,792.3,Ellesmere Engineering Co Ltd,Community Health & Social Care,UV Air Con
Salford City Council,2013-03-01,601081975,244616.1,40769.35,203846.75,Emanuel Whittakers Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-03-01,601081976,430136.69,71689.45,358447.24,Emanuel Whittakers Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-03-01,601081977,210543.81,35090.64,175453.17,Emanuel Whittakers Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-03-01,601081978,415932.1,69322.13,346609.97,Emanuel Whittakers Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-03-01,44833324,1080,180,900,Esendex Limited,Customer Services,Telephones & Fax Machines
Salford City Council,2013-03-01,1600463555,1200,0,1200,Family Rights Group,Children's Services,Training expenses
Salford City Council,2013-03-01,1600464039,595,0,595,Federation Of Jewish Services,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,1600462417,4260,710,3550,Five Star Fencing,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-03-01,1600462418,1224,204,1020,Five Star Fencing,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-03-01,601082030,2700.88,0,2700.88,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,1600463782,2511.82,0,2511.82,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,1600463785,3210.48,0,3210.48,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,1600463788,3049.96,0,3049.96,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,1600463789,3049.96,0,3049.96,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,1600463790,2971.16,0,2971.16,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,1600463791,3194.8,0,3194.8,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,1600463792,3033.24,0,3033.24,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,1600463793,3049.96,0,3049.96,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,1600463795,2744.96,0,2744.96,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2013-03-01,601082151,4000,0,4000,Fp Teleset Data Group,Customer and Support Services,Postage
Salford City Council,2013-03-01,601082022,3225.43,0,3225.43,Great Places Housing Association,Children's Services,Rents
Salford City Council,2013-03-01,44833327,3762,0,3762,Hawthorn Hotel,Sustainable Regenerationtion,Support for the homeless
Salford City Council,2013-03-01,1600463786,37347.52,6224.59,31122.93,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2013-03-01,1600464046,2201.16,366.86,1834.3,Helping Hands Minor Repairs Service,Sustainable Regeneration,Grants
