Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L no.
Salford City Council,2014-08-01,601121096,504.24,84.04,420.20,Plumbing Trade Supplies,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-08-01,1600512555,520.42,86.74,433.68,Bradshaw International,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-08-01,601121533,522.00,87.00,435.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2014-08-01,1600510976,524.09,87.35,436.74,Viridor Waste (Greater Manchester),Sustainable Regeneration,Refuse Disposal
Salford City Council,2014-08-01,1600510936,528.38,88.06,440.32,Turbex Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-08-01,1600511366,552.00,92.00,460.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-08-01,1600511752,555.60,92.60,463.00,Door Repair Service  Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-08-01,1600511575,625.64,0.00,625.64,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-08-01,1600512130,665.00,0.00,665.00,University Of Manchester,"Community, Health & Social Care",Contingency
Salford City Council,2014-08-01,601121100,672.00,112.00,560.00,Leigh Electrical Services Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-08-01,1600511821,737.80,117.80,620.00,Regional Publications Ltd,"Community, Health & Social Care",Marketing/Publicity
Salford City Council,2014-08-01,1600509386,786.00,0.00,786.00,South London & Maudsley Nhs,Children's Services,Payts to Agencies
Salford City Council,2014-08-01,1600512562,822.91,137.15,685.76,Bradshaw International,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-08-01,1600511977,846.35,141.06,705.29,Vanguard Storage Systems,Sustainable Regeneration,Removal Expenses
Salford City Council,2014-08-01,1600510611,855.60,142.60,713.00,G4S Assessment Services (Uk) Ltd,Environment and Community Safety,Other Prof Fees
Salford City Council,2014-08-01,601120740,900.00,0.00,900.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-08-01,601121268,943.45,157.27,786.18,Edmundson Electrical Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-08-01,1600511694,960.00,160.00,800.00,Manchester City Council,Customer and Support Services,Payts to Other LA's
