Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2012-11-01,1600452018,504.09,84.02,420.07,Slater Technical Services,Environment and Community Health,Vehicle Related Expenditure
Salford City Council,2012-11-01,1600454052,513.26,85.54,427.72,Wilson Electrics,"Community, Health & Social Care",Vehicle Related Expenditure
Salford City Council,2012-11-01,40050046,528.00,0.00,528.00,Acm Training,Children's Services,Books & Periodicals
Salford City Council,2012-11-01,601071558,576.00,96.00,480.00,Saltax Ltd,"Community, Health & Social Care",Transport
Salford City Council,2012-11-01,601071557,604.80,100.80,504.00,Saltax Ltd,"Community, Health & Social Care",Transport
Salford City Council,2012-11-01,1600453100,609.78,101.63,508.15,Key Care & Support Ltd,Children's Services,Payts to Agencies
Salford City Council,2012-11-01,601071524,695.00,0.00,695.00,Redacted Personal Data,Sustainable Regeneration,Sub Contractors
Salford City Council,2012-11-01,1600453167,728.00,0.00,728.00,Holyrood Day Nursery,Children's Services,Nursery Supply-Basic
Salford City Council,2012-11-01,1600453975,801.92,0.00,801.92,Electricity North West Ltd,Capital Expenditure,Demolition
Salford City Council,2012-11-01,601071540,843.88,0.00,843.88,Redacted Personal Data,Capital Expenditure,Disturbance Payments
Salford City Council,2012-11-01,1600451617,852.00,142.00,710.00,Simple Technology (Uk) Ltd,Customer and Support Services,Computer Equipment
Salford City Council,2012-11-01,601071523,900.00,0.00,900.00,Prestige Property,Sustainable Regeneration,Sub Contractors
Salford City Council,2012-11-01,601071521,900.00,0.00,900.00,Redacted Personal Data,Sustainable Regeneration,Sub Contractors
Salford City Council,2012-11-01,1600453213,927.60,154.60,773.00,Siemens Financial Services Ltd,Customer and Support Services,Equipment Leasing
Salford City Council,2012-11-01,601071559,936.00,156.00,780.00,Streetways Ltd,"Community, Health & Social Care",Transport
Salford City Council,2012-11-01,39970089,1130.28,188.38,941.90,Alliance Disposables Ltd,Urban Vision,Cleaning Materials
Salford City Council,2012-11-01,601071520,1132.03,188.67,943.36,Circuit Electrical Testing Limited,Sustainable Regeneration,Equipment Purchase
Salford City Council,2012-11-01,1600453984,1167.60,194.60,973.00,Rubax Lifts Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2012-11-01,1600454061,1500.00,0.00,1500.00,Mds Mini Buses,Children's Services,Pupil Assistance
Salford City Council,2012-11-01,601071545,1521.43,0.00,1521.43,Redacted Personal Data,Children's Services,Payt to care clients
Salford City Council,2012-11-01,1600453936,2065.00,0.00,2065.00,Horizon Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2012-11-01,1600453986,2320.02,386.67,1933.35,Rubax Lifts Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2012-11-01,601070995,3121.20,520.20,2601.00,Men Media Ltd,Sustainable Regeneration,Legal Fees
Salford City Council,2012-11-01,1600453456,16716.79,2786.13,13930.66,Mitie Security Ltd,Environment and Community Health,Security/Equipment
Salford City Council,2012-11-01,1600453457,16793.04,2798.84,13994.20,Mitie Security Ltd,Environment and Community Health,Security/Equipment
Salford City Council,2012-11-01,601071526,18847.08,3141.18,15705.90,Plumbing Trade Supplies,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2012-11-01,601071552,35662.80,0.00,35662.80,Inspirit Care Limited,"Community, Health & Social Care",Resid Care Home
Salford City Council,2012-11-01,1600452040,37143.75,0.00,37143.75,Salford Womens Aid,Environment and Community Health,Grants
Salford City Council,2012-11-01,601071553,43832.00,0.00,43832.00,Inspirit Care Limited,"Community, Health & Social Care",Resid Care Home
Salford City Council,2012-11-01,601071536,52987.64,0.00,52987.64,Inspirit Care Limited,"Community, Health & Social Care",Resid Care Home
Salford City Council,2012-11-01,2203298317,66466.00,0.00,66466.00,Clifford Poole Sols,Sustainable Regeneration,Property Acquisition
Salford City Council,2012-11-01,1600451640,79916.67,0.00,79916.67,Sodexo Ltd,Environment and Community Health,Integrated Drug Treatment Grant
Salford City Council,2012-11-02,601071576,2805.92,467.64,2338.28,Southern Electric,Customer and Support Services,Electricity
Salford City Council,2012-11-02,1600454087,511.50,85.25,426.25,Creedon Healthcare,"Community, Health & Social Care",Equipment Repair
Salford City Council,2012-11-02,601071629,519.95,0.00,519.95,Equita Limited,Customer and Support Services,VAT Adjustment
Salford City Council,2012-11-02,1600451551,527.54,87.92,439.62,Lyreco Uk Limited,Sustainable Regeneration,Stationery
Salford City Council,2012-11-02,601071618,534.00,0.00,534.00,Together Trust,"Community, Health & Social Care",Day Care
Salford City Council,2012-11-02,1600452907,571.06,95.18,475.88,Johnston Sweepers Ltd,Environment and Community Health,Vehicle Related Expenditure
Salford City Council,2012-11-02,1600454147,597.60,99.60,498.00,Airborne Environmental Consultants,Capital Expenditure,Works & Building
Salford City Council,2012-11-02,601071628,629.47,0.00,629.47,Equita Limited,Customer and Support Services,VAT Adjustment
Salford City Council,2012-11-02,40050031,633.84,105.64,528.20,Alliance Disposables Ltd,Customer & Support Services,Cleaning Materials
Salford City Council,2012-11-02,1600451933,660.00,110.00,550.00,Legends Health & Leisure Centre,Customer and Support Services,Sponsorship
Salford City Council,2012-11-02,40050016,719.65,0.00,719.65,Birtwistle Butcher,Environmental & Community Safety,Food and refreshments
Salford City Council,2012-11-02,1600453166,728.00,0.00,728.00,Holyrood Day Nursery,Children's Services,Nursery Supply-Basic
Salford City Council,2012-11-02,1600451934,748.46,124.74,623.72,Helping Hand Company,"Community, Health & Social Care",Disability Equipment
Salford City Council,2012-11-02,601071632,780.00,130.00,650.00,Redacted Personal Data,Customer and Support Services,Legal Fees
Salford City Council,2012-11-02,1600454124,824.15,137.36,686.79,United Utilities,Environment and Community Health,Vehicle Running Cost
Salford City Council,2012-11-02,601071665,843.68,0.00,843.68,Redacted Personal Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2012-11-02,601071670,843.68,0.00,843.68,Redacted Personal Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2012-11-02,1600453731,846.45,0.00,846.45,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2012-11-02,1600453734,846.45,0.00,846.45,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2012-11-02,601071671,852.92,0.00,852.92,Redacted Personal Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2012-11-02,1600453732,860.70,0.00,860.70,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2012-11-02,601071634,862.16,0.00,862.16,Redacted Personal Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2012-11-02,1600453733,875.90,0.00,875.90,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2012-11-02,1600454223,882.00,147.00,735.00,J Cocker (Tinsmith),"Community, Health & Social Care",Adapts/Alterations
Salford City Council,2012-11-02,601071672,899.08,0.00,899.08,Redacted Personal Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2012-11-02,1600454114,900.00,0.00,900.00,Mds Mini Buses,Children's Services,Pupil Assistance
Salford City Council,2012-11-02,601071686,900.00,150.00,750.00,Addleshaw Goddard,Sustainable Regeneration,Sampling
Salford City Council,2012-11-02,1600454126,928.08,154.68,773.40,United Utilities,Environment and Community Health,Vehicle Running Cost
Salford City Council,2012-11-02,601071669,943.14,0.00,943.14,Redacted Personal Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2012-11-02,601071689,957.42,159.57,797.85,Adt Fire & Security Plc,Environment and Community Health,Security Sys R & Mnt
Salford City Council,2012-11-02,1600454128,960.00,160.00,800.00,United Utilities,Environment and Community Health,Vehicle Running Cost
