Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2012-07-02,601060326,1482.96,247.16,1235.80,Michael Page International,Customer and Support Services,Agency Fees
Salford City Council,2012-07-02,1600443899,1976.40,329.40,1647.00,Leigh Dogs And Cats Home Ltd,Environment and Community Safety,Animal Boarding Fees
Salford City Council,2012-07-02,1600443900,700.00,0.00,700.00,Leigh Dogs And Cats Home Ltd,Environment and Community Safety,Animal Boarding Fees
Salford City Council,2012-07-02,1600443887,600.00,0.00,600.00,C P A G,Community Health & Social Care,Books & Periodicals
Salford City Council,2012-07-02,601060358,1257.20,0.00,1257.20,Redacted Personal Data,Community Health & Social Care,Carers Respite
Salford City Council,2012-07-02,601060359,1257.20,0.00,1257.20,Redacted Personal Data,Community Health & Social Care,Carers Respite
Salford City Council,2012-07-02,1600444239,608.40,101.40,507.00,Specialist Computer Centres Plc,Chief Executives,Computer Equipment
Salford City Council,2012-07-02,1600444240,5478.00,913.00,4565.00,Specialist Computer Centres Plc,Customer and Support Services,Computer Equipment
Salford City Council,2012-07-02,1600444255,672.00,112.00,560.00,Alan Franklin Builders Ltd,Capital Expenditure,Demolition
Salford City Council,2012-07-02,1600444160,68154.96,11359.16,56795.80,Walter Forshaw Ltd,Capital Expenditure,Demolition
Salford City Council,2012-07-02,1600442436,568.27,94.71,473.56,E & J Kane Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2012-07-02,1600442453,863.64,143.94,719.70,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2012-07-02,1600442454,909.61,151.60,758.01,E And J Kane Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2012-07-02,1600444175,556.00,92.67,463.33,Micron Electrical Contracting Ltd,Environment and Community Safety,Dev Servs Day to Day
Salford City Council,2012-07-02,601060340,624.00,104.00,520.00,Enterprise Managed Services Ltd,Sustainable Regeneration,Electricity
Salford City Council,2012-07-02,1600438846,768.00,128.00,640.00,Early Excellence Ltd,Children's Services,Equipment Purchase
Salford City Council,2012-07-02,35734013,1826.40,304.40,1522.00,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2012-07-02,601060315,1081.90,31.18,1050.72,Npower Gas Limited,Sustainable Regeneration,Gas
Salford City Council,2012-07-02,601058264,108000.00,18000.00,90000.00,Careers Solutions,Children's Services,Grants
Salford City Council,2012-07-02,1600444171,684.30,114.05,570.25,Phs Group Plc,Customer and Support Services,Housekeeping
Salford City Council,2012-07-02,601060375,3429.90,571.65,2858.25,Cunningham Epos Solutions,Environment and Community Safety,IT  Licence Fee
Salford City Council,2012-07-02,601060348,2774.40,462.40,2312.00,Men Media Ltd,Sustainable Regeneration,Legal Fees
Salford City Council,2012-07-02,601057974,816.48,136.08,680.40,Mclellan Clothing Ltd,Children's Services,Medical Health/Safe
Salford City Council,2012-07-02,1600442431,720.29,120.05,600.24,E & J Kane Ltd,Children's Services,Mobile Phones
Salford City Council,2012-07-02,601060342,669.04,111.51,557.53,Cintas Document Management Uk,Children's Services,Oth Office Expenses
Salford City Council,2012-07-02,1600444253,1119.00,186.50,932.50,Alan Franklin Builders Ltd,Capital Expenditure,Other Works
Salford City Council,2012-07-02,1600444254,1159.20,193.20,966.00,Alan Franklin Builders Ltd,Capital Expenditure,Other Works
Salford City Council,2012-07-02,35734113,594.72,0.00,594.72,Brake Bros Ltd,Environment and Community Safety,Provisions
Salford City Council,2012-07-02,1600444283,1500.00,0.00,1500.00,Mds Mini Buses,Children's Services,Pupil Assistance
Salford City Council,2012-07-02,601057378,971.75,0.00,971.75,Salford Royal Nhs Foundation Trust,Community Health & Social Care,Rents
Salford City Council,2012-07-02,35733925,627.21,0.00,627.21,Www.Cartridgesave.Co.U,Customer & Support Services,Stationery
Salford City Council,2012-07-02,601057533,4971.74,828.62,4143.12,Teaching Personnel Ltd,Children's Services,Supply Teach-Basic
Salford City Council,2012-07-02,601057977,552.00,92.00,460.00,Teaching Personnel Ltd,Children's Services,Supply Teach-Basic
Salford City Council,2012-07-02,601057978,540.00,90.00,450.00,Teaching Personnel Ltd,Children's Services,Supply Teach-Basic
Salford City Council,2012-07-02,1600443355,38400.00,6400.00,32000.00,Capita Symonds Ltd,Sustainable Regeneration,Unclass Road Maint
Salford City Council,2012-07-02,1600444248,1040.88,135.77,905.11,Protec Fire Detection Plc.,Community Health & Social Care,UV Light/Fire
Salford City Council,2012-07-02,1600442905,972.00,162.00,810.00,Click Fire & Security Ltd,Capital Expenditure,Works & Building
Salford City Council,2012-07-03,601060423,1003.20,167.20,836.00,Hays Education,Children's Services,Agency Fees
Salford City Council,2012-07-03,601060424,939.65,156.61,783.04,Hays Education,Children's Services,Agency Fees
Salford City Council,2012-07-03,1600443060,11841.14,1973.52,9867.62,Apem Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2012-07-03,35754239,1420.00,0.00,1420.00,Union Leisurewear Ltd,Children's Services,Clothing & Uniforms
Salford City Council,2012-07-03,1600442566,2034.00,339.00,1695.00,Viglen,Chief Executives,Computer Equipment
Salford City Council,2012-07-03,1600442560,2862.00,477.00,2385.00,Viglen,Children's Services,Computer Equipment
Salford City Council,2012-07-03,1600442568,2412.00,402.00,2010.00,Viglen,Children's Services,Computer Equipment
Salford City Council,2012-07-03,1600442561,3096.00,516.00,2580.00,Viglen,Community Health & Social Care,Computer Equipment
Salford City Council,2012-07-03,1600442567,572.40,95.40,477.00,Viglen,Community Health & Social Care,Computer Equipment
Salford City Council,2012-07-03,1600443057,1200.00,200.00,1000.00,Iccm National Office,Environment and Community Safety,Consult/Contractors
Salford City Council,2012-07-03,1600442667,5436.90,906.15,4530.75,Jws Waste & Recycling Systems Ltd,Environment and Community Safety,Contractors
Salford City Council,2012-07-03,1600443306,624.00,104.00,520.00,Sulzer Dowding & Mills,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2012-07-03,35754189,2022.00,0.00,2022.00,Chubb Intergrated,Customer & Support Services,Disability Equipment
Salford City Council,2012-07-03,1600443019,3960.00,660.00,3300.00,Mangar International Ltd,Community Health & Social Care,Disability Equipment
Salford City Council,2012-07-03,1600444307,12592.80,2098.80,10494.00,Prism Medical Uk,Community Health & Social Care,Disability Equipment
Salford City Council,2012-07-03,1600443780,1800.00,300.00,1500.00,S & S Marquees,Chief Executives,Equipment Hire
Salford City Council,2012-07-03,1600442557,1500.00,250.00,1250.00,Powercare,Environment and Community Safety,Equipment Purchase
Salford City Council,2012-07-03,1600442402,3860.34,643.39,3216.95,Vip Systems Ltd,Environment and Community Safety,Equipment Purchase
Salford City Council,2012-07-03,1600442664,1107.60,184.60,923.00,Fibrous Ltd,Environment and Community Safety,Gen Resaleable Items
Salford City Council,2012-07-03,1600443016,12750.00,0.00,12750.00,T.H.O.M.A.S,Environment and Community Safety,Grants - External
Salford City Council,2012-07-03,1600443021,23332.75,0.00,23332.75,T.H.O.M.A.S,Environment and Community Safety,Grants - External
Salford City Council,2012-07-03,1600444311,1299.83,216.64,1083.19,R.Draper Ltd,Environment and Community Safety,Horticultural/GMaint
Salford City Council,2012-07-03,1600442522,2237.66,372.94,1864.72,J Fletcher Engineers Ltd,Children's Services,Internet
Salford City Council,2012-07-03,1600442523,518.23,86.37,431.86,J Fletcher Engineers Ltd,Children's Services,Internet
Salford City Council,2012-07-03,1600442524,1891.03,315.17,1575.86,J Fletcher Engineers Ltd,Sustainable Regeneration,Internet
Salford City Council,2012-07-03,601060372,1550.40,258.40,1292.00,Men Media Ltd,Sustainable Regeneration,Legal Fees
Salford City Council,2012-07-03,1600442564,3932.71,655.45,3277.26,Ggp Systems Limited,Sustainable Regeneration,Licencing
Salford City Council,2012-07-03,1600443165,600.00,0.00,600.00,Sarah Preston Illustration,Community Health & Social Care,Marketing/Publicity
Salford City Council,2012-07-03,601060373,2754.00,459.00,2295.00,Men Media Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2012-07-03,601060415,11420.49,0.00,11420.49,Redacted Personal Data,Community Health & Social Care,Money in Possession
Salford City Council,2012-07-03,601058296,1536.76,256.13,1280.63,Experian Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2012-07-03,1600442631,3738.78,623.13,3115.65,Parkeon Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2012-07-03,601057802,17106.00,2851.00,14255.00,Salford Innovation Park Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2012-07-03,601060410,2017.62,0.00,2017.62,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2012-07-03,601060411,1638.30,0.00,1638.30,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2012-07-03,601060412,762.02,0.00,762.02,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2012-07-03,601060422,12895.00,0.00,12895.00,Central Manchester University,Children's Services,Payts to Agencies
Salford City Council,2012-07-03,601060425,3000.00,0.00,3000.00,Central Manchester University,Children's Services,Payts to Agencies
Salford City Council,2012-07-03,1600442668,4380.30,0.00,4380.30,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2012-07-03,1600442681,3425.50,0.00,3425.50,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2012-07-03,1600442682,3374.35,0.00,3374.35,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2012-07-03,1600442683,4245.69,0.00,4245.69,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2012-07-03,1600442685,3425.50,0.00,3425.50,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2012-07-03,1600442686,4312.10,0.00,4312.10,Foster Care Associates Ltd,Children's Services,Payts to Agencies
