#,Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
1,CAB,CABINET OFFICE,2022-07-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SERVICE PAYMENTS,GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037143471,1963020.17
2,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-20,Interest - PFI,Finance Costs,AGP,22,1926857.97
3,CAB,CABINET OFFICE,2022-07-26,EXP - PURCHASE OF GOODS/SERVICES - TRAVEL BOOKING,PROJECT GBNI (PROG),CORPORATE TRAVEL MANAGEMENT NORTH LTD,1037145083,1588216.33
4,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-19,Warehouse Contract Expenditure,GPA Services,Wincanton Holdings Limited,3,1552883.78
5,CAB,CABINET OFFICE,2022-07-04,EXP - PURCHASE OF GOODS/SERVICES - TRAVEL BOOKING,PROJECT GBNI (PROG),CORPORATE TRAVEL MANAGEMENT NORTH LTD,1037142990,1268314.00
6,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,PFI Lifecycle charges,PFI Lifecycle Costs,Exchequer Partnership Plc (100PS),46,1094916.52
7,CAB,CABINET OFFICE,2022-07-21,Exp - Purchase Of Goods/Services - Contractors,COMMERCIAL CONTINUOUS IMPROVEMENT TEAM,CROWN COMMERCIAL SERVICE,2037000934,1083693.47
8,CAB,CABINET OFFICE,2022-07-12,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - DATA COMMUNICATIONS,GDS - NOTIFY PLATFORM,FIRETEXT COMMUNICATIONS LTD,1037143858,997788.89
9,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,Interest - PFI,Finance Costs,Exchequer Partnership No.2 Plc (HGR),50,956926.73
10,CAB,CROWN COMMERCIAL SERVICE,2022-07-06,Smarter Working Refurbishment Costs,Refurbishment Costs,IPO,SINV-000015732,888608.61
11,CAB,CABINET OFFICE,2022-07-04,EXP - PURCHASE OF GOODS/SERVICES - TRAVEL BOOKING,PROJECT GBNI (PROG),CORPORATE TRAVEL MANAGEMENT NORTH LTD,1037142990,878552.72
12,CAB,CABINET OFFICE,2022-07-22,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - DATA COMMUNICATIONS,GDS - NOTIFY PLATFORM,MMG MOBILE MARKETING GROUP,1037144802,824030.74
13,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,Interest - PFI,Finance Costs,Exchequer Partnership Plc (100PS),54,637450.84
14,CAB,CROWN COMMERCIAL SERVICE,2022-07-25,MoU Levy Share \n,MoU Levy Share,CABINET OFFICE,SINV-000015952,508778.53
15,CAB,CABINET OFFICE,2022-07-14,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,GOV UK USER EXPERIENCE & PLATFORM - CORE,ZENDESK,1037144145,494100.00
16,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-13,Professional Services-General,Professional Fees,Morris & Spottiswood Limited,25,486395.03
17,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,PFI Lifecycle charges,PFI Lifecycle Costs,Exchequer Partnership No.2 Plc (HGR),38,468353.78
18,CAB,CABINET OFFICE,2022-07-06,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,COMMS - GREAT CAMPAIGN TEAM,MANNING GOTTLIEB OMD,1037143369,441333.84
19,CAB,CABINET OFFICE,2022-07-20,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,DIGITAL & TECHNOLOGY BUSINESS OPERATIONS TEAM,PRESERVICA LTD,1037144610,435585.60
20,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-27,Soft FM Fixed,Fixed FM Expenditure,ISS Mediclean Ltd,30,433497.97
21,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-20,Interest - PFI,Finance Costs,AGP,23,385371.59
22,CAB,CABINET OFFICE,2022-07-25,Exp - Purchase Of Goods/Services - Consultancy,CSHR - GOVERNMENT CONSULTANCY HUB,THE BOSTON CONSULTING GROUP,1037145010,370000.00
23,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,PFI Lifecycle charges,PFI Lifecycle Costs,Exchequer Partnership No.2 Plc (HGR),54,367506.34
24,CAB,CABINET OFFICE,2022-07-15,EXP - PURCHASE OF GOODS/SERVICES - OTHER - GRANT FUND MANAGEMENT,OGP - ONE PUBLIC ESTATE,LOCAL GOVERNMENT ASSOCIATION,1037144197,344575.82
25,CAB,CABINET OFFICE,2022-07-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,PEOPLE SURVEY (PROG),QUALTRICS LLC,1037144441,340530.00
26,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-01,Soft FM Fixed,Fixed FM Expenditure,ISS Mediclean Ltd,147,337008.47
27,CAB,CABINET OFFICE,2022-07-25,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,GOV COMMS EU EXIT PROG,MANNING GOTTLIEB OMD,1037144935,336197.50
28,CAB,CROWN COMMERCIAL SERVICE,2022-07-06,Consultancy Fees (Advice & Guidance),Consultancy,Gartner UK Ltd,SINV-000015729,333600.00
29,CAB,CABINET OFFICE,2022-07-06,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,COMMS - GREAT CAMPAIGN TEAM,MANNING GOTTLIEB OMD,1037143369,316889.77
30,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-14,PFI Lifecycle charges,PFI Lifecycle Costs,Exchequer Partnership Plc (100PS),58,311895.68
31,CAB,CABINET OFFICE,2022-07-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GRANTS SINGLE APPLICANT PORTAL,ANDIGITAL LTD,1037144840,311760.50
32,CAB,CROWN COMMERCIAL SERVICE,2022-07-25,MoU Levy Share \n,MoU Levy Share,Leeds and York Partnership NHS Foundation Trust,SINV-000015946,285353.34
33,CAB,GOVERNMENT PROPERTY AGENCY,2022-07-13,PFI Soft FM Var VO costs,PFI Variation Charges,AGP,3,284153.01
