#,Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
1,CAB,CABINET OFFICE,"Wednesday, May 04, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,DI - VERIFY,DIGIDENTITY BV,20002226,258569.80
2,CAB,CABINET OFFICE,"Wednesday, May 04, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,DI - VERIFY,DIGIDENTITY BV,20002227,45658.60
3,CAB,CABINET OFFICE,"Thursday, May 05, 2022",EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SITUATION CENTRE,BLOOMBERG FINANCE L.P.,20002228,38449.81
4,CAB,CABINET OFFICE,"Thursday, May 19, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,GDS - PLATFORMS,AIVEN LTD,20002247,38161.28
5,CAB,CABINET OFFICE,"Tuesday, May 24, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,DI - VERIFY,DIGIDENTITY BV,20002248,44417.00
6,CAB,CABINET OFFICE,"Tuesday, May 24, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,DI - VERIFY,DIGIDENTITY BV,20002249,216524.25
7,CAB,CABINET OFFICE,"Tuesday, May 31, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,GDS - PLATFORMS,AIVEN LTD,20002258,37362.44
8,CAB,CABINET OFFICE,"Tuesday, May 03, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GOV UK PUBLISHING,AUTOMATION LOGIC LTD,1037137776,52617.50
9,CAB,CABINET OFFICE,"Tuesday, May 03, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GOV UK PUBLISHING,AUTOMATION LOGIC LTD,1037137776,87475.00
10,CAB,CABINET OFFICE,"Tuesday, May 03, 2022",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GOV UK PUBLISHING,AUTOMATION LOGIC LTD,1037137776,121555.61
11,CAB,CABINET OFFICE,"Tuesday, May 03, 2022",Exp - Purchase Of Goods/Services - Consultancy,ECONOMIC AND DOMESTIC,THE BEHAVIOURAL INSIGHTS TEAM,1037137839,51157.97
12,CAB,CABINET OFFICE,"Tuesday, May 03, 2022",EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - DATA COMMUNICATIONS,GDS - NOTIFY PLATFORM,MMG MOBILE MARKETING GROUP,1037137842,1682115.52
13,CAB,CABINET OFFICE,"Tuesday, May 03, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,DISABILITY UNIT (PROG),OFFICE FOR NATIONAL STATISTIC,1037137859,290878.00
14,CAB,CABINET OFFICE,"Wednesday, May 04, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,SITUATION CENTRE,ERNST & YOUNG LLP,1037137896,374093.00
15,CAB,CABINET OFFICE,"Wednesday, May 04, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,CDIO COMMERCIAL TEAM,BYTES SOFTWARE SERVICES LTD,1037137910,125773.52
16,CAB,CABINET OFFICE,"Wednesday, May 04, 2022",EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - DATA COMMUNICATIONS,GDS - NOTIFY PLATFORM,FIRETEXT COMMUNICATIONS LTD,1037137947,2002323.97
17,CAB,CABINET OFFICE,"Thursday, May 05, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,CSHR - PAY AND REWARDS,KORN FERRY UK LIMITED,1037137988,64987.50
18,CAB,CABINET OFFICE,"Thursday, May 05, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GBS - DIGITAL RECRUITMENT PLATFORMS (PROG),VERSION 1 SOLUTION LTD,1037138003,37655.55
19,CAB,CABINET OFFICE,"Thursday, May 05, 2022",EXP - PURCHASE OF GOODS/SERVICES - GEOSPATIAL DATA SERVICES - CAPITAL,GEOSPATIAL COMMISSION,GETMAPPING PLC,1037138009,99255.25
20,CAB,CABINET OFFICE,"Thursday, May 05, 2022",EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CSHR - SENIOR LEADERS SCHEME,CAPITA BUSINESS SERVICES LTD TA KNOWLEDGEPOOL,1037138019,32444.14
21,CAB,CABINET OFFICE,"Friday, May 06, 2022",EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - DATA COMMUNICATIONS,GDS - NOTIFY PLATFORM,FIRETEXT COMMUNICATIONS LTD,1037138108,1257714.00
22,CAB,CABINET OFFICE,"Friday, May 06, 2022",EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,"IPA FUNCTION, PROFESSION AND STANDARDS",ERNST & YOUNG LLP,1037138121,57985.00
23,CAB,CABINET OFFICE,"Friday, May 06, 2022",EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,FRAUD & ERROR POLICY,ERNST & YOUNG LLP,1037138121,223334.00
24,CAB,CABINET OFFICE,"Friday, May 06, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - ENGINEERING,ZENDESK,1037138138,33575.00
25,CAB,CABINET OFFICE,"Friday, May 06, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,BUILD BACK GREENER (ADMIN),IPSOS MORI LTD,1037138139,25725.00
26,CAB,CABINET OFFICE,"Friday, May 06, 2022",EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT - MANAGEMENT CONFERENCES,"IPA FUNCTION, PROFESSION AND STANDARDS",CALDER WORLD OF TRAVEL,1037138155,29414.83
27,CAB,CABINET OFFICE,"Friday, May 06, 2022",EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT - MANAGEMENT CONFERENCES,"IPA FUNCTION, PROFESSION AND STANDARDS",CALDER WORLD OF TRAVEL,1037138155,147074.11
28,CAB,CABINET OFFICE,"Friday, May 06, 2022",EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT - MANAGEMENT CONFERENCES,COMMS AND ENGAGEMENT,CALDER WORLD OF TRAVEL,1037138155,36595.00
29,CAB,CABINET OFFICE,"Monday, May 09, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,CDIO DIGITAL DELIVERY TEAM,APPRILIS,1037138229,64571.00
30,CAB,CABINET OFFICE,"Monday, May 09, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CDIO CHANGE & DELIVERY,APPRILIS,1037138229,35712.50
31,CAB,CABINET OFFICE,"Monday, May 09, 2022",EXP - PURCHASE OF GOODS/SERVICES - GEOSPATIAL DATA SERVICES - CAPITAL,GEOSPATIAL COMMISSION,BLUESKY INTERNATIONAL LTD,1037138249,101755.20
32,CAB,CABINET OFFICE,"Monday, May 09, 2022",EXP - PURCHASE OF GOODS/SERVICES - GEOSPATIAL DATA SERVICES - CAPITAL,GEOSPATIAL COMMISSION,AIRBUS DEFENCE & SPACE LTD,1037138263,29937.84
33,CAB,CABINET OFFICE,"Monday, May 09, 2022",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,GSG - UKSV DELIVERY,HMRC,1037138282,32695.00
34,CAB,CABINET OFFICE,"Monday, May 09, 2022",EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,COVID-19 INQUIRY,FIELD FISHER WATERHOUSE LLP,1037138321,39197.40
35,CAB,CABINET OFFICE,"Monday, May 09, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,OGP - DATA & ANALYSIS,CORPORATE DOCUMENT SERVICES LTD,1037138328,36095.82
36,CAB,CABINET OFFICE,"Tuesday, May 10, 2022",EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,1037138436,36113.49
37,CAB,CABINET OFFICE,"Tuesday, May 10, 2022",EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,1037138436,54980.89
38,CAB,CABINET OFFICE,"Tuesday, May 10, 2022",EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ADMIRALTY HOUSE,GOVERNMENT PROPERTY AGENCY-2WM,1037138436,101557.00
39,CAB,CABINET OFFICE,"Tuesday, May 10, 2022",EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,1037138436,206089.10
40,CAB,CABINET OFFICE,"Tuesday, May 10, 2022",EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,1037138436,312588.87
41,CAB,CABINET OFFICE,"Tuesday, May 10, 2022",EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - FM CONTRACT VARIABLE,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,1037138436,276582.36
42,CAB,CABINET OFFICE,"Tuesday, May 10, 2022",EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - FM CONTRACT VARIABLE,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,1037138436,55316.47
43,CAB,CABINET OFFICE,"Tuesday, May 10, 2022",EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,1037138436,26316.20
