#,Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
1,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,COP26 CENTRAL COSTS,ROCKEFELLER PHILANTHROPY ADVISORS,20002221,250000.00
2,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,SITUATION CENTRE,DATAMINR INC.,20002222,150000.00
3,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,GOVERNMENT EQUALITIES OFFICE PROG,COUNCIL OF EUROPE,20002223,50000.00
4,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,FACILITIES MANAGEMENT,MITIE FM LTD,1037137646,67648.62
5,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - NON PRIME UTILITIES,FACILITIES MANAGEMENT,MITIE FM LTD,1037137646,32500.00
6,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,NR COMMS HUB,SAVANTA GROUP LTD,1037137647,37280.00
7,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037137654,39992.77
8,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,GOV COMMS EU EXIT PROG,MANNING GOTTLIEB OMD,1037137654,60331.02
9,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037137654,25205.29
10,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037137654,31346.44
11,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037137654,86005.50
12,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037137654,27822.46
13,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037137654,50598.57
14,CAB,CABINET OFFICE,"Friday, April 29, 2022",EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,COVID-19 INQUIRY,THREE RAYMOND BUILDINGS,1037137688,26106.67
15,CAB,CABINET OFFICE,"Friday, April 29, 2022",Exp - Purchase Of Goods/Services - Consultancy,FACULTY & SERVICE DELIVERY,WORLD COMMERCE & CONTRACTING UK LTD,1037137736,48462.00
16,CAB,CABINET OFFICE,"Friday, April 29, 2022",Exp - Purchase Of Goods/Services - Consultancy,CABINET OFFICE SECURITY TEAM,HMRC,1037137764,32096.17
17,CAB,CABINET OFFICE,"Thursday, April 28, 2022",EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,DELIVERY PARTNERS,POLICE SERVICE OF NORTHERN IRELAND,1037137580,573357.68
18,CAB,CABINET OFFICE,"Thursday, April 28, 2022",EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - INSURANCE,GCO ADMIN,AIG LIFE LTD,1037137582,131368.72
19,CAB,CABINET OFFICE,"Thursday, April 28, 2022",EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - INSURANCE,GCO ADMIN,AIG LIFE LTD,1037137582,136930.17
20,CAB,CABINET OFFICE,"Thursday, April 28, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CDIO NETWORKS,RACKSPACE LTD,1037137614,45520.52
21,CAB,CABINET OFFICE,"Thursday, April 28, 2022",EXP - PURCHASE OF GOODS/SERVICES - LIBRARY SERVICES,CDIO KNOWLEDGE & INFORMATION MGMT,HM TREASURY,2037000769,92171.99
22,CAB,CABINET OFFICE,"Wednesday, April 27, 2022",EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - CALL CHARGES,CDIO END USER COMPUTING,TELEFONICA UK LTD,1037137444,31925.51
23,CAB,CABINET OFFICE,"Wednesday, April 27, 2022",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,GSG - UKSV DELIVERY,HMRC,1037137452,91385.00
24,CAB,CABINET OFFICE,"Wednesday, April 27, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,BOUNDARY COMMISSION OF ENGLAND,RTS COMMUNICATIONS LTD,1037137457,95885.00
25,CAB,CABINET OFFICE,"Wednesday, April 27, 2022",EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037137476,48351.78
26,CAB,CABINET OFFICE,"Wednesday, April 27, 2022",EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037137476,40863.49
27,CAB,CABINET OFFICE,"Wednesday, April 27, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,CDIO APPLICATIONS & CLOUD STORAGE,CLOUD TECHNOLOGY SOLUTIONS,1037137477,40250.00
28,CAB,CABINET OFFICE,"Wednesday, April 27, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,GOV COMMS EU EXIT PROG,MANNING GOTTLIEB OMD,1037137513,37859.27
29,CAB,CABINET OFFICE,"Wednesday, April 27, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,GCS INTERNATIONAL,ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT (OECD),1037137543,450000.00
30,CAB,CABINET OFFICE,"Tuesday, April 26, 2022",EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,"IPA FUNCTION, PROFESSION AND STANDARDS",CSL ERNST & YOUNG,1037137364,25000.00
31,CAB,CABINET OFFICE,"Tuesday, April 26, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037137380,75389.83
32,CAB,CABINET OFFICE,"Tuesday, April 26, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037137380,85585.40
33,CAB,CABINET OFFICE,"Tuesday, April 26, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,NR COMMS HUB,MANNING GOTTLIEB OMD,1037137380,117645.27
34,CAB,CABINET OFFICE,"Tuesday, April 26, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,BOUNDARY COMMISSION OF ENGLAND,MANNING GOTTLIEB OMD,1037137380,77274.94
35,CAB,CABINET OFFICE,"Tuesday, April 26, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,BOUNDARY COMMISSION OF ENGLAND,MANNING GOTTLIEB OMD,1037137380,41326.05
36,CAB,CABINET OFFICE,"Tuesday, April 26, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,MYCO PROGRAMME,COVOXA LTD,1037137396,54518.75
37,CAB,CABINET OFFICE,"Tuesday, April 26, 2022",EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,GRS THIRD PARTY PROVISION,TMP UK LTD,1037137404,25659.00
38,CAB,CABINET OFFICE,"Tuesday, April 26, 2022",EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,FRAUD & ERROR POLICY,EXPERIAN LTD,1037137408,385000.00
39,CAB,CABINET OFFICE,"Tuesday, April 26, 2022",Exp - Purchase Of Goods/Services - Consultancy,"IPA FUNCTION, PROFESSION AND STANDARDS",ERNST & YOUNG LLP,1037137409,33000.00
