#,Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
1,CAB,CABINET OFFICE,2022-06-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,DI - VERIFY,DIGIDENTITY BV,20002265,55334.40
2,CAB,CABINET OFFICE,2022-06-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,DI - VERIFY,DIGIDENTITY BV,20002266,288089.35
3,CAB,CABINET OFFICE,2022-06-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES COSTS - MEETING ROOM HIRE,COP26 CENTRAL COSTS,GLOBAL CONFERENCE MANAGEMENT-GCM,20002279,231010.81
4,CAB,CABINET OFFICE,2022-06-01,Exp - Purchase Of Goods/Services - Consultancy,NATIONAL UNDERGROUND ASSET REGISTER,ATKINS LTD,1037140384,220638.65
5,CAB,CABINET OFFICE,2022-06-01,Exp - Purchase Of Goods/Services - Consultancy,NATIONAL UNDERGROUND ASSET REGISTER,ATKINS LTD,1037140384,44127.73
6,CAB,CABINET OFFICE,2022-06-01,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERVICES OUTSOURCING,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,1037140386,51355.22
7,CAB,CABINET OFFICE,2022-06-01,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERVICES OUTSOURCING,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,1037140386,231682.03
8,CAB,CABINET OFFICE,2022-06-01,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERVICES OUTSOURCING,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,1037140386,233526.92
9,CAB,CABINET OFFICE,2022-06-01,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CSHR - SENIOR LEADERS SCHEME,CAPITA BUSINESS SERVICES LTD TA KNOWLEDGEPOOL,1037140423,42199.26
10,CAB,CABINET OFFICE,2022-06-06,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037140475,77738.71
11,CAB,CABINET OFFICE,2022-06-06,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037140475,87135.25
12,CAB,CABINET OFFICE,2022-06-06,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - FM CONTRACT VARIABLE,FACILITIES MANAGEMENT,MITIE FM LTD,1037140505,37935.56
13,CAB,CABINET OFFICE,2022-06-06,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - FM CONTRACT VARIABLE,FACILITIES MANAGEMENT,MITIE FM LTD,1037140505,66974.56
14,CAB,CABINET OFFICE,2022-06-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SERVICE PAYMENTS,GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037140678,1963020.16
15,CAB,CABINET OFFICE,2022-06-07,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT - MANAGEMENT CONFERENCES,CIVIL SERVICE LIVE,CALDER WORLD OF TRAVEL,1037140679,52718.75
16,CAB,CABINET OFFICE,2022-06-07,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT - MANAGEMENT CONFERENCES,INTERNATIONAL LGBT (PROG),CALDER WORLD OF TRAVEL,1037140679,54887.73
17,CAB,CABINET OFFICE,2022-06-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,UK GOV RESEARCH,YOUGOV PLC,1037140690,43250.00
18,CAB,CABINET OFFICE,2022-06-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,UK GOV RESEARCH,YOUGOV PLC,1037140690,25500.00
19,CAB,CABINET OFFICE,2022-06-08,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,1037140746,43879.42
20,CAB,CABINET OFFICE,2022-06-08,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,70 WHITEHALL,GOVERNMENT PROPERTY AGENCY-2WM,1037140746,341111.88
21,CAB,CABINET OFFICE,2022-06-08,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,70 WHITEHALL,GOVERNMENT PROPERTY AGENCY-2WM,1037140746,1072246.40
22,CAB,CABINET OFFICE,2022-06-08,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,70 WHITEHALL,GOVERNMENT PROPERTY AGENCY-2WM,1037140746,306921.00
23,CAB,CABINET OFFICE,2022-06-08,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,70 WHITEHALL,GOVERNMENT PROPERTY AGENCY-2WM,1037140746,1484287.50
24,CAB,CABINET OFFICE,2022-06-08,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,35 GREAT SMITH STREET,GOVERNMENT PROPERTY AGENCY-2WM,1037140746,187789.34
25,CAB,CABINET OFFICE,2022-06-08,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,35 GREAT SMITH STREET,GOVERNMENT PROPERTY AGENCY-2WM,1037140746,485797.70
26,CAB,CABINET OFFICE,2022-06-08,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,FRAUD & ERROR POLICY,ERNST & YOUNG LLP,1037140797,169000.00
27,CAB,CABINET OFFICE,2022-06-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,BPDG - CONTINGENCY,PALANTIR TECHNOLOGIES UK LTD,1037140805,781250.00
28,CAB,CABINET OFFICE,2022-06-08,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,DELIVERY PARTNERS,GLASGOW CITY COUNCIL,1037140816,31433.72
29,CAB,CABINET OFFICE,2022-06-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SERVICE PAYMENTS,GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037140823,95035.83
30,CAB,CABINET OFFICE,2022-06-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,UK GOV RESEARCH,YOUGOV PLC,1037140834,52350.00
