Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901658795,11 May 2018,"35,500,416.52",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900040691,11 May 2018,"15,690,174.86",
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109325548,23 May 2018,"15,073,730.43",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040679,11 May 2018,"14,545,660.03",
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,Civil Engineering Construction Works,1005\5109318238,23 May 2018,"11,872,213.94",
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109317208,23 May 2018,"11,719,053.59",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,Bus Contract Payments,1006\1900040687,11 May 2018,"10,551,151.52",
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109324819,23 May 2018,"10,400,509.87",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040686,11 May 2018,"9,474,153.00",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900040689,11 May 2018,"9,344,232.93",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040684,11 May 2018,"8,193,536.28",
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109304154,16 May 2018,"7,644,910.00",
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109307485,16 May 2018,"7,404,615.00",
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109297447,02 May 2018,"7,365,735.02",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109323312,21 May 2018,"6,722,429.88",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Software Maintenance,1004\5109317766,14 May 2018,"6,525,272.88",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040693,11 May 2018,"6,510,558.13",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900040680,11 May 2018,"6,431,370.27",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109308482,30 Apr 2018,"6,399,846.60",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109326255,25 May 2018,"6,379,791.80",
