Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901658795,2018-05-11,35500416.52,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900040691,2018-05-11,15690174.86,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109325548,2018-05-23,15073730.43,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040679,2018-05-11,14545660.03,
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,Civil Engineering Construction Works,1005\5109318238,2018-05-23,11872213.94,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109317208,2018-05-23,11719053.59,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,Bus Contract Payments,1006\1900040687,2018-05-11,10551151.52,
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109324819,2018-05-23,10400509.87,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040686,2018-05-11,9474153.00,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900040689,2018-05-11,9344232.93,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040684,2018-05-11,8193536.28,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109304154,2018-05-16,7644910.00,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109307485,2018-05-16,7404615.00,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109297447,2018-05-02,7365735.02,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109323312,2018-05-21,6722429.88,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Software Maintenance,1004\5109317766,2018-05-14,6525272.88,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040693,2018-05-11,6510558.13,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900040680,2018-05-11,6431370.27,
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109308482,2018-04-30,6399846.60,
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109326255,2018-05-25,6379791.80,
TFL CORPORATE,NETWORK RAIL,Planning & Development Consultancy,1001\5109303404,2018-05-21,6371833.00,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040677,2018-05-11,6313199.94,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109317201,2018-05-25,5989283.31,
TFL CORPORATE,NETWORK RAIL,Planning & Development Consultancy,1001\5109303991,2018-05-21,5550000.00,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109317033,2018-05-23,5272270.53,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900040695,2018-05-11,5118758.93,
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040692,2018-05-11,5094045.58,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109317769,2018-05-14,5086348.82,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900040777,2018-05-25,5003094.78,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040765,2018-05-25,4756221.02,
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,Rates - Central Listed,1005\1900202629,2018-05-16,3944000.00,
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,Track General Maintenance,1031\5109325538,2018-05-23,3922840.88,
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109323331,2018-05-21,3650184.00,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109312991,2018-05-25,3630000.00,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,Bus Contract Payments,1006\1900040773,2018-05-25,3479000.71,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901658796,2018-05-11,3477685.47,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109311732,2018-05-25,3215825.14,
LONDON UNDERGROUND LTD,COSTAIN LAING O'ROURKE JV,Civil Engineering Construction Works,1005\5109311374,2018-05-02,3197966.18,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900040690,2018-05-11,3140212.93,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040772,2018-05-25,3112539.26,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900040775,2018-05-25,3073067.95,
TFL CORPORATE,ORACLE CORPORATION UK LTD,Software Maintenance,1001\5109270044,2018-05-14,2951771.83,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900040681,2018-05-11,2878549.07,
LONDON BUS SERVICES LTD,TRAVEL LONDON (WEST) LTD,Bus Contract Payments,1006\1900040678,2018-05-11,2702274.65,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040770,2018-05-25,2651833.21,
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Contracted Services - Roads,1002\5109308827,2018-04-30,2520000.00,
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109320759,2018-05-16,2519755.12,
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,Purchase of Associates Loan Notes (Activity),1004\5109290287,2018-05-25,2517794.73,
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Contracted Services - Roads,1002\5109308837,2018-05-02,2330126.68,
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Rolling Stock,788302,2018-05-25,2327859.39,
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,Civil Engineering Construction Works,1005\5109300468,2018-05-09,2316848.96,
DOCKLANDS LIGHT RAILWAY,TRUSTEES OF THE DOCKLANDS LIGHT,Franchise/Concession Variable Fee,1012\1900004764,2018-05-25,2214000.00,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040779,2018-05-25,2126248.47,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900040766,2018-05-25,2105200.63,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900040688,2018-05-11,2034732.76,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040763,2018-05-25,2010665.15,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF NEWHAM,Borough Services - Claim Against Pr Yr Accrual,1002\1900054901,2018-05-02,1950754.22,
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,Equipment Repairs & Maintenance,1031\5109317293,2018-05-14,1850601.86,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900040781,2018-05-25,1808951.60,
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,A13 PFI Service Costs,1002\5109321158,2018-05-23,1792897.81,
TUBE LINES LTD,ABM FACILITY SERVICES UK LTD,Cleaning,790011,2018-05-18,1777885.55,
LONDON UNDERGROUND LTD,FUJITSU SERVICES LTD,IT Consultancy,1005\5109313892,2018-05-25,1705796.74,
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040778,2018-05-25,1693408.88,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109307858,2018-05-21,1619477.87,
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900040682,2018-05-11,1409228.50,
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Road Maintenance,1002\5109303007,2018-05-02,1365622.37,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109311733,2018-05-25,1287276.68,
TFL CORPORATE,SAP UK LTD,Software Maintenance,1001\5109311701,2018-05-25,1248684.00,
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LTD,Franchise/Concession Fixed Fee,1020\5109301806,2018-05-23,1223312.04,
SURFACE TRANSPORT CORP,HOCHTIEF (UK) CONSTRUCTION LTD,Contracted Services - Highway Bridges,1002\5109313020,2018-05-16,1205418.94,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109307322,2018-05-16,1187295.05,
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Repairs & Maintenance,1020\5109313169,2018-05-04,1143884.37,
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,Bus Contract Payments,1006\1900040683,2018-05-11,1125999.09,
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,Contracted Services - Tunnels,1002\5109308863,2018-05-02,1110876.63,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HAVERING,Borough Services - Claim Against Pr Yr Accrual,1002\1900055039,2018-05-25,1089343.33,
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,Purchase of Associates Loan Notes (Activity),1004\5109312028,2018-05-16,1074260.53,
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,A13 PFI Service Costs,1002\5109321160,2018-05-23,1070000.00,
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Contracted Services - Roads,1002\5109308724,2018-05-02,1044255.99,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900040776,2018-05-25,1025492.17,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900040767,2018-05-25,997937.23,
RAIL FOR LONDON LIMITED,CLESHAR CONTRACT SERVICES LTD,Maintenance of Plant & Equipment,1020\5109325056,2018-05-23,997854.00,
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,Bus Contract Payments,1006\1900040685,2018-05-11,975411.47,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Maintenance of Plant & Equipment,1005\5109298587,2018-05-04,951167.80,
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,Road Maintenance,1002\5109308851,2018-05-02,949786.80,
LONDON UNDERGROUND LTD,MORGAN SINDALL CONST. & INFRAS. LTD,MR Construction Costs,1005\5109303069,2018-05-23,945628.63,
LONDON BUS SERVICES LTD,TRAVEL LONDON (WEST) LTD,Bus Contract Payments,1006\1900040764,2018-05-25,887576.47,
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Contracted Services - Roads,1002\5109308583,2018-05-02,886765.30,
LONDON UNDERGROUND LTD,HOCHTIEF (UK) CONSTRUCTION LTD,MR Construction Costs,1005\5109319052,2018-05-23,868761.59,
CYCLE HIRE SCHEME,SERCO LTD,Concession Maintenance Charge,1016\5109311979,2018-05-21,838181.79,
