Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901659869,06 Jul 2018,"37,096,104.70",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900040976,06 Jul 2018,"16,041,263.07",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040964,06 Jul 2018,"14,696,921.65",
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109358701,18 Jul 2018,"14,240,694.09",
LUL NOMINEE SSL LIMITED,THALES RAIL SIGNALLING SOLUTIONS,Civil Engineering Construction Works,1031\5109352192,16 Jul 2018,"12,630,334.51",
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109358428,18 Jul 2018,"11,994,321.80",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346746,29 Jun 2018,"11,338,898.04",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900040972,06 Jul 2018,"10,194,038.50",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346699,29 Jun 2018,"10,079,020.48",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040971,06 Jul 2018,"9,653,832.24",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900040974,06 Jul 2018,"9,603,939.67",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040969,06 Jul 2018,"8,442,503.31",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109355300,16 Jul 2018,"7,125,387.54",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900040965,06 Jul 2018,"6,414,326.39",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040962,06 Jul 2018,"6,397,243.95",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040978,06 Jul 2018,"6,375,175.98",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109344512,02 Jul 2018,"6,114,046.29",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346750,29 Jun 2018,"6,000,000.00",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109347390,16 Jul 2018,"5,563,620.12",
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,Civil Engineering Construction Works,1005\5109354743,18 Jul 2018,"5,290,312.00",
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040977,06 Jul 2018,"5,247,801.40",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900041046,20 Jul 2018,"5,151,155.64",
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109347736,18 Jul 2018,"5,083,788.28",
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900040980,06 Jul 2018,"4,899,931.65",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900041034,20 Jul 2018,"4,761,419.80",
