Organisational Unit,Benificiary Name,Payment Date,Amount
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2018-06-07,37370976.83
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2018-06-08,15853051.18
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,2018-06-20,14828464.71
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2018-06-08,14603331.69
LUL NOMINEE SSL LIMITED,THALES RAIL SIGNALLING SOLUTIONS,2018-06-18,14382537.55
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2018-06-20,12197471.02
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,2018-06-20,12073328.64
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,2018-06-08,10224594.14
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2018-06-08,9626671.18
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2018-06-08,9379448.39
LONDON BUS SERVICES LTD,STAGECOACH,2018-06-08,8303844.87
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,2018-06-18,6938403.28
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2018-06-08,6406184.75
LONDON BUS SERVICES LTD,STAGECOACH SERVICESLTD,2018-06-08,6393230.43
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2018-06-08,6363616.02
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2018-06-20,6213974.50
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2018-06-22,5512043.59
LONDON UNDERGROUND LTD,DRAGADOS S.A.,2018-06-20,5443273.15
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2018-06-13,5282578.80
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2018-06-08,5176647.87
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2018-06-08,5133783.00
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2018-06-22,5117272.42
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2018-06-22,4778231.07
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,2018-06-18,3944000.00
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,2018-06-20,3822585.08
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2018-06-07,3794359.45
DOCKLANDS LIGHT RAILWAY,CGL RAIL,2018-06-18,3548191.00
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,2018-06-22,3433001.74
LONDON BUS SERVICES LTD,METROBUS LIMITED,2018-06-08,3139603.69
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,2018-05-30,3128831.95
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2018-06-22,3112561.69
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2018-06-22,3055369.04
TRANSPORT TRADING LTD,SAVILLS COMMERCIAL LTD,2018-06-22,3000546.27
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2018-06-08,2872472.09
LONDON BUS SERVICES LTD,STAGECOACH,2018-06-22,2711685.58
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2018-06-08,2709332.30
LONDON UNDERGROUND LTD,GBM SERVICES LTD,2018-06-20,2477387.07
LONDON UNDERGROUND LTD,GBM SERVICES LTD,2018-06-04,2436583.59
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,2018-05-30,2327859.39
LONDON BUS SERVICES LTD,STAGECOACH SERVICESLTD,2018-06-22,2122519.30
