Organisational Unit,Benificiary Name,Payment Date,Amount
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2017-04-13,24740147.18
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2017-04-13,14965600.87
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,2017-04-26,14691844.24
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2017-04-13,14632286.73
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,2017-04-26,13868909.91
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2017-04-13,12016090.34
LONDON BUS SERVICES LTD,STAGECOACH,2017-04-13,9345835.45
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2017-04-13,9194119.67
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2017-04-26,9055613.44
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2017-04-13,8363574.45
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2017-04-05,7828527.92
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-04-03,7375269.73
SURFACE TRANSPORT CORP,LONDON BOROUGH OF CAMDEN,2017-04-24,6554238.29
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2017-04-26,6527499.67
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,2017-04-24,6465361.96
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,2017-04-26,6437264.96
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-04-13,6374509.37
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2017-04-13,6363457.70
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2017-04-13,6165055.87
LONDON BUS SERVICES LTD,STAGECOACH,2017-04-13,5876870.98
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2017-04-13,5876102.44
LONDON UNDERGROUND LTD,DRAGADOS S.A.,2017-04-26,5765175.36
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2017-04-28,5120917.61
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2017-04-10,4871307.27
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2017-04-28,4668310.56
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2017-04-28,4056243.35
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,2017-04-19,3832000.00
LONDON BUS SERVICES LTD,METROBUS LIMITED,2017-04-13,3696586.21
DOCKLANDS LIGHT RAILWAY,CGL RAIL,2017-04-12,3488292.00
DOCKLANDS LIGHT RAILWAY,CGL RAIL,2017-04-19,3488292.00
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2017-04-13,3434666.59
LONDON UNDERGROUND LTD,HEATHROW AIRPORT LTD,2017-04-10,3258003.00
LONDON UNDERGROUND LTD,HEATHROW AIRPORT LTD,2017-04-10,3258003.00
LONDON UNDERGROUND LTD,HEATHROW AIRPORT LTD,2017-04-10,3258003.00
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,2017-04-11,3145696.50
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2017-04-28,3023060.94
LONDON BUS SERVICES LTD,STAGECOACH,2017-04-28,2949663.30
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,2017-04-12,2904052.15
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2017-04-03,2900000.00
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2017-04-10,2890454.40
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-04-28,2834231.54
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2017-04-28,2714256.43
LONDON UNDERGROUND LTD,FUJITSU SERVICES LTD,2017-04-19,2486179.31
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-04-28,2447770.32
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-04-13,2185208.96
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2017-04-28,2052244.90
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-04-28,2051447.12
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2017-04-28,2002719.91
LONDON BUS SERVICES LTD,STAGECOACH,2017-04-28,1997757.49
TFL CORPORATE,FUJITSU SERVICES LTD,2017-04-11,1956050.92
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2017-04-28,1877546.18
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2017-04-13,1784201.30
RAIL FOR LONDON LIMITED,NETWORK RAIL,2017-04-19,1750000.00
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,2017-04-13,1704776.57
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BARNET,2017-04-10,1696543.81
SURFACE TRANSPORT CORP,LONDON BOROUGH OF LEWISHAM,2017-04-10,1675240.49
LUL NOMINEE BCV LIMITED,INTERSERVE FS (UK) LTD,2017-04-24,1579002.41
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,2017-04-12,1575054.21
RAIL FOR LONDON LIMITED,NETWORK RAIL,2017-04-26,1566172.31
LONDON BUS SERVICES LTD,CT PLUS LIMITED,2017-04-13,1519140.54
CYCLE HIRE SCHEME,SERCO LTD,2017-04-05,1455262.01
LUL NOMINEE SSL LIMITED,INTERSERVE FS (UK) LTD,2017-04-24,1405360.19
TFL CORPORATE,SENTRUM IV LIMITED,2017-04-18,1333800.28
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HACKNEY,2017-04-10,1300078.98
RAIL FOR LONDON LIMITED,NETWORK RAIL,2017-04-19,1250000.00
RAIL FOR LONDON LIMITED,NETWORK RAIL,2017-04-03,1246499.71
LONDON BUS SERVICES LTD,METROBUS LIMITED,2017-04-28,1240448.89
LONDON UNDERGROUND LTD,LONDON PENSIONS FUND AUTHORITY,2017-04-03,1230289.00
LUL NOMINEE BCV LIMITED,SIEMENS,2017-04-26,1185314.16
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LTD,2017-04-05,1174485.38
LONDON UNDERGROUND LTD,LONDON BOROUGH OF CAMDEN,2017-04-05,1150000.00
LONDON UNDERGROUND LTD,COSTAIN LTD,2017-04-26,1140659.10
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,2017-04-13,1105295.18
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,2017-04-13,1031998.17
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-04-28,959052.92
LONDON UNDERGROUND LTD,HOCHTIEF UK CONSTRUCTION LTD,2017-04-26,914631.06
SURFACE TRANSPORT CORP,LONDON BOROUGH OF SOUTHWARK,2017-04-03,850387.00
LONDON UNDERGROUND LTD,VINCI CONSTRUCTION UK LTD,2017-04-03,841428.40
LONDON UNDERGROUND LTD,VINCI CONSTRUCTION UK LTD,2017-04-26,840927.41
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,2017-04-19,827212.86
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2017-04-26,814846.15
TFL CORPORATE,THE BOSTON CONSULTING GROUP UK LLP,2017-04-03,800510.00
LUL NOMINEE SSL LIMITED,CLANCY DOCWRA LTD,2017-04-11,789899.94
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2017-04-05,786846.84
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,2017-04-28,767074.94
LUL NOMINEE SSL LIMITED,LANES GROUP PLC,2017-04-24,756559.98
TFL CORPORATE,NETWORK RAIL,2017-04-10,750300.65
