Organisational Unit,Benificiary Name,Payment Date,Amount
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2018-08-03,39000860.27
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,2018-08-15,16573857.24
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2018-08-03,15928119.78
LUL NOMINEE SSL LIMITED,THALES RAIL SIGNALLING SOLUTIONS,2018-08-15,15649257.16
RAIL FOR LONDON LIMITED,NETWORK RAIL,2018-07-30,15000000.00
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2018-08-03,14553911.17
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2018-08-15,11953963.74
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,2018-08-15,11896494.37
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,2018-08-03,10306815.58
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2018-08-03,9765120.08
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2018-08-03,9677220.18
LONDON BUS SERVICES LTD,STAGECOACH,2018-08-03,8346682.91
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,2018-08-13,7043992.21
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2018-07-26,6569540.71
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2018-08-15,6495116.58
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2018-08-03,6466681.86
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2018-08-03,6433579.88
LONDON BUS SERVICES LTD,STAGECOACH,2018-08-03,6394115.99
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2018-08-01,5645637.02
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2018-08-17,5178959.46
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2018-08-03,5149606.32
LONDON UNDERGROUND LTD,DRAGADOS S.A.,2018-08-15,4883880.82
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2018-08-03,4882747.22
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2018-08-17,4706879.64
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-08-06,4632135.43
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,2018-08-15,3944000.00
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,2018-07-23,3926740.68
DOCKLANDS LIGHT RAILWAY,CGL RAIL,2018-08-08,3535664.00
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2018-08-03,3412836.67
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,2018-07-30,3386895.25
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,2018-08-17,3334850.59
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2018-08-17,3155277.57
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2018-08-17,3143993.57
LONDON BUS SERVICES LTD,METROBUS LIMITED,2018-08-03,3119508.93
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2018-08-01,2895252.67
LONDON UNDERGROUND LTD,HEATHROW AIRPORT LTD,2018-08-13,2880399.00
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2018-08-03,2863613.38
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2018-08-17,2731800.88
LONDON BUS SERVICES LTD,STAGECOACH,2018-08-17,2714601.77
TFL CORPORATE,COMPUTACENTER,2018-07-25,2651968.12
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2018-08-03,2616030.69
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BRENT,2018-08-08,2525153.46
LONDON UNDERGROUND LTD,GBM SERVICES LTD,2018-08-15,2477812.59
SURFACE TRANSPORT CORP,LONDON COUNCILS LTD,2018-08-13,2473915.68
