Organisational Unit,Benificiary Name,Payment Date,Amount
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2017-08-04,29113699.99
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,2017-08-16,15984236.25
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2017-08-04,15218265.35
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2017-08-04,14176463.23
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2017-08-04,12047343.11
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2017-08-04,9263400.01
LONDON BUS SERVICES LTD,STAGECOACH,2017-08-04,9193680.96
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2017-08-16,9044733.75
SURFACE TRANSPORT CORP,LONDON BOROUGH OF NEWHAM,2017-07-31,8950691.06
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2017-08-04,8442037.79
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2017-08-18,8049731.41
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,2017-08-07,7606338.27
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-08-02,7542635.89
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,2017-08-14,6704198.86
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-08-04,6479575.84
TUBELINES LTD,AMEY LUL 2 LIMITED,2017-08-15,6410876.01
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2017-08-04,6344677.71
LONDON BUS SERVICES LTD,STAGECOACH,2017-08-04,5980290.30
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2017-08-04,5797045.62
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2017-08-04,5692882.04
SURFACE TRANSPORT CORP,LONDON BOROUGH OF GREENWICH,2017-08-14,5123962.00
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2017-08-02,5073526.61
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2017-08-18,4881915.58
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2017-07-31,4773996.34
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,2017-08-16,4767462.60
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2017-08-18,4681682.46
SURFACE TRANSPORT CORP,LONDON BOROUGH OF CROYDON,2017-08-14,4629032.93
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2017-07-31,4557446.91
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2017-08-04,4321919.47
DOCKLANDS LIGHT RAILWAY,CGL RAIL,2017-08-07,4013309.00
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2017-08-18,3930734.51
SURFACE TRANSPORT CORP,LONDON BOROUGH OF EALING,2017-08-14,3840046.77
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,2017-08-17,3832000.00
LONDON BUS SERVICES LTD,METROBUS LIMITED,2017-08-04,3787440.44
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2017-07-24,3630769.00
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2017-08-09,3630769.00
LONDON UNDERGROUND LTD,DRAGADOS S.A.,2017-08-16,3224031.00
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2017-07-31,3090380.56
LONDON BUS SERVICES LTD,STAGECOACH,2017-08-18,3002041.05
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2017-08-18,3002010.16
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-08-01,2834231.54
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-08-01,2834080.33
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HARINGEY,2017-08-07,2800152.00
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2017-08-18,2739723.94
SURFACE TRANSPORT CORP,LONDON BOROUGH OF GREENWICH,2017-07-31,2691821.00
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-08-04,2543815.22
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,2017-08-09,2262835.54
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2017-08-18,2082562.97
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-08-18,2076612.05
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,2017-08-02,2036983.43
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,2017-07-31,1992691.20
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2017-08-18,1975325.79
LONDON BUS SERVICES LTD,STAGECOACH,2017-08-18,1929844.87
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2017-08-18,1864012.96
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2017-08-04,1825018.50
SURFACE TRANSPORT CORP,LONDON BOROUGH OF GREENWICH,2017-07-31,1786408.00
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,2017-07-26,1781215.35
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,2017-08-04,1710303.09
LONDON BUS SERVICES LTD,CT PLUS LIMITED,2017-08-04,1703579.83
SURFACE TRANSPORT CORP,ROYAL BOROUGH OF KINGSTON UPON THAMES,2017-08-14,1690062.82
LUL NOMINEE BCV LIMITED,INTERSERVE FS (UK) LTD,2017-08-14,1654196.89
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HILLINGDON,2017-08-14,1590923.79
