Organisational Unit,Benificiary Name,Payment Date,Amount
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2017-05-12,25211828.88
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2017-05-12,15181214.80
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2017-05-12,14667814.29
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,2017-05-24,14504849.28
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2017-05-12,12035695.42
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2017-05-24,10607532.66
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,2017-05-24,10298521.08
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2017-05-12,9266123.00
LONDON BUS SERVICES LTD,STAGECOACH,2017-05-12,9137307.10
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2017-05-12,8061756.81
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2017-05-17,7761648.37
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-05-26,7391525.43
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,2017-05-22,6729786.59
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2017-05-24,6661180.42
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2017-05-12,6395425.41
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-05-12,6355187.25
LONDON BUS SERVICES LTD,STAGECOACH,2017-05-12,6191543.79
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2017-05-12,6175090.85
RAIL FOR LONDON LIMITED,NETWORK RAIL,2017-05-24,5550000.00
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2017-05-12,5505237.86
LONDON UNDERGROUND LTD,DRAGADOS S.A.,2017-05-24,5390413.64
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,2017-05-24,5378095.50
DOCKLANDS LIGHT RAILWAY,CGL RAIL,2017-05-17,4984173.67
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2017-05-10,4938205.77
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2017-05-26,4895161.77
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2017-05-26,4880548.12
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2017-05-26,4767564.75
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2017-05-26,3936855.26
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,2017-05-17,3832000.00
LONDON BUS SERVICES LTD,METROBUS LIMITED,2017-05-12,3792389.16
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-05-03,3147760.20
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2017-05-26,3030118.93
LONDON BUS SERVICES LTD,STAGECOACH,2017-05-26,3010923.46
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-05-26,2834231.54
SURFACE TRANSPORT CORP,LONDON BOROUGH OF REDBRIDGE,2017-05-15,2799459.49
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2017-05-26,2641026.97
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-05-26,2487342.34
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-05-12,2424734.27
SURFACE TRANSPORT CORP,LONDON BOROUGH OF ENFIELD,2017-05-15,2389788.89
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,2017-05-10,2389043.26
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2017-05-12,2094165.77
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2017-05-26,2084186.97
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-05-26,2030292.71
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HAVERING,2017-05-15,2027014.97
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2017-05-26,2020981.86
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2017-05-26,1925447.07
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HILLINGDON,2017-05-22,1914734.03
LONDON BUS SERVICES LTD,STAGECOACH,2017-05-26,1891466.63
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2017-05-12,1784201.30
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,2017-05-15,1781215.35
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,2017-05-15,1781215.35
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2017-05-10,1744663.59
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2017-05-17,1715770.36
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,2017-05-12,1704776.57
LUL NOMINEE BCV LIMITED,INTERSERVE FS (UK) LTD,2017-05-24,1641394.47
