Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901660309,03 Aug 2018,"39,000,860.27",
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109375419,15 Aug 2018,"16,573,857.24",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900041088,03 Aug 2018,"15,928,119.78",
LUL NOMINEE SSL LIMITED,THALES RAIL SIGNALLING SOLUTIONS,Civil Engineering Construction Works,1031\5109368710,15 Aug 2018,"15,649,257.16",
RAIL FOR LONDON LIMITED,NETWORK RAIL,Professional Engineering Services,1020\5109355626,30 Jul 2018,"15,000,000.00",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900041077,03 Aug 2018,"14,553,911.17",
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109374652,15 Aug 2018,"11,953,963.74",
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,Civil Engineering Construction Works,1005\5109367602,15 Aug 2018,"11,896,494.37",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900041084,03 Aug 2018,"10,306,815.58",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900041086,03 Aug 2018,"9,765,120.08",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900041083,03 Aug 2018,"9,677,220.18",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900041082,03 Aug 2018,"8,346,682.91",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109371317,13 Aug 2018,"7,043,992.21",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109363399,26 Jul 2018,"6,569,540.71",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109372213,15 Aug 2018,"6,495,116.58",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900041078,03 Aug 2018,"6,466,681.86",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900041075,03 Aug 2018,"6,433,579.88",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900041091,03 Aug 2018,"6,394,115.99",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109360414,01 Aug 2018,"5,645,637.02",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900041167,17 Aug 2018,"5,178,959.46",
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900041089,03 Aug 2018,"5,149,606.32",
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109364152,15 Aug 2018,"4,883,880.82",
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900041093,03 Aug 2018,"4,882,747.22",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900041156,17 Aug 2018,"4,706,879.64",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109368538,06 Aug 2018,"4,632,135.43",
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,Rates - Central Listed,1005\1900202629,15 Aug 2018,"3,944,000.00",
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,Track General Maintenance,1031\5109359009,23 Jul 2018,"3,926,740.68",
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109371284,08 Aug 2018,"3,535,664.00",
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901660310,03 Aug 2018,"3,412,836.67",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Maintenance,795158,30 Jul 2018,"3,386,895.25",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900041163,17 Aug 2018,"3,334,850.59",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900041162,17 Aug 2018,"3,155,277.57",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900041165,17 Aug 2018,"3,143,993.57",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900041087,03 Aug 2018,"3,119,508.93",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109360415,01 Aug 2018,"2,895,252.67",
LONDON UNDERGROUND LTD,HEATHROW AIRPORT LTD,Terminal 5 PFI Service Costs,1005\5109368204,13 Aug 2018,"2,880,399.00",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900041079,03 Aug 2018,"2,863,613.38",
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109368552,17 Aug 2018,"2,731,800.88",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900041161,17 Aug 2018,"2,714,601.77",
TFL CORPORATE,COMPUTACENTER,Software Maintenance,1001\5109359674,25 Jul 2018,"2,651,968.12",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900041076,03 Aug 2018,"2,616,030.69",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BRENT,Borough Services - Claim Against Pr Yr Accrual,1002\1900055910,08 Aug 2018,"2,525,153.46",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5109372207,15 Aug 2018,"2,477,812.59",
SURFACE TRANSPORT CORP,LONDON COUNCILS LTD,Taxicard Funding,1002\1900056068,13 Aug 2018,"2,473,915.68",
TFL CORPORATE,AXA PPP HEALTHCARE,General Insurance,1001\5109373523,14 Aug 2018,"2,394,152.79",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF EALING,Borough Services - Claim Against Pr Yr Accrual,1002\1900055906,06 Aug 2018,"2,366,522.00",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Rolling Stock,795154,27 Jul 2018,"2,327,859.39",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF GREENWICH,Borough Services - Claim Against Pr Yr Accrual,1002\1900055788,01 Aug 2018,"2,296,423.55",
DOCKLANDS LIGHT RAILWAY,TRUSTEES OF THE DOCKLANDS LIGHT,Franchise/Concession Variable Fee,1012\1900004797,25 Jul 2018,"2,214,000.00",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900041157,17 Aug 2018,"2,103,795.08",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900041154,17 Aug 2018,"2,085,862.00",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900041170,17 Aug 2018,"2,078,829.42",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900041085,03 Aug 2018,"2,016,537.27",
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,Civil Engineering Construction Works,1005\5109354300,01 Aug 2018,"1,959,510.76",
TFL CORPORATE,AXON SOLUTIONS LTD,Software Maintenance,1001\5109361216,13 Aug 2018,"1,786,861.50",
RAIL FOR LONDON LIMITED,NETWORK RAIL,Management & Support Consultancy,1020\5109291339,30 Jul 2018,"1,695,158.79",
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900041168,17 Aug 2018,"1,691,467.09",
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,Equipment Repairs & Maintenance,1031\5109371697,08 Aug 2018,"1,684,447.26",
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900041172,17 Aug 2018,"1,584,356.01",
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900041080,03 Aug 2018,"1,460,680.31",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Contracted Services - Roads,1002\5109363608,01 Aug 2018,"1,406,333.49",
TFL CORPORATE,SENTRUM IV LIMITED,Manage IT Services,1001\5109361364,30 Jul 2018,"1,373,814.28",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Road Maintenance,1002\5109364875,01 Aug 2018,"1,332,268.07",
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LIMITED,Building Maintenance & Repairs,1007\5109348630,25 Jul 2018,"1,266,603.08",
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LIMITED,Franchise/Concession Fixed Fee,1020\5109356360,25 Jul 2018,"1,223,312.04",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Road Maintenance,1002\5109364887,01 Aug 2018,"1,214,023.50",
LUL NOMINEE SSL LIMITED,F M CONWAY LTD,Civil Engineering Construction Works,1031\5109366606,01 Aug 2018,"1,178,474.61",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF GREENWICH,Borough Services - Claim Against Pr Yr Accrual,1002\1900055393,13 Aug 2018,"1,165,748.94",
LONDON UNDERGROUND LTD,EVERSHEDS,Legal Fees,1005\1900204411,01 Aug 2018,"1,134,223.00",
LONDON UNDERGROUND LTD,EVERSHEDS,Purchase of Land & Buildings,1005\1900204769,15 Aug 2018,"1,133,000.00",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Operating Leases,1020\5109364217,30 Jul 2018,"1,121,816.02",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,Bus Contract Payments,1006\1900041081,03 Aug 2018,"1,119,066.96",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900041166,17 Aug 2018,"1,022,965.04",
SURFACE TRANSPORT CORP,CITY OF WESTMINSTER,Borough Services,1002\1900055858,13 Aug 2018,"986,463.00",
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,Bus Contract Payments,1006\1900041090,03 Aug 2018,"981,232.05",
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,Bombardier Capability Payments,1033\5109360405,23 Jul 2018,"979,636.13",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Rolling Stock,795153,30 Jul 2018,"972,677.77",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900041158,17 Aug 2018,"940,563.35",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005\5109372995,13 Aug 2018,"931,182.98",
TRANSPORT TRADING LTD,CBS OUTDOOR LIMITED,Purchase of Associates Loan Notes (Activity),1004\5109362873,06 Aug 2018,"886,284.77",
LONDON BUS SERVICES LTD,PROVENTIA EMISSION CONTROL OY,Vehicle Repairs & Maintenance,1006\5109361119,01 Aug 2018,"882,351.00",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF RICHMOND UPON THAMES,Borough Services - Claim Against Pr Yr Accrual,1002\1900055631,01 Aug 2018,"877,400.65",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900041155,17 Aug 2018,"863,095.11",
SURFACE TRANSPORT CORP,ROYAL BOROUGH OF KINGSTON UPON THAMES,Borough Services - Claim Against Pr Yr Accrual,1002\1900055998,13 Aug 2018,"833,573.84",
RAIL FOR LONDON LIMITED,J MURPHY & SONS LTD,Civil Engineering Construction Works,1020\5109363316,15 Aug 2018,"830,808.73",
CYCLE HIRE SCHEME,SERCO LTD,Concession Maintenance Charge,1016\5109352936,25 Jul 2018,"820,331.51",
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LIMITED,Road Maintenance,1002\5109366856,01 Aug 2018,"799,686.01",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Equipment Repairs & Maintenance,1005\5109363392,30 Jul 2018,"788,665.61",
LONDON UNDERGROUND LTD,HOCHTIEF UK CONSTRUCTION LTD,MR Construction Costs,1005\5109368374,06 Aug 2018,"774,033.49",
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,Maintenance of Plant & Equipment,1006\5109357057,01 Aug 2018,"749,537.25",
RAIL FOR LONDON LIMITED,BUCKINGHAM GROUP CONTRACTING LTD,Civil Engineering Construction Works,1020\5109358550,23 Jul 2018,"748,234.56",
TRANSPORT TRADING LTD,CBS OUTDOOR LIMITED,Purchase of Associates Loan Notes (Activity),1004\5109362964,06 Aug 2018,"735,982.39",
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LIMITED,Contracted Services - Roads,1002\5109368362,06 Aug 2018,"724,410.34",
