Organisational Unit,Benificiary Name,Payment Date,Amount
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,2018-04-04,39440000.00
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2018-04-12,34991881.70
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2018-04-13,15332828.83
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2018-04-13,14415719.37
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,2018-04-25,12525364.74
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2018-04-13,10604726.01
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2018-04-25,9753378.46
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2018-04-13,9519417.23
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2018-04-13,9369237.85
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2018-04-25,8391592.80
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,2018-04-25,8003420.99
LONDON BUS SERVICES LTD,STAGECOACH,2018-04-13,7982243.08
LONDON BUS SERVICES LTD,STAGECOACH,2018-04-13,6462340.89
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2018-04-13,6398429.38
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2018-04-13,6145114.88
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,2018-04-23,5895189.06
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2018-04-13,5490195.34
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2018-04-12,5238037.43
LONDON UNDERGROUND LTD,DRAGADOS S.A.,2018-04-25,5169228.91
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2018-04-13,5120168.19
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2018-04-11,5050401.25
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2018-04-27,4971701.76
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2018-04-27,4674091.79
DOCKLANDS LIGHT RAILWAY,CGL RAIL,2018-04-18,4105580.00
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,2018-04-23,3944000.00
TRANSPORT TRADING LTD,EARLS COURT PARTNERSHIP LIMITED,2018-04-03,3935690.00
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2018-04-27,3879712.62
LONDON UNDERGROUND LTD,BANHAM SECURITY HOLDINGS LIMITED,2018-04-05,3679466.00
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2018-04-18,3630769.00
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2018-04-27,3484685.80
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,2018-04-25,3282859.33
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2018-04-27,3271089.13
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,2018-04-27,3128831.95
LONDON BUS SERVICES LTD,METROBUS LIMITED,2018-04-13,3104973.43
TUBE LINES LTD,AMEY LUL 2 LIMITED,2018-04-17,3100000.00
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2018-04-27,3041195.96
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2018-04-13,3036147.86
LONDON UNDERGROUND LTD,EVERSHEDS,2018-04-05,2995193.77
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,2018-04-11,2944181.20
LONDON BUS SERVICES LTD,TRAVEL LONDON (WEST) LTD,2018-04-13,2702274.65
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,2018-04-03,2625336.43
LONDON BUS SERVICES LTD,STAGECOACH,2018-04-27,2621064.37
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2018-04-11,2528846.57
TFL CORPORATE,FUJITSU SERVICES LTD,2018-04-03,2454827.10
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,2018-04-13,2051595.43
LONDON BUS SERVICES LTD,STAGECOACH,2018-04-27,2016459.86
