Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,Rates - Central Listed,1005\1900202628,04 Apr 2018,"39,440,000.00",
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901658292,12 Apr 2018,"34,991,881.70",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900040572,13 Apr 2018,"15,332,828.83",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040560,13 Apr 2018,"14,415,719.37",
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109306841,25 Apr 2018,"12,525,364.74",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,Bus Contract Payments,1006\1900040568,13 Apr 2018,"10,604,726.01",
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109298764,25 Apr 2018,"9,753,378.46",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040567,13 Apr 2018,"9,519,417.23",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900040570,13 Apr 2018,"9,369,237.85",
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109304275,25 Apr 2018,"8,391,592.80",
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,Civil Engineering Construction Works,1005\5109298641,25 Apr 2018,"8,003,420.99",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040565,13 Apr 2018,"7,982,243.08",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040574,13 Apr 2018,"6,462,340.89",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900040561,13 Apr 2018,"6,398,429.38",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040558,13 Apr 2018,"6,145,114.88",
