Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901659869,2018-07-06,37096104.70,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900040976,2018-07-06,16041263.07,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040964,2018-07-06,14696921.65,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109358701,2018-07-18,14240694.09,
LUL NOMINEE SSL LIMITED,THALES RAIL SIGNALLING SOLUTIONS,Civil Engineering Construction Works,1031\5109352192,2018-07-16,12630334.51,
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109358428,2018-07-18,11994321.80,
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346746,2018-06-29,11338898.04,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900040972,2018-07-06,10194038.50,
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346699,2018-06-29,10079020.48,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040971,2018-07-06,9653832.24,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900040974,2018-07-06,9603939.67,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040969,2018-07-06,8442503.31,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109355300,2018-07-16,7125387.54,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900040965,2018-07-06,6414326.39,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040962,2018-07-06,6397243.95,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040978,2018-07-06,6375175.98,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109344512,2018-07-02,6114046.29,
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Purchases,1020\5109346750,2018-06-29,6000000.00,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109347390,2018-07-16,5563620.12,
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,Civil Engineering Construction Works,1005\5109354743,2018-07-18,5290312.00,
