Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901659360,2018-06-07,37370976.83,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900040845,2018-06-08,15853051.18,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109340024,2018-06-20,14828464.71,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040833,2018-06-08,14603331.69,
LUL NOMINEE SSL LIMITED,THALES RAIL SIGNALLING SOLUTIONS,Civil Engineering Construction Works,1031\5109334497,2018-06-18,14382537.55,
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109339783,2018-06-20,12197471.02,
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,Civil Engineering Construction Works,1005\5109334178,2018-06-20,12073328.64,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900040841,2018-06-08,10224594.14,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040840,2018-06-08,9626671.18,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900040843,2018-06-08,9379448.39,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040838,2018-06-08,8303844.87,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109339737,2018-06-18,6938403.28,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900040834,2018-06-08,6406184.75,
LONDON BUS SERVICES LTD,STAGECOACH SERVICESLTD,Bus Contract Payments,1006\1900040847,2018-06-08,6393230.43,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040831,2018-06-08,6363616.02,
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109337092,2018-06-20,6213974.50,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109335224,2018-06-22,5512043.59,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109331264,2018-06-20,5443273.15,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109338557,2018-06-13,5282578.80,
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040846,2018-06-08,5176647.87,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900040849,2018-06-08,5133783.00,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900040914,2018-06-22,5117272.42,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040902,2018-06-22,4778231.07,
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,Rates - Central Listed,1005\1900202629,2018-06-18,3944000.00,
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,Track General Maintenance,1031\5109342221,2018-06-20,3822585.08,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901659361,2018-06-07,3794359.45,
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109339718,2018-06-18,3548191.00,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900040910,2018-06-22,3433001.74,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900040844,2018-06-08,3139603.69,
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Maintenance,790904,2018-05-30,3128831.95,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040909,2018-06-22,3112561.69,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900040912,2018-06-22,3055369.04,
TRANSPORT TRADING LTD,SAVILLS COMMERCIAL LTD,Commercial Property Rent,1004\1901658970,2018-06-22,3000546.27,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900040835,2018-06-08,2872472.09,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040907,2018-06-22,2711685.58,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040832,2018-06-08,2709332.30,
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5109339766,2018-06-20,2477387.07,
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5109331016,2018-06-04,2436583.59,
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Rolling Stock,790910,2018-05-30,2327859.39,
LONDON BUS SERVICES LTD,STAGECOACH SERVICESLTD,Bus Contract Payments,1006\1900040916,2018-06-22,2122519.30,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900040903,2018-06-22,2101713.29,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040900,2018-06-22,2060722.77,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900040842,2018-06-08,2021086.15,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF EALING,Borough Services - Claim Against Pr Yr Accrual,1002\1900055175,2018-06-01,2013652.00,
TFL CORPORATE,COMPUTACENTER,Software Maintenance,1001\5109302491,2018-05-30,1969440.33,
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,Civil Engineering Construction Works,1005\5109320705,2018-06-06,1926576.88,
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,A13 PFI Service Costs,1002\5109334419,2018-06-20,1852661.06,
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,Contracted Services - Highway Bridges,1002\5109332761,2018-06-13,1770804.53,
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Road Maintenance,1002\5109328968,2018-05-30,1734455.30,
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040915,2018-06-22,1717273.66,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900040918,2018-06-22,1685392.78,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040853,2018-06-08,1617153.90,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040860,2018-06-08,1614984.28,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900040861,2018-06-08,1578833.22,
TFL CORPORATE,DEPT OF BUSINESS ENERGY & IND STRAT,CRC Energy Efficiency Scheme,1001\1900060557,2018-06-13,1548000.00,
TRANSPORT TRADING LTD,CB RICHARD ELLIS LTD,Commercial Property Rent,1004\1901658958,2018-06-22,1450452.00,
TRANSPORT TRADING LTD,TIDEWAY INVESTMENT MANAGEMENT LTD,Commercial Property Rent,1004\1901659008,2018-06-20,1450335.00,
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900040836,2018-06-08,1421758.13,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109326314,2018-06-20,1418917.81,
TFL CORPORATE,SENTRUM IV LIMITED,Manage IT Services,1001\5109329080,2018-06-06,1399307.73,
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,Equipment Repairs & Maintenance,1031\5109338382,2018-06-13,1255405.79,
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LIMITED,Franchise/Concession Fixed Fee,1020\5109327357,2018-06-01,1223312.04,
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040865,2018-06-08,1184857.83,
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,Bus Contract Payments,1006\1900040837,2018-06-08,1125999.09,
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Operating Leases,1020\5109338328,2018-06-13,1121344.63,
DOCKLANDS LIGHT RAILWAY,EDF ENERGY,Electricity,1012\5109335237,2018-06-20,1097644.87,
