Organisational Unit,Benificiary Name,Payment Date,Amount
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2018-05-11,35500416.52
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2018-05-11,15690174.86
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,2018-05-23,15073730.43
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2018-05-11,14545660.03
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,2018-05-23,11872213.94
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2018-05-23,11719053.59
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2018-05-11,10551151.52
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2018-05-23,10400509.87
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2018-05-11,9474153.00
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2018-05-11,9344232.93
LONDON BUS SERVICES LTD,STAGECOACH,2018-05-11,8193536.28
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2018-05-16,7644910.00
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2018-05-16,7404615.00
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2018-05-02,7365735.02
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,2018-05-21,6722429.88
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2018-05-14,6525272.88
LONDON BUS SERVICES LTD,STAGECOACH,2018-05-11,6510558.13
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,2018-05-11,6431370.27
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2018-04-30,6399846.60
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2018-05-25,6379791.80
TFL CORPORATE,NETWORK RAIL,2018-05-21,6371833.00
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2018-05-11,6313199.94
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2018-05-25,5989283.31
TFL CORPORATE,NETWORK RAIL,2018-05-21,5550000.00
LONDON UNDERGROUND LTD,DRAGADOS S.A.,2018-05-23,5272270.53
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2018-05-11,5118758.93
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2018-05-11,5094045.58
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2018-05-14,5086348.82
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2018-05-25,5003094.78
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2018-05-25,4756221.02
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,2018-05-16,3944000.00
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,2018-05-23,3922840.88
DOCKLANDS LIGHT RAILWAY,CGL RAIL,2018-05-21,3650184.00
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2018-05-25,3630000.00
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2018-05-25,3479000.71
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2018-05-11,3477685.47
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2018-05-25,3215825.14
LONDON UNDERGROUND LTD,COSTAIN LAING O'ROURKE JV,2018-05-02,3197966.18
LONDON BUS SERVICES LTD,METROBUS LIMITED,2018-05-11,3140212.93
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2018-05-25,3112539.26
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2018-05-25,3073067.95
TFL CORPORATE,ORACLE CORPORATION UK LTD,2018-05-14,2951771.83
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2018-05-11,2878549.07
LONDON BUS SERVICES LTD,TRAVEL LONDON (WEST) LTD,2018-05-11,2702274.65
LONDON BUS SERVICES LTD,STAGECOACH,2018-05-25,2651833.21
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2018-04-30,2520000.00
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-05-16,2519755.12
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,2018-05-25,2517794.73
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2018-05-02,2330126.68
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,2018-05-25,2327859.39
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,2018-05-09,2316848.96
DOCKLANDS LIGHT RAILWAY,TRUSTEES OF THE DOCKLANDS LIGHT,2018-05-25,2214000.00
LONDON BUS SERVICES LTD,STAGECOACH,2018-05-25,2126248.47
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,2018-05-25,2105200.63
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,2018-05-11,2034732.76
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2018-05-25,2010665.15
SURFACE TRANSPORT CORP,LONDON BOROUGH OF NEWHAM,2018-05-02,1950754.22
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,2018-05-14,1850601.86
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2018-05-25,1808951.60
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2018-05-23,1792897.81
TUBE LINES LTD,ABM FACILITY SERVICES UK LTD,2018-05-18,1777885.55
LONDON UNDERGROUND LTD,FUJITSU SERVICES LTD,2018-05-25,1705796.74
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2018-05-25,1693408.88
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2018-05-21,1619477.87
LONDON BUS SERVICES LTD,CT PLUS LIMITED,2018-05-11,1409228.50
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2018-05-02,1365622.37
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2018-05-25,1287276.68
TFL CORPORATE,SAP UK LTD,2018-05-25,1248684.00
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LTD,2018-05-23,1223312.04
SURFACE TRANSPORT CORP,HOCHTIEF (UK) CONSTRUCTION LTD,2018-05-16,1205418.94
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2018-05-16,1187295.05
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-05-04,1143884.37
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,2018-05-11,1125999.09
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2018-05-02,1110876.63
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HAVERING,2018-05-25,1089343.33
TRANSPORT TRADING LTD,EXTERION MEDIA (UK) LTD,2018-05-16,1074260.53
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2018-05-23,1070000.00
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2018-05-02,1044255.99
LONDON BUS SERVICES LTD,METROBUS LIMITED,2018-05-25,1025492.17
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2018-05-25,997937.23
RAIL FOR LONDON LIMITED,CLESHAR CONTRACT SERVICES LTD,2018-05-23,997854.00
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,2018-05-11,975411.47
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,2018-05-04,951167.80
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2018-05-02,949786.80
