Organisational Unit,Benificiary Name,Payment Date,Amount
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2017-07-06,26993537.67
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,2017-07-21,16712528.65
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2017-07-07,14766555.79
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2017-07-07,14435476.66
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2017-07-19,12770863.76
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2017-07-07,11943174.61
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,2017-07-19,11122935.61
LONDON BUS SERVICES LTD,STAGECOACH,2017-07-07,9271312.68
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2017-07-07,9042701.41
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2017-07-07,8370555.55
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2017-07-19,7584950.25
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-07-10,7521782.67
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,2017-06-29,7465299.52
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2017-07-19,7255349.04
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,2017-07-17,6804844.62
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2017-07-07,6470414.36
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-07-07,6439529.51
LONDON BUS SERVICES LTD,STAGECOACH,2017-07-07,6100214.79
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2017-07-07,6048664.98
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2017-07-21,5868464.06
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2017-07-07,5708226.70
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2017-07-10,5137242.84
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2017-07-10,5095776.11
RAIL FOR LONDON LIMITED,CARILLION CONSTRUCTION LTD,2017-06-28,4935833.00
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,2017-07-19,4889374.13
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2017-07-21,4795784.42
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2017-07-21,4737740.44
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2017-07-21,3926436.45
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,2017-07-18,3832000.00
LONDON BUS SERVICES LTD,METROBUS LIMITED,2017-07-07,3794343.50
DOCKLANDS LIGHT RAILWAY,CGL RAIL,2017-07-12,3704974.00
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2017-06-28,3630769.00
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2017-07-17,3288263.50
LONDON UNDERGROUND LTD,HEATHROW AIRPORT LTD,2017-07-12,3258003.00
TFL CORPORATE,SAP UK LTD,2017-06-26,3011740.00
LONDON BUS SERVICES LTD,STAGECOACH,2017-07-21,2998211.11
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2017-07-21,2995803.93
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2017-07-06,2982879.02
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,2017-07-12,2955340.28
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-06-30,2834231.54
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2017-07-21,2704422.22
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,2017-07-05,2659182.63
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-06-30,2487342.34
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-07-07,2477107.28
LONDON UNDERGROUND LTD,ATKINS LIMITED,2017-06-26,2476116.40
DOCKLANDS LIGHT RAILWAY,TRUSTEES OF THE DOCKLANDS LIGHT,2017-07-12,2200000.00
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-07-21,2083527.37
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2017-07-21,2076629.09
LONDON UNDERGROUND LTD,DRAGADOS S.A.,2017-07-17,2024739.64
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2017-07-21,2023743.35
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2017-07-17,2012998.07
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-07-10,1968744.95
LONDON BUS SERVICES LTD,STAGECOACH,2017-07-21,1927906.65
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2017-07-21,1854596.91
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2017-07-07,1818751.67
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,2017-07-03,1781215.35
LUL NOMINEE BCV LIMITED,INTERSERVE FS (UK) LTD,2017-07-17,1773900.61
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2017-07-19,1715770.36
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,2017-07-07,1710303.09
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BEXLEY,2017-06-28,1626204.20
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,2017-07-12,1588552.39
LUL NOMINEE SSL LIMITED,INTERSERVE FS (UK) LTD,2017-07-17,1578825.44
LONDON BUS SERVICES LTD,CT PLUS LIMITED,2017-07-07,1541306.98
CYCLE HIRE SCHEME,SERCO LTD,2017-07-19,1473571.97
LONDON UNDERGROUND LTD,AON UK LTD,2017-07-10,1444803.97
LONDON UNDERGROUND LTD,(EURO) FERROVIAL LAING O ROURKE JV,2017-07-21,1380760.74
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2017-06-26,1347776.20
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2017-07-10,1347776.20
TFL CORPORATE,AXA PPP HEALTHCARE,2017-07-19,1263845.52
TFL CORPORATE,AXA PPP HEALTHCARE,2017-07-05,1263845.50
LONDON BUS SERVICES LTD,METROBUS LIMITED,2017-07-21,1229726.09
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LTD,2017-06-28,1176899.05
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-06-28,1132177.06
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,2017-07-07,1105295.18
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-07-03,1102796.17
SURFACE TRANSPORT CORP,LONDON BOROUGH OF ENFIELD,2017-07-05,1062254.55
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2017-07-19,1057000.00
SURFACE TRANSPORT CORP,ROYAL BOROUGH KENSINGTON & CHELSEA,2017-07-17,1051001.99
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-06-30,959052.92
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,2017-07-07,952154.85
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-06-26,940154.19
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,2017-07-12,903492.28
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2017-07-03,899732.93
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-07-03,862866.83
SURFACE TRANSPORT CORP,LONDON COUNCILS LTD,2017-07-12,841959.00
SURFACE TRANSPORT CORP,LONDON COUNCILS LTD,2017-07-12,841959.00
SURFACE TRANSPORT CORP,LONDON COUNCILS LTD,2017-07-12,841959.00
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-07-21,811295.58
SURFACE TRANSPORT CORP,LONDON BOROUGH OF WALTHAM FOREST,2017-07-03,804420.48
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2017-06-28,798775.89
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,2017-07-12,780981.61
RAIL FOR LONDON LIMITED,GEOFFREY OSBORNE LTD,2017-07-12,765762.26
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BARKING & DAGENHAM,2017-07-17,756210.00
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2017-07-03,754611.43
LONDON UNDERGROUND LTD,HOCHTIEF UK CONSTRUCTION LTD,2017-07-19,746529.35
DOCKLANDS LIGHT RAILWAY,PITTVILLE LEASING LTD,2017-06-28,742827.60
RAIL FOR LONDON LIMITED,HOCHTIEF UK CONSTRUCTION LTD,2017-06-26,737942.76
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,2017-06-29,727495.61
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,2017-07-06,727029.02
LONDON UNDERGROUND LTD,RMCON,2017-07-13,726666.67
RAIL FOR LONDON LIMITED,GEOFFREY OSBORNE LTD,2017-06-28,716570.88
TFL CORPORATE,NETWORK RAIL,2017-07-12,702060.00
DOCKLANDS LIGHT RAILWAY,TRUSTEES OF THE DOCKLANDS LIGHT,2017-07-12,695000.00
SURFACE TRANSPORT CORP,LONDON BOROUGH OF WALTHAM FOREST,2017-07-03,687853.22
TRANSPORT TRADING LTD,FUJITSU SERVICES LTD,2017-06-28,686099.67
LONDON UNDERGROUND LTD,COSTAIN LTD,2017-07-19,674331.20
LONDON UNDERGROUND LTD,EDF ENERGY,2017-07-12,662761.60
TRANSPORT TRADING LTD,OYSTER SALES SERVICE,2017-06-28,630000.00
SURFACE TRANSPORT CORP,LONDON BOROUGH OF WALTHAM FOREST,2017-07-03,615985.47
SURFACE TRANSPORT CORP,LONDON BOROUGH OF WALTHAM FOREST,2017-07-03,607207.13
LONDON UNDERGROUND LTD,HMRC,2017-07-21,606457.00
SURFACE TRANSPORT CORP,LB TOWER HAMLETS,2017-07-10,604885.00
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-06-26,602240.09
SURFACE TRANSPORT CORP,LONDON BOROUGH OF WALTHAM FOREST,2017-07-03,599295.21
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2017-07-21,592703.53
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,2017-07-03,583247.79
LONDON UNDERGROUND LTD,HMRC,2017-07-21,581407.66
LONDON UNDERGROUND LTD,VINCI CONSTRUCTION UK LTD,2017-06-26,581156.84
LUL NOMINEE SSL LIMITED,TELENT TECHNOLOGY SERVICES LTD,2017-06-28,580312.67
LUL NOMINEE BCV LIMITED,SIEMENS,2017-07-19,571445.78
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,2017-06-29,564369.00
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,2017-07-21,561460.05
DOCKLANDS LIGHT RAILWAY,EDF ENERGY,2017-06-26,557562.37
LONDON UNDERGROUND LTD,C SPENCER LIMITED,2017-07-19,557236.80
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-06-26,556233.61
LONDON UNDERGROUND LTD,HOCHTIEF UK CONSTRUCTION LTD,2017-07-19,554599.71
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LTD,2017-06-26,544834.46
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LTD,2017-06-26,544834.46
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LTD,2017-07-19,544834.46
RAIL FOR LONDON LIMITED,HOCHTIEF UK CONSTRUCTION LTD,2017-07-19,530925.96
DOCKLANDS LIGHT RAILWAY,EDF ENERGY,2017-07-19,528430.42
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-07-03,527976.24
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,2017-07-03,521842.00
LUL NOMINEE BCV LIMITED,TELENT TECHNOLOGY SERVICES LTD,2017-06-28,515470.87
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2017-06-26,512433.14
LONDON BUS SERVICES LTD,CT PLUS LIMITED,2017-07-21,508905.75
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HAMM& FULHAM,2017-07-10,476980.22
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2017-07-19,470785.17
LUL NOMINEE SSL LIMITED,SKANSKA CONTRUCTIONS UK LTD,2017-06-28,455540.49
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,2017-07-03,450571.04
LONDON UNDERGROUND LTD,DASSAULT SYSTEMES,2017-07-21,439852.01
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,2017-06-30,437657.16
TFL CORPORATE,COMPUTACENTER,2017-07-05,436300.19
SURFACE TRANSPORT CORP,AA DRIVETECH,2017-07-10,433127.00
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-07-12,423765.00
LUL NOMINEE SSL LIMITED,GIFFEN GROUP PLC,2017-07-10,422871.63
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,2017-07-03,422462.00
LONDON UNDERGROUND LTD,SPENCE LIMITED,2017-07-19,420967.76
TUBELINES LTD,SCHWEERBAU GMBH & CO.KG,2017-07-07,420200.00
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2017-07-19,409638.00
TRANSPORT TRADING LTD,EDF ENERGY,2017-06-26,403318.63
TFL CORPORATE,AMT SYBEX LTD,2017-07-05,389711.00
LONDON UNDERGROUND LTD,NETWORK RAIL,2017-07-17,388141.35
TRANSPORT TRADING LTD,FUJITSU SERVICES LTD,2017-07-12,387671.20
LONDON UNDERGROUND LTD,BALFOUR BEATTY RAIL LTD,2017-07-19,383976.06
SURFACE TRANSPORT CORP,EDF ENERGY,2017-06-26,383769.12
TRANSPORT TRADING LTD,WORKMAN FACILITIES MANAGEMENT LTD,2017-07-14,383652.81
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-06-28,382864.90
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-07-12,382810.00
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LTD,2017-07-07,380593.75
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,2017-07-03,378847.62
CYCLE HIRE SCHEME,SERCO LTD,2017-07-10,377142.66
DOCKLANDS LIGHT RAILWAY,MACE LTD,2017-06-26,367169.35
LONDON UNDERGROUND LTD,EDF ENERGY,2017-06-26,366225.85
SURFACE TRANSPORT CORP,EDF ENERGY,2017-07-17,362733.47
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,2017-07-21,362632.20
LONDON UNDERGROUND LTD,BALFOUR BEATTY RAIL LTD,2017-06-30,360433.45
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD,2017-06-28,355112.98
LONDON UNDERGROUND LTD,SERVICE SUPPORT (BTP) LTD,2017-07-05,349586.41
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-07-12,342295.80
TUBELINES LTD,CAPGEMINI UK PLC,2017-06-30,339255.83
LUL NOMINEE SSL LIMITED,CLESHAR CONTRACT SERVICES LTD,2017-07-19,334179.85
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-07-05,331573.01
TFL CORPORATE,BENTLEY SYSTEMS LTD,2017-06-28,331221.00
SURFACE TRANSPORT CORP,COSTAIN LTD,2017-07-17,330929.22
SURFACE TRANSPORT CORP,AA DRIVETECH,2017-06-26,320019.68
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2017-07-05,314830.97
LUL NOMINEE SSL LIMITED,CLANCY DOCWRA LTD,2017-07-19,313667.67
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-07-05,312625.98
TUBELINES LTD,TELENT COMMUNICATIONS LIMITED,2017-07-05,309668.18
LONDON UNDERGROUND LTD,AON UK LTD,2017-07-17,308000.00
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,2017-07-21,305790.68
SURFACE TRANSPORT CORP,LONDON BOROUGH OF WALTHAM FOREST,2017-07-03,301997.12
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,2017-06-28,301179.86
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-07-05,300911.56
LONDON UNDERGROUND LTD,DELOITTE,2017-07-19,300445.00
TRANSPORT TRADING LTD,ABM GROUP UK LTD,2017-07-19,298223.56
TFL CORPORATE,GALLAGHER BASSETT INT LTD,2017-07-12,298056.56
RAIL FOR LONDON LIMITED,CARILLION CONSTRUCTION LTD,2017-07-03,296379.62
TUBELINES LTD,ISS FACILITY SERVICES LTD,2017-07-05,296216.42
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2017-07-12,295826.64
SURFACE TRANSPORT CORP,CITY OF WESTMINSTER,2017-06-26,294663.19
SURFACE TRANSPORT CORP,EDF ENERGY,2017-06-28,293483.25
LONDON UNDERGROUND LTD,NETWORK RAIL,2017-07-17,292549.96
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2017-07-03,291097.58
