Organisational Unit,Benificiary Name,Payment Date,Amount
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2017-06-09,26876318.57
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2017-06-09,14629909.81
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2017-06-09,14333027.29
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,2017-06-21,14033011.01
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2017-06-09,11991548.57
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,2017-06-21,11935997.54
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2017-06-09,9239859.41
LONDON BUS SERVICES LTD,STAGECOACH,2017-06-09,9193609.18
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2017-06-21,8934842.99
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2017-06-09,8303662.89
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2017-06-21,7897468.97
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,2017-06-21,7641330.99
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,2017-05-31,7391517.88
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2017-06-21,7254098.35
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,2017-06-19,6761676.61
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2017-06-09,6511887.12
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2017-06-09,6368647.60
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2017-06-09,6175545.01
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,2017-06-19,6137300.08
LONDON BUS SERVICES LTD,STAGECOACH,2017-06-09,5734531.26
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2017-06-09,5685952.90
LONDON UNDERGROUND LTD,DRAGADOS S.A.,2017-06-21,5096952.62
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2017-06-23,4893840.88
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2017-06-23,4716159.93
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,2017-06-23,3903879.59
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,2017-06-16,3832000.00
LONDON BUS SERVICES LTD,METROBUS LIMITED,2017-06-09,3824675.90
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2017-06-23,3748626.98
DOCKLANDS LIGHT RAILWAY,CGL RAIL,2017-06-14,3684665.00
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2017-05-31,3630769.00
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2017-05-31,3630769.00
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2017-06-09,3388483.75
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HACKNEY,2017-06-07,3078784.70
LONDON BUS SERVICES LTD,STAGECOACH,2017-06-23,3011068.28
TRANSPORT TRADING LTD,SAVILLS COMMERCIAL LTD,2017-06-21,3000546.27
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2017-06-23,2996437.64
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2017-06-23,2707979.08
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2017-05-31,2695552.40
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,2017-06-07,2682218.45
