Organisational Unit,Benificiary Name,Payment Date,Amount
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2018-07-06,37096104.70
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2018-07-06,16041263.07
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2018-07-06,14696921.65
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,2018-07-18,14240694.09
LUL NOMINEE SSL LIMITED,THALES RAIL SIGNALLING SOLUTIONS,2018-07-16,12630334.51
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,2018-07-18,11994321.80
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,11338898.04
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,2018-07-06,10194038.50
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,10079020.48
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2018-07-06,9653832.24
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2018-07-06,9603939.67
LONDON BUS SERVICES LTD,STAGECOACH,2018-07-06,8442503.31
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,2018-07-16,7125387.54
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2018-07-06,6414326.39
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2018-07-06,6397243.95
LONDON BUS SERVICES LTD,STAGECOACH,2018-07-06,6375175.98
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2018-07-02,6114046.29
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,6000000.00
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2018-07-16,5563620.12
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,2018-07-18,5290312.00
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2018-07-06,5247801.40
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,2018-07-20,5151155.64
LONDON UNDERGROUND LTD,DRAGADOS S.A.,2018-07-18,5083788.28
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2018-07-06,4899931.65
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,2018-07-20,4761419.80
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,4631598.04
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,4631060.91
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,4630524.04
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,4629987.44
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,4629222.35
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,4628634.53
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,4628026.36
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,4627418.51
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,4626582.29
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,4625975.09
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,4625368.22
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,4624761.68
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,2018-07-18,3944000.00
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,2018-07-20,3700989.93
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2018-07-16,3648054.00
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2018-07-16,3648054.00
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2018-07-16,3648054.00
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,2018-07-16,3648054.00
DOCKLANDS LIGHT RAILWAY,CGL RAIL,2018-07-11,3511111.00
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,2018-07-04,3424987.68
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,2018-07-20,3364820.43
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,2018-07-20,3151714.31
LONDON BUS SERVICES LTD,METROBUS LIMITED,2018-07-06,3144802.32
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,2018-06-29,3128831.95
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,2018-07-20,3056766.90
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,2018-07-16,3013056.32
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-29,2966820.84
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2018-07-06,2848169.61
LONDON BUS SERVICES LTD,STAGECOACH,2018-07-20,2725335.49
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,2018-07-06,2715084.85
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2018-07-06,2596065.47
TFL CORPORATE,FUJITSU SERVICES LTD,2018-06-27,2545032.50
LONDON UNDERGROUND LTD,GBM SERVICES LTD,2018-07-18,2477812.59
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,2018-06-27,2420000.00
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,2018-06-29,2327859.39
LONDON UNDERGROUND LTD,FUJITSU SERVICES LTD,2018-06-27,2163316.76
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2018-06-26,2131609.44
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,2018-07-20,2118584.34
LONDON BUS SERVICES LTD,STAGECOACH,2018-07-20,2097828.42
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2018-07-20,2092086.83
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,2018-07-02,2037972.56
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,2018-07-06,2016537.27
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2018-07-18,1792897.81
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BARKING & DAGENHAM,2018-07-11,1712000.00
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,2018-07-20,1692679.52
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,2018-07-20,1688949.97
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,2018-07-11,1648533.27
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,2018-07-16,1626727.78
RAIL FOR LONDON LIMITED,VINCI CONSTRUCTION UK LTD,2018-06-27,1476776.06
LONDON BUS SERVICES LTD,CT PLUS LIMITED,2018-07-06,1428217.63
RAIL FOR LONDON LIMITED,J MURPHY & SONS LTD,2018-07-18,1407045.31
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,2018-07-11,1373599.76
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2018-07-02,1310108.73
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LIMITED,2018-06-27,1223312.04
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,2018-06-27,1121816.02
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,2018-07-06,1113867.86
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,2018-07-18,1070000.00
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HACKNEY,2018-07-11,1039878.22
LONDON BUS SERVICES LTD,METROBUS LIMITED,2018-07-20,1030147.88
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,2018-07-06,983130.68
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,2018-06-29,972677.77
TRANSPORT TRADING LTD,INTERSERVE,2018-06-27,944659.42
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,2018-07-20,934864.98
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LIMITED,2018-07-02,901011.89
RAIL FOR LONDON LIMITED,J MURPHY & SONS LTD,2018-06-25,896405.99
LUL NOMINEE SSL LIMITED,INTERSERVE,2018-06-27,894211.04
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,2018-07-20,890861.35
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,2018-07-02,885631.13
LUL NOMINEE SSL LIMITED,ENGIE SERVICES LTD,2018-07-11,834423.53
DOCKLANDS LIGHT RAILWAY,THALES RAIL SIGNALLING SOLUTIONS,2018-06-28,825900.00
CYCLE HIRE SCHEME,SERCO LTD,2018-06-25,819256.18
RAIL FOR LONDON LIMITED,CLESHAR CONTRACT SERVICES LTD,2018-07-02,818339.00
RAIL FOR LONDON LIMITED,NETWORK RAIL,2018-07-04,800000.00
RAIL FOR LONDON LIMITED,CLESHAR CONTRACT SERVICES LTD,2018-07-18,791030.60
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,2018-06-27,787038.90
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,2018-07-09,786378.92
SURFACE TRANSPORT CORP,O2 UK LTD,2018-07-18,779272.80
LONDON BUS SERVICES LTD,PROVENTIA EMISSION CONTROL OY,2018-07-20,758411.25
DOCKLANDS LIGHT RAILWAY,PITTVILLE LEASING LTD,2018-07-02,756605.70
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,2018-07-13,749537.25
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,2018-07-17,749537.25
LONDON UNDERGROUND LTD,GBM SERVICES LTD,2018-07-18,723993.45
LONDON UNDERGROUND LTD,GBM SERVICES LTD,2018-06-25,723845.73
SURFACE TRANSPORT CORP,LONDON BOROUGH OF TOWER HAMLETS,2018-07-09,679168.82
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,2018-07-02,678316.07
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,2018-07-02,665965.00
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,2018-07-20,657360.67
SURFACE TRANSPORT CORP,WSP UK LTD,2018-07-11,656713.71
RAIL FOR LONDON LIMITED,JOHN F HUNT DEMOLITION LTD,2018-06-25,650839.72
LONDON BUS SERVICES LTD,PROVENTIA EMISSION CONTROL OY,2018-07-11,631318.75
LONDON UNDERGROUND LTD,HOCHTIEF UK CONSTRUCTION LTD,2018-07-18,627780.93
LONDON UNDERGROUND LTD,ENGIE SERVICES LTD,2018-07-11,619384.62
SURFACE TRANSPORT CORP,LONDON BOROUGH OF ENFIELD,2018-07-02,613543.65
LUL NOMINEE BCV LIMITED,GBM SERVICES LTD,2018-07-18,612117.49
TRANSPORT TRADING LTD,CBS OUTDOOR LIMITED,2018-07-04,599088.24
SURFACE TRANSPORT CORP,EDF ENERGY,2018-07-18,584175.85
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,2018-06-27,580203.00
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,2018-07-02,578037.00
LONDON UNDERGROUND LTD,EDF ENERGY,2018-07-17,566355.85
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LIMITED,2018-07-18,566117.00
TFL CORPORATE,SAP UK LTD,2018-06-27,559349.00
TFL CORPORATE,ESRI (UK) LIMITED,2018-06-25,551310.59
LONDON UNDERGROUND LTD,EDF ENERGY,2018-06-25,536960.80
DOCKLANDS LIGHT RAILWAY,THALES RAIL SIGNALLING SOLUTIONS,2018-06-28,533850.00
LONDON UNDERGROUND LTD,EVERSHEDS,2018-07-09,528526.36
LUL NOMINEE BCV LIMITED,LANES GROUP PLC,2018-07-18,516076.04
