Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901448822,2017-05-12,25211828.88,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900038883,2017-05-12,15181214.80,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900038871,2017-05-12,14667814.29,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109074006,2017-05-24,14504849.28,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,Bus Contract Payments,1006\1900038879,2017-05-12,12035695.42,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109068350,2017-05-24,10607532.66,
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,Civil Engineering Construction Works,1005\5109076735,2017-05-24,10298521.08,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900038881,2017-05-12,9266123.00,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900038876,2017-05-12,9137307.10,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900038878,2017-05-12,8061756.81,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109054692,2017-05-17,7761648.37,
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109078507,2017-05-26,7391525.43,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109072972,2017-05-22,6729786.59,
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109074326,2017-05-24,6661180.42,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900038872,2017-05-12,6395425.41,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900038869,2017-05-12,6355187.25,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900038885,2017-05-12,6191543.79,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900038887,2017-05-12,6175090.85,
RAIL FOR LONDON LIMITED,NETWORK RAIL,Professional Engineering Services,1020\5109065021,2017-05-24,5550000.00,
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900038884,2017-05-12,5505237.86,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109067346,2017-05-24,5390413.64,
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,Civil Engineering Construction Works,1031\5109076745,2017-05-24,5378095.50,
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109069314,2017-05-17,4984173.67,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109060102,2017-05-10,4938205.77,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900039009,2017-05-26,4895161.77,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109068395,2017-05-26,4880548.12,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900038997,2017-05-26,4767564.75,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,Bus Contract Payments,1006\1900039005,2017-05-26,3936855.26,
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,Rates - Central Listed,1005\1900197196,2017-05-17,3832000.00,
