Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901659360,07 Jun 2018,"37,370,976.83",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900040845,08 Jun 2018,"15,853,051.18",
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109340024,20 Jun 2018,"14,828,464.71",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040833,08 Jun 2018,"14,603,331.69",
LUL NOMINEE SSL LIMITED,THALES RAIL SIGNALLING SOLUTIONS,Civil Engineering Construction Works,1031\5109334497,18 Jun 2018,"14,382,537.55",
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109339783,20 Jun 2018,"12,197,471.02",
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,Civil Engineering Construction Works,1005\5109334178,20 Jun 2018,"12,073,328.64",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900040841,08 Jun 2018,"10,224,594.14",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040840,08 Jun 2018,"9,626,671.18",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900040843,08 Jun 2018,"9,379,448.39",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040838,08 Jun 2018,"8,303,844.87",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109339737,18 Jun 2018,"6,938,403.28",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900040834,08 Jun 2018,"6,406,184.75",
LONDON BUS SERVICES LTD,STAGECOACH SERVICESLTD,Bus Contract Payments,1006\1900040847,08 Jun 2018,"6,393,230.43",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040831,08 Jun 2018,"6,363,616.02",
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109337092,20 Jun 2018,"6,213,974.50",
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109335224,22 Jun 2018,"5,512,043.59",
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109331264,20 Jun 2018,"5,443,273.15",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109338557,13 Jun 2018,"5,282,578.80",
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040846,08 Jun 2018,"5,176,647.87",
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900040849,08 Jun 2018,"5,133,783.00",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900040914,22 Jun 2018,"5,117,272.42",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040902,22 Jun 2018,"4,778,231.07",
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,Rates - Central Listed,1005\1900202629,18 Jun 2018,"3,944,000.00",
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,Track General Maintenance,1031\5109342221,20 Jun 2018,"3,822,585.08",
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901659361,07 Jun 2018,"3,794,359.45",
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109339718,18 Jun 2018,"3,548,191.00",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900040910,22 Jun 2018,"3,433,001.74",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900040844,08 Jun 2018,"3,139,603.69",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Maintenance,790904,30 May 2018,"3,128,831.95",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040909,22 Jun 2018,"3,112,561.69",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900040912,22 Jun 2018,"3,055,369.04",
TRANSPORT TRADING LTD,SAVILLS COMMERCIAL LTD,Commercial Property Rent,1004\1901658970,22 Jun 2018,"3,000,546.27",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900040835,08 Jun 2018,"2,872,472.09",
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900040907,22 Jun 2018,"2,711,685.58",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040832,08 Jun 2018,"2,709,332.30",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5109339766,20 Jun 2018,"2,477,387.07",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5109331016,04 Jun 2018,"2,436,583.59",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Rolling Stock,790910,30 May 2018,"2,327,859.39",
LONDON BUS SERVICES LTD,STAGECOACH SERVICESLTD,Bus Contract Payments,1006\1900040916,22 Jun 2018,"2,122,519.30",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900040903,22 Jun 2018,"2,101,713.29",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040900,22 Jun 2018,"2,060,722.77",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900040842,08 Jun 2018,"2,021,086.15",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF EALING,Borough Services - Claim Against Pr Yr Accrual,1002\1900055175,01 Jun 2018,"2,013,652.00",
TFL CORPORATE,COMPUTACENTER,Software Maintenance,1001\5109302491,30 May 2018,"1,969,440.33",
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,Civil Engineering Construction Works,1005\5109320705,06 Jun 2018,"1,926,576.88",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,A13 PFI Service Costs,1002\5109334419,20 Jun 2018,"1,852,661.06",
SURFACE TRANSPORT CORP,HOCHTIEF UK CONSTRUCTION LTD,Contracted Services - Highway Bridges,1002\5109332761,13 Jun 2018,"1,770,804.53",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Road Maintenance,1002\5109328968,30 May 2018,"1,734,455.30",
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040915,22 Jun 2018,"1,717,273.66",
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900040918,22 Jun 2018,"1,685,392.78",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900040853,08 Jun 2018,"1,617,153.90",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900040860,08 Jun 2018,"1,614,984.28",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900040861,08 Jun 2018,"1,578,833.22",
TFL CORPORATE,DEPT OF BUSINESS ENERGY & IND STRAT,CRC Energy Efficiency Scheme,1001\1900060557,13 Jun 2018,"1,548,000.00",
TRANSPORT TRADING LTD,CB RICHARD ELLIS LTD,Commercial Property Rent,1004\1901658958,22 Jun 2018,"1,450,452.00",
TRANSPORT TRADING LTD,TIDEWAY INVESTMENT MANAGEMENT LTD,Commercial Property Rent,1004\1901659008,20 Jun 2018,"1,450,335.00",
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900040836,08 Jun 2018,"1,421,758.13",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109326314,20 Jun 2018,"1,418,917.81",
TFL CORPORATE,SENTRUM IV LIMITED,Manage IT Services,1001\5109329080,06 Jun 2018,"1,399,307.73",
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,Equipment Repairs & Maintenance,1031\5109338382,13 Jun 2018,"1,255,405.79",
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LIMITED,Franchise/Concession Fixed Fee,1020\5109327357,01 Jun 2018,"1,223,312.04",
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900040865,08 Jun 2018,"1,184,857.83",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,Bus Contract Payments,1006\1900040837,08 Jun 2018,"1,125,999.09",
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Operating Leases,1020\5109338328,13 Jun 2018,"1,121,344.63",
DOCKLANDS LIGHT RAILWAY,EDF ENERGY,Electricity,1012\5109335237,20 Jun 2018,"1,097,644.87",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES A13 PLC,A13 PFI Service Costs,1002\5109334430,20 Jun 2018,"1,070,000.00",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Contracted Services - Roads,1002\5109328861,30 May 2018,"1,031,716.92",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900040913,22 Jun 2018,"1,027,879.36",
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Road Maintenance,1002\5109328935,30 May 2018,"1,013,451.00",
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,Bus Contract Payments,1006\1900040839,08 Jun 2018,"999,850.75",
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,Bombardier Capability Payments,1033\5109329916,01 Jun 2018,"979,636.13",
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,Bombardier Capability Payments,1033\5109329917,01 Jun 2018,"979,636.13",
LUL NOMINEE BCV LIMITED,BOMBARDIER TRANSPORT UK,Bombardier Capability Payments,1033\5109337940,13 Jun 2018,"979,636.13",
TUBE LINES LTD,ALSTOM NL SERVICE PROVISION LTD,Rolling Stock,790907,30 May 2018,"972,677.77",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900040904,22 Jun 2018,"949,585.77",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900040901,22 Jun 2018,"890,588.77",
SURFACE TRANSPORT CORP,WSP UK LTD,Planning & Development Consultancy,1002\5109333734,18 Jun 2018,"819,867.00",
LONDON UNDERGROUND LTD,HOCHTIEF UK CONSTRUCTION LTD,MR Construction Costs,1005\5109339799,20 Jun 2018,"812,504.67",
TRANSPORT TRADING LTD,NW TEMPLAR HOUSE LTD,Commercial Property Rent,1004\1901658971,20 Jun 2018,"800,000.00",
LONDON UNDERGROUND LTD,MORGAN SINDALL CONST. & INFRAS. LTD,MR Construction Costs,1005\5109330827,20 Jun 2018,"745,699.07",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Office Cleaning,1005\5109333508,06 Jun 2018,"724,141.33",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF WALTHAM FOREST,Borough Services - Claim Against Pr Yr Accrual,1002\1900055112,30 May 2018,"697,126.27",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900040911,22 Jun 2018,"660,928.37",
LONDON UNDERGROUND LTD,EDF ENERGY,Electricity,1005\1900203580,01 Jun 2018,"625,121.43",
LUL NOMINEE BCV LIMITED,GBM SERVICES LTD,Operational Cleaning,1033\5109339772,20 Jun 2018,"612,007.08",
SURFACE TRANSPORT CORP,INTEROUTE MANAGED SERVICES UK LTD,Maintenance of Telecommunications Equipment,1002\5109313022,30 May 2018,"610,419.97",
LUL NOMINEE BCV LIMITED,GBM SERVICES LTD,Operational Cleaning,1033\5109333503,06 Jun 2018,"594,623.44",
LONDON UNDERGROUND LTD,COSTAIN LTD,Civil Engineering Construction Works,1005\5109329410,20 Jun 2018,"593,418.95",
TRANSPORT TRADING LTD,SAVILLS COMMERCIAL LTD,Commercial Property Rent,1004\1901659009,20 Jun 2018,"587,500.00",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF TOWER HAMLETS,Borough Services,1002\1900053895,01 Jun 2018,"582,536.05",
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004\1901659170,31 May 2018,"580,203.00",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF WALTHAM FOREST,Borough Services - Claim Against Pr Yr Accrual,1002\1900055107,30 May 2018,"569,407.12",
TFL CORPORATE,NETWORK RAIL,Planning & Development Consultancy,1001\5109326383,13 Jun 2018,"566,875.99",
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LIMITED,Operator Costs,1007\5109319139,04 Jun 2018,"566,117.00",
LONDON RIVER SERVICES LTD,BRIGGS MARINE CONTRACTORS LIMITED,Operator Costs,1007\5109330509,04 Jun 2018,"566,117.00",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900040854,08 Jun 2018,"551,975.64",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004\800036529,04 Jun 2018,"541,015.00",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004\800036528,04 Jun 2018,"521,103.00",
LUL NOMINEE BCV LIMITED,LANES GROUP PLC,Building Maintenance & Repairs,1033\5109322757,13 Jun 2018,"516,076.04",
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Contracted Services - Roads,1002\5109329259,30 May 2018,"515,285.04",
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LIMITED,Contracted Services - Roads,1002\5109330497,01 Jun 2018,"507,640.08",
