Payment Date,Amount,Organisational Unit
2018-05-22,420.00,Children and Young People (obsolete)-Childrens Care Services
2018-05-25,420.00,Children and Young People (obsolete)-Childrens Care Services
2018-05-16,4375.00,Economy and Environment (obsolete)-Housing Services - Capital
2018-05-15,54895.60,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,301123.79,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,2311.78,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,372299.14,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,6741.08,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,63820.17,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,134646.14,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,2802.82,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,34222.52,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,4280.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,132615.63,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,2800.32,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,245895.06,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,17797.68,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,30343.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,295262.66,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,9929.12,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,2052.00,Communities & Service Support (obsolete)-Recreation & Support
2018-05-16,1224.69,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-18,436.00,Economy and Environment (obsolete)-Markets
2018-05-18,4224.00,Communities & Service Support (obsolete)-Recreation & Support
2018-05-15,3776.20,Economy and Environment (obsolete)-Transport Services
2018-05-23,2159.00,Economy and Environment (obsolete)-Transport Services
2018-05-24,430.00,Economy and Environment (obsolete)-Transport Services
2018-05-14,591.95,Communities & Service Support (obsolete)-Museums & Arts
2018-05-09,13000.41,Economy and Environment (obsolete)-Highways & Engineering Services - Capital
2018-05-09,13000.41,Economy and Environment (obsolete)-Highways & Engineering Services - Capital
2018-05-16,9923.00,Economy and Environment (obsolete)-Highways & Engineering Services - Capital
2018-05-11,4030.53,Children and Young People (obsolete)-Education - Capital
2018-05-11,4212.84,Children and Young People (obsolete)-Education - Capital
2018-05-31,529.83,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-31,501.42,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-09,10.92,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-09,87.81,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-09,577.88,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-09,103.88,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-22,81342.35,Economy and Environment (obsolete)-Environmental Services
2018-05-22,90621.68,Economy and Environment (obsolete)-Environmental Services
2018-05-23,80844.75,Economy and Environment (obsolete)-Environmental Services
2018-05-23,92631.00,Economy and Environment (obsolete)-Environmental Services
2018-05-23,93574.25,Economy and Environment (obsolete)-Environmental Services
2018-05-31,102.50,Economy and Environment (obsolete)-Markets
2018-05-31,143.50,Economy and Environment (obsolete)-Markets
2018-05-31,164.00,Economy and Environment (obsolete)-Markets
2018-05-31,143.50,Economy and Environment (obsolete)-Markets
2018-05-31,184.50,Economy and Environment (obsolete)-Markets
2018-05-31,102.50,Economy and Environment (obsolete)-Markets
2018-05-31,164.00,Economy and Environment (obsolete)-Markets
2018-05-31,225.50,Economy and Environment (obsolete)-Markets
2018-05-31,205.00,Economy and Environment (obsolete)-Markets
2018-05-01,500.00,Deputy Chief Executive (obsolete)-Human Resources
2018-05-21,749.00,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-05-25,431.00,Economy and Environment (obsolete)-Markets
2018-05-03,692.00,Chief Executive's Office (obsolete)-Law & Administration Service
2018-05-03,900.00,Economy and Environment (obsolete)-Regeneration - Capital
2018-05-04,15000.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-04,11197.33,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-04,11533.33,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-04,11345.12,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-04,11197.33,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-04,11345.12,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-04,11345.12,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-04,11345.12,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-04,11533.33,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-04,6000.00,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-04,11122.42,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-04,11122.42,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-25,3066.30,Children and Young People (obsolete)-Childrens Care Services
