Body,Body name,Service label,Service divison label,Expenditure category,Detailed expenses type,Detailed expense code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name ,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East                    ,East - North East,Construction Services,Supplies and Services,Other Materials,205,15-Feb-2012,1202-00001,570.40,R,A Andrews & Sons (Marbles & Tiles),
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Operational Materials,205,08-Feb-2012,1202-00002,423.33,R,A C Entertainment Technologies Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Roseville Enterprises,Supplies and Services,Operational Furniture And Equipment,203,24-Feb-2012,1202-00003,490.00,R,A D G Engineering Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Roseville Enterprises,Supplies and Services,Operational Furniture And Equipment,203,24-Feb-2012,1202-00004,850.00,R,A D G Engineering Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East                    ,East - North East,Construction Services,Supplies and Services,Other Hired And Contracted Services,265,17-Feb-2012,1202-00005,2316.26,R,A D Simpson Construction Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East                    ,East - North East,Construction Services,Supplies and Services,Other Hired And Contracted Services,265,17-Feb-2012,1202-00006,1009.54,R,A D Simpson Construction Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East                    ,East - North East,Construction Services,Supplies and Services,Other Hired And Contracted Services,265,17-Feb-2012,1202-00007,707.65,R,A D Simpson Construction Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,28-Feb-2012,1202-00008,921.00,R,A E Speight,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,17-Feb-2012,1202-00009,442.00,R,A J H  Pump Supply & Repair Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,22-Feb-2012,1202-00010,5250.00,R,A J H  Pump Supply & Repair Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,24-Feb-2012,1202-00011,420.00,R,A J H  Pump Supply & Repair Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,24-Feb-2012,1202-00012,1727.00,R,A J H  Pump Supply & Repair Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,27-Feb-2012,1202-00013,515.00,R,A J H  Pump Supply & Repair Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Resaleable Materials,204,13-Feb-2012,1202-00014,525.00,R,A J Promotions,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,03-Feb-2012,1202-00015,13000.00,R,A Lowrie Care Service Limited,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,03-Feb-2012,1202-00016,14000.00,R,A Lowrie Care Service Limited,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,29-Feb-2012,1202-00017,13000.00,R,A Lowrie Care Service Limited,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,29-Feb-2012,1202-00018,14000.00,R,A Lowrie Care Service Limited,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Statutory Housing,Transport,Public Transport Expenses,310,09-Feb-2012,1202-00019,455.00,R,A Zoom Taxis,
http://statistics.data.gov.uk/doc/local-authority/00DA,Aire Valley Homes Leeds             ,Aire Valley Homes Leeds,Aire Valley Homes Leeds,Employees,General Training,079,02-Feb-2012,1202-00020,655.00,R,Aaa Training Co Ltd,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,15-Feb-2012,1202-00021,1170.76,R,Abbey Lea Residential Care Home,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Residential,580,15-Feb-2012,1202-00022,1163.80,R,Abbeydale Care Home,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Other Organisations,511,06-Feb-2012,1202-00023,8214.00,R,Abc Nursery At Lufc,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Other Organisations,511,28-Feb-2012,1202-00024,599.00,R,Abc Nursery At Lufc,
