Body,Body name,Service label,Service divison label,Expenditure category,Detailed expenditure type,Detailed expenditure code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,27/09/2011,1109-00001,"2,142.73",R,A & A Electrical Distributors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East ,East - North East,Construction Services,Supplies and Services,Other Materials,205,29/09/2011,1109-00002,607.20,R,A Andrews & Sons (Marbles & Tiles),,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Fostering - Placement Support,550,12/09/2011,1109-00003,"17,635.00",R,A C Construction Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Roseville Enterprises,Supplies and Services,Operational Furniture And Equipment,203,16/09/2011,1109-00004,"1,200.00",R,A D G Engineering Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,12/09/2011,1109-00005,"8,495.72",R,A E Speight,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Highways,Capital,Construction,3,27/09/2011,1109-00006,"95,719.71",C,A E Yates Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Highways,Capital,Construction,3,27/09/2011,1109-00007,"14,573.75",C,A E Yates Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,"Libraries, Arts & Heritage",Supplies and Services,Publication And Promotion,267,09/09/2011,1109-00008,"1,200.00",R,A G Jones,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,14/09/2011,1109-00009,696.00,R,A J H Pump Supply & Repair Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,14/09/2011,1109-00010,576.00,R,A J H Pump Supply & Repair Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,"Libraries, Arts & Heritage",Supplies and Services,Other Hired And Contracted Services,265,02/09/2011,1109-00011,650.00,R,A J Paraskos,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Publication And Promotion,267,15/09/2011,1109-00012,450.00,R,A J Paraskos,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Publication And Promotion,267,23/09/2011,1109-00013,450.00,R,A J Paraskos,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Publication And Promotion,267,23/09/2011,1109-00014,450.00,R,A J Paraskos,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,"Libraries, Arts & Heritage",Supplies and Services,Resaleable Materials,204,30/09/2011,1109-00015,469.14,R,A J Promotions,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,28/09/2011,1109-00016,"13,000.00",R,A Lowrie Care Service Limited,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,28/09/2011,1109-00017,"14,000.00",R,A Lowrie Care Service Limited,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Customer Services,Supplies and Services,Other Hired And Contracted Services,265,05/09/2011,1109-00018,593.40,R,A Mohammed,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Operational Materials,205,16/09/2011,1109-00019,"1,044.00",R,A Newton,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,16/09/2011,1109-00020,"3,927.90",R,A O Smith Water Products Company Uk,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Statutory Housing,Transport,Public Transport Expenses,310,09/09/2011,1109-00021,"2,440.00",R,A Zoom Taxis,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Highways,Supplies and Services,Printing,215,30/09/2011,1109-00022,"1,097.00",R,Ab Co (Design & Print) Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Highways,Supplies and Services,Printing,215,30/09/2011,1109-00023,440.00,R,Ab Co (Design & Print) Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,28/09/2011,1109-00024,"1,170.76",R,Abbey Lea Residential Care Home,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Residential,580,28/09/2011,1109-00025,"1,163.80",R,Abbeydale Care Home,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Other Organisations,511,08/09/2011,1109-00026,"2,991.45",R,Abc Daycare,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Other Organisations,511,09/09/2011,1109-00027,"5,025.64",R,Abc Nursery At Lufc,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,02/09/2011,1109-00028,"2,890.00",C,Able Bathing & Building Contractors Ltd,,,
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,02/09/2011,1109-00029,"2,890.00",C,Able Bathing & Building Contractors Ltd,,,
