Supplier Name,Category Family,Invoice GL Date,Spend
1st Inrail Ltd,General Civils,2017-10-24,45843.55
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2017-10-31,49510.00
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2017-10-31,49936.00
ABB Ltd,Electrification and Fixed Plant,2017-10-12,1134509.51
ABB Ltd,Electrification and Fixed Plant,2017-10-19,41087.00
ABC Electrification Ltd,Electrification and Fixed Plant,2017-10-03,113922.78
ABC Electrification Ltd,Electrification and Fixed Plant,2017-10-30,149582.45
ABC Electrification Ltd,Electrification and Fixed Plant,2017-10-03,1297448.37
ABC Electrification Ltd,Electrification and Fixed Plant,2017-10-30,1734830.24
ABC Electrification Ltd,Electrification and Fixed Plant,2017-10-20,2348626.06
ABC Electrification Ltd,Electrification and Fixed Plant,2017-10-26,1197644.83
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-07,26196.94
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-10-31,29576.38
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-10-03,233922.16
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-10-23,193210.85
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-10-31,28897.97
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-05,51541.83
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-05,38452.79
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-31,40294.50
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-10-03,27602.31
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-10-03,38182.97
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-10-31,53085.97
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-10-30,43286.12
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-05,88424.51
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-03,76923.00
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-25,76953.63
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-06,76225.91
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-02,53846.00
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-23,53846.00
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-27,39087.82
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-27,250000.00
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-10-24,79983.82
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-02,45384.00
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-23,48384.00
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-10-18,44307.00
AECOM Infrastructure & Environment UK Ltd,General Civils,2017-10-03,53275.00
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-23,31869.05
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-03,181369.17
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-02,38461.00
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-23,38461.00
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-02,128758.23
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-23,130758.23
AECOM Infrastructure & Environment UK Ltd,Track,2017-10-02,280044.31
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-10-03,53424.09
AECOM Ltd,Professional Services Direct,2017-10-05,336278.99
AECOM Ltd,General Civils,2017-10-24,53170.14
AECOM Ltd,General Civils,2017-10-24,68685.17
AECOM Ltd,Professional Services Direct,2017-10-02,59155.73
AECOM Ltd,General Civils,2017-10-02,38833.46
AEG Power Solutions Ltd,,2017-10-05,26824.00
AEG Power Solutions Ltd,Electrification and Fixed Plant,2017-10-26,28027.30
AM1 Projects Ltd,Electrification and Fixed Plant,2017-10-13,62313.92
APCOA Parking (UK) Ltd,Facilities - Soft Services,2017-10-11,188431.32
ASE Corporate Eyecare Ltd,HR and Training,2017-10-25,39592.44
AXA PPP Healthcare Admin Services Ltd T/A PPP Healthcare,HR and Training,2017-10-19,166974.75
AXA PPP Healthcare Admin Services Ltd T/A PPP Healthcare,HR and Training,2017-10-12,169041.41
AXA PPP Healthcare Admin Services Ltd T/A PPP Healthcare,HR and Training,2017-10-19,201407.38
Abellio East Anglia Ltd t/a Greater Anglia,Supplies and Services,2017-10-19,31600.80
Abellio East Anglia Ltd t/a Greater Anglia,Regulatory Charges,2017-10-19,360000.00
Abellio East Anglia Ltd t/a Greater Anglia,Telecoms,2017-10-24,27531.69
Abellio Greater Anglia Ltd,Regulatory Charges,2017-10-18,2999215.00
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2017-10-04,441882.86
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2017-10-25,397071.25
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2017-10-13,495367.22
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2017-10-26,26360.00
Abellio Transport Holdings Ltd t/a Abellio Corporate Travel,HR and Training,2017-10-25,364276.78
Addleshaw Goddard,Land & Property Acquisitions (incl. Business Consultancy),2017-10-11,139996.53
Addleshaw Goddard,Land & Property Acquisitions (incl. Business Consultancy),2017-10-19,29714.90
Addleshaw Goddard,Land & Property Acquisitions (incl. Business Consultancy),2017-10-30,64106.05
Adviserplus Business Solutions Ltd,HR and Training,2017-10-13,104856.00
Aggregate Industries UK Ltd,Logistics,2017-10-05,49496.50
Aggregate Industries UK Ltd,Logistics,2017-10-05,51465.65
Aggregate Industries UK Ltd,Logistics,2017-10-24,49960.00
Alan Dick Communications Ltd,Telecoms,2017-10-27,56253.92
Alexander Coaching LLP,HR and Training,2017-10-24,30000.00
Allstar Business Solutions Ltd,Road Fleet,2017-10-12,338826.84
Allstar Business Solutions Ltd,Road Fleet,2017-10-05,314373.95
Allstar Business Solutions Ltd,Road Fleet,2017-10-12,363509.84
Allstar Business Solutions Ltd,Road Fleet,2017-10-24,350963.28
Alstom Transport UK Ltd,Signalling,2017-10-06,2350521.53
Alstom Transport UK Ltd,Signalling,2017-10-09,936480.87
Alstom Transport UK Ltd,Signalling,2017-10-04,4449719.79
Altran UK Ltd,Professional Services Direct,2017-10-24,69539.45
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-30,213326.32
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-06,63492.48
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-24,64155.42
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-26,161779.29
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-25,187269.98
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-17,168837.71
Alun Griffiths (Contractors) Ltd,Buildings,2017-10-05,287915.04
Alun Griffiths (Contractors) Ltd,Buildings,2017-10-30,266986.45
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-10,247854.41
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-10,300936.79
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-16,454997.01
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-20,111228.48
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-16,218176.91
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-11,27876.39
Alun Griffiths (Contractors) Ltd,General Civils,2017-10-19,55713.18
Alun Griffiths (Contractors) Ltd,Buildings,2017-10-04,35885.00
Amalgamated Construction Ltd,General Civils,2017-10-24,37561.77
Amalgamated Construction Ltd,General Civils,2017-10-03,67135.98
Amalgamated Construction Ltd,General Civils,2017-10-24,37321.40
Amalgamated Construction Ltd,Buildings,2017-10-09,27773.60
Amalgamated Construction Ltd,Buildings,2017-10-05,92998.17
Amalgamated Construction Ltd,General Civils,2017-10-24,61335.85
Amalgamated Construction Ltd,Buildings,2017-10-24,245442.45
Amalgamated Construction Ltd,General Civils,2017-10-03,36379.76
Amalgamated Construction Ltd,General Civils,2017-10-27,30772.77
Amalgamated Construction Ltd,General Civils,2017-10-03,52284.72
Amalgamated Construction Ltd,General Civils,2017-10-27,39554.04
Amalgamated Construction Ltd,General Civils,2017-10-27,58543.66
Amalgamated Construction Ltd,General Civils,2017-10-09,110450.09
Amalgamated Construction Ltd,General Civils,2017-10-31,117044.21
Amalgamated Construction Ltd,General Civils,2017-10-10,198032.84
Amalgamated Construction Ltd,General Civils,2017-10-25,131234.42
Amalgamated Construction Ltd,Professional Services Direct,2017-10-10,105524.25
Amalgamated Construction Ltd,General Civils,2017-10-04,272958.04
Amalgamated Construction Ltd,General Civils,2017-10-02,108243.16
Amalgamated Construction Ltd,General Civils,2017-10-30,96534.44
Amalgamated Construction Ltd,General Civils,2017-10-02,75872.72
Amalgamated Construction Ltd,General Civils,2017-10-02,69064.32
Amalgamated Construction Ltd,General Civils,2017-10-30,524843.83
Amalgamated Construction Ltd,General Civils,2017-10-30,182700.22
