Supplier Name,Category Family,Invoice GL Date,Spend
1Spatial Group Ltd,Information Technology,2018-08-09,93925.00
1Spatial Group Ltd,Information Technology,2018-08-07,152593.00
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-08-06,42058.00
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-08-06,29873.00
ABB Ltd,Electrification and Fixed Plant,2018-08-01,25054.50
ABB Ltd,Electrification and Fixed Plant,2018-08-01,69046.50
ABB Ltd,Electrification and Fixed Plant,2018-08-27,26857.50
ABB Ltd,Electrification and Fixed Plant,2018-08-10,947918.87
ABC Electrification Ltd,Electrification and Fixed Plant,2018-08-07,464213.15
ABC Electrification Ltd,Electrification and Fixed Plant,2018-08-08,3041668.52
ABC Electrification Ltd,Electrification and Fixed Plant,2018-08-09,106658.77
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-16,104764.31
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-16,70512.48
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-08-17,38414.37
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-08-17,47548.71
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-08-27,32716.04
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-02,77614.30
AECOM Infrastructure & Environment UK Ltd,General Civils,2018-08-14,83588.39
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-08-08,27366.80
AECOM Infrastructure & Environment UK Ltd,Land & Property Acquisitions (incl. Business Consultancy),2018-08-08,79439.60
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-02,215383.85
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-04,61539.10
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-03,93197.20
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-09,157671.74
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-03,42895.56
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-02,85083.08
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-02,58150.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-02,72318.91
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-02,221182.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-02,116276.18
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-03,178137.22
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-13,187758.90
AECOM Infrastructure & Environment UK Ltd,Track,2018-08-03,85001.06
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-08-12,32559.42
AECOM Ltd,General Civils,2018-08-17,74637.74
AECOM Ltd,Professional Services Direct,2018-08-19,338925.70
AECOM Ltd,General Civils,2018-08-17,236160.68
AECOM Ltd,General Civils,2018-08-27,310685.28
AECOM Ltd,General Civils,2018-08-17,56191.80
AECOM Ltd,General Civils,2018-08-27,76215.05
AECOM Ltd,General Civils,2018-08-06,559059.80
AECOM Ltd,Professional Services Direct,2018-08-06,166430.29
