Supplier Name,Category Family,Invoice GL Date,Spend
1st Inrail Ltd,Track,2017-09-12,46159.64
1st Inrail Ltd,General Civils,2017-09-07,26020.27
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2017-09-14,26000.00
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2017-09-01,44422.58
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2017-09-05,42810.00
23red Ltd,Land & Property Acquisitions (incl. Business Consultancy),2017-09-28,73925.00
ABB Ltd,Electrification and Fixed Plant,2017-09-18,65721.25
ABB Ltd,Electrification and Fixed Plant,2017-09-08,409233.23
ABC Electrification Ltd,Electrification and Fixed Plant,2017-09-06,85445.12
ABC Electrification Ltd,Electrification and Fixed Plant,2017-09-14,42427.31
ABC Electrification Ltd,Electrification and Fixed Plant,2017-09-20,48519.55
ABC Electrification Ltd,Electrification and Fixed Plant,2017-09-05,3230365.21
ABC Electrification Ltd,Electrification and Fixed Plant,2017-09-01,2652123.30
ABC Electrification Ltd,Electrification and Fixed Plant,2017-09-22,2279015.01
ABC Electrification Ltd,Electrification and Fixed Plant,2017-09-01,1303173.87
ABC Electrification Ltd,Electrification and Fixed Plant,2017-09-25,1188648.64
AECOM Infrastructure & Environment UK Ltd,Track,2017-09-01,76153.27
AECOM Infrastructure & Environment UK Ltd,Track,2017-09-05,25492.27
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-09-26,54924.96
AECOM Infrastructure & Environment UK Ltd,Track,2017-09-06,76923.00
AECOM Infrastructure & Environment UK Ltd,General Civils,2017-09-11,63329.66
AECOM Infrastructure & Environment UK Ltd,General Civils,2017-09-11,84318.28
AECOM Infrastructure & Environment UK Ltd,General Civils,2017-09-26,101323.33
AECOM Infrastructure & Environment UK Ltd,Track,2017-09-01,128591.93
AECOM Infrastructure & Environment UK Ltd,Track,2017-09-06,46827.84
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2017-09-25,70328.16
AECOM Infrastructure & Environment UK Ltd,Track,2017-09-07,34437.01
AECOM Infrastructure & Environment UK Ltd,Track,2017-09-06,45384.00
AECOM Infrastructure & Environment UK Ltd,Track,2017-09-05,32525.05
AECOM Infrastructure & Environment UK Ltd,Track,2017-09-05,38461.00
AECOM Infrastructure & Environment UK Ltd,Track,2017-09-01,45952.42
AECOM Infrastructure & Environment UK Ltd,Track,2017-09-01,128758.38
