Supplier Name,Item Description,Category Family,Invoice GL Date,Spend
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-03-21,21693188.38
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-03-17,16670491.94
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-03-23,5946709.45
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-23,2607954.81
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-03-16,2318047.35
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-03-06,686882.48
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-23,330321.01
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-30,300330.10
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-03-20,285848.57
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-17,242603.91
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-23,240083.00
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-03-20,207850.10
Costain Ltd,Procurement of infrastructure support services such as de-vegetation and fencing to operate the railway,Infrastructure Support Services,2017-03-21,183607.12
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-30,158541.66
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-03,153000.00
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-03-29,150000.00
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-20,122642.79
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-23,106454.28
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-03-08,103828.01
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-03-13,103818.07
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-02,94294.96
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-21,90874.95
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-03-30,89678.91
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-03-13,86384.59
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-20,71972.20
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-23,68303.69
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-03-06,63215.06
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-21,54272.96
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-29,51961.00
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-21,49901.54
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-20,44084.55
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-21,43215.46
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-11,37000.00
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-03-30,37000.00
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-29,33067.00
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-03,31580.76
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-23,30000.00
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-03-23,29049.69
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-03-23,26000.00
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-03-21,25859.77
Siemens Rail Automation Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-03-24,4246321.00
