Supplier Name,Item Description,Category Family,Invoice GL Date,Spend
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-24,23520332.46
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-23,13865983.13
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-24,6046343.67
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-30,894496.96
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,885541.50
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-05,885227.29
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,176459.02
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-12,174331.39
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-19,164455.00
Costain Ltd,Procurement of infrastructure support services such as de-vegetation and fencing to operate the railway,Infrastructure Support Services,2017-01-26,155106.16
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-04,142186.30
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,133345.40
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,128466.96
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,127332.69
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,126353.76
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-11,119055.18
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-23,115957.43
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-24,98383.50
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-19,96728.44
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-04,81464.24
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,69911.03
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-11,68009.14
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-23,52593.37
Costain Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-01-20,32889.82
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-26,30495.43
Costain Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-23,29614.02
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,27578.39
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-04,27510.18
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,27456.00
Costain Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-01-20,27132.84
Atkins Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-05,38877172.85
Atkins Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-31,1537721.14
Atkins Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-13,1335698.35
Atkins Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-02,1273754.82
Atkins Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-01-03,1161259.51
Atkins Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-01-11,289397.46
