Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract
Wakefield MDC,E08000036,2016-03-31,CHILDYOU,4,Children's and Education Services,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,2016-02-29,22992104,1,1620.00,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Education & Careers,SUBCAT0502,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,TYNETEC LTD,Redacted,Not yet available,Not yet available,Not yet available,2016-02-29,22989338,1,3691.00,Nil,Adaptations,Revenue,ICT,CAT11,Systems & Software,SUBCAT1108,Computer Systems & Software (Development),20703,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,TYNETEC LTD,Redacted,Not yet available,Not yet available,Not yet available,2016-02-17,22985335,1,3466.23,Nil,Adaptations,Revenue,ICT,CAT11,Systems & Software,SUBCAT1108,Computer Systems & Software (Development),20703,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,YORKSHIRE HOUSING LTD,Redacted,Not yet available,Not yet available,Not yet available,2016-01-14,22956149,1,2190.50,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,"Housing Associations, Societies, Trusts & Co-Opera",44166,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Not yet available,Not yet available,Not yet available,2016-01-21,22961555,1,1045.62,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Not yet available,Not yet available,Not yet available,2016-03-08,22994379,1,679.30,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Not yet available,Not yet available,Not yet available,2016-02-04,22967479,1,922.50,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Not yet available,Not yet available,Not yet available,2016-02-04,22968667,1,1380.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Not yet available,Not yet available,Not yet available,2016-03-01,22992495,1,632.50,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2016-03-15,23006627,1,535.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2016-03-31,23014319,1,700.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2016-01-25,22946425,1,3092.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2016-03-04,23001970,1,1460.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2016-03-04,23001975,1,636.50,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2016-03-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,2016-02-04,22968393,1,1375.95,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
