Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),SERCOP URI,Supplier Name,Supplier ID,Comp. reg. no,Charity Number,VCSE Grant,Payment Date,TransNo,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract
Wakefield MDC,E08000036,2019-03-31,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,LEEDS COMMERCIAL LTD,Redacted,00587618,N/A,Not yet available,2019-01-29,23773125,1,539.25,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Vehicle and Plant Hire,SUBCAT1010,Van & Truck & Car Hire,82050,Not yet available
Wakefield MDC,E08000036,2019-03-31,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,LEEDS COMMERCIAL LTD,Redacted,00587618,N/A,Not yet available,2019-02-12,23773124,1,783.76,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Vehicle and Plant Hire,SUBCAT1010,Van & Truck & Car Hire,82050,Not yet available
Wakefield MDC,E08000036,2019-03-31,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,LEEDS COMMERCIAL LTD,Redacted,00587618,N/A,Not yet available,2019-02-15,23739262,1,965.00,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Vehicle and Plant Hire,SUBCAT1010,Van & Truck & Car Hire,82050,Not yet available
Wakefield MDC,E08000036,2019-03-31,CHILDYOU,4,Children\xB4s and Education Services,CROFTON ACADEMY,Redacted,07646836,EXEMPT,Not yet available,2019-02-07,23780829,1,6839.00,Nil,Accomodation Recharge - Resource Centres,Revenue,Children and Young People,CAT05,Education & Careers,SUBCAT0502,Schools - Independent & Preparatory,67860,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2019-03-25,23720070,1,549.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2019-03-12,23771106,1,636.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2019-03-25,23751820,1,742.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2019-03-08,23737057,1,780.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2019-01-15,23776763,1,828.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2019-03-07,23778219,1,830.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2019-03-21,23756208,1,918.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2019-02-22,23761965,1,960.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,09055079,N/A,Not yet available,2019-01-28,23756205,1,1011.80,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2019-02-20,23760174,1,555.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2019-01-14,23773307,1,609.97,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2019-03-22,23775760,1,625.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2019-03-05,23779581,1,650.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS LIMITED,Redacted,NI018971,N/A,Not yet available,2019-01-14,23772327,1,1265.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Specialist Medical Health Equipment and Services,SUBCAT0404,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,N/A,N/A,Not yet available,2019-01-10,23739602,1,610.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,N/A,N/A,Not yet available,2019-01-10,23739617,1,725.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,N/A,N/A,Not yet available,2019-01-10,23754924,1,750.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,N/A,N/A,Not yet available,2019-01-10,23754925,1,750.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2019-03-31,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,N/A,N/A,Not yet available,2019-01-10,23760198,1,790.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available
