Organisation Name,Organisation Code,Effective Date,Service,Bvacopse,Bvacopse(T),Supplier Name,Purpose Of Spend,Type,TransNo,Seq No,Payment Date,Net Amount,Irrecoverable VAT,Merchant Category,TT,Contract
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,AMZNMktplace,Activities School Improvement,Revenue,161522,340,2022-01-17,8.32,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,AMZNMktplace,Activities School Improvement,Revenue,161522,341,2022-01-17,9.29,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,CHILDYOU,4,Children's and Education Services,AMZNMktplace,Activities School Improvement,Revenue,161522,342,2022-01-17,11.67,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,5X9PKA3MA2,Advertising,Revenue,161544,316,2022-03-10,700.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBK 3DQLLAFLA2,Advertising,Revenue,161544,210,2022-03-10,422.93,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBK 92J3X8BLA2,Advertising,Revenue,161521,282,2022-01-13,700.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBK C53BD9BLA2,Advertising,Revenue,161521,292,2022-01-13,251.78,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBK DAE4ABTLA2,Advertising,Revenue,161554,350,2022-03-31,700.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBK E3VLRA3LA2,Advertising,Revenue,161548,905,2022-03-22,700.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBK FBX5L9BLA2,Advertising,Revenue,161534,460,2022-02-09,700.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBK LM93L93MA2,Advertising,Revenue,161534,84,2022-02-09,700.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBK MZS5N93LA2,Advertising,Revenue,161534,87,2022-02-09,114.40,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBK UZZYR73MA2,Advertising,Revenue,161521,323,2022-01-13,700.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBK X4G2DAFLA2,Advertising,Revenue,161544,180,2022-03-10,699.99,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBK Y7ZSZAXKA2,Advertising,Revenue,161534,500,2022-02-09,700.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2022-03-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBK YAYKH83MA2,Advertising,Revenue,161521,290,2022-01-13,700.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
