Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),SERCOP URI,Supplier Name,Purpose Of Spend,Type,TransNo,Seq No,Payment Date,Net Amount,Irrecoverable VAT,Merchant Category,P-Card Tran,Contract
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,LEVERHULME HOTEL & SPA,Adoption Support Fund Expenditure,Revenue,161363,53,2020-11-26,80.00,Nil,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,REGENCULT,L,Cultural and Related Services,FACEBOOK,Advertising,Revenue,161375,3,2020-12-18,1.75,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,REGENCULT,P,Public Health,FACEBOOK,Advertising,Revenue,161339,153,2020-10-07,17.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,REGENCULT,L,Cultural and Related Services,FACEBOOK,Advertising,Revenue,161375,2,2020-12-18,20.83,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,REGENCULT,L,Cultural and Related Services,FACEBOOK,Advertising,Revenue,161375,181,2020-12-18,25.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
0,E08000036,2020-12-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,161343,61,2020-10-15,187.55,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,SURVEYMONKEY,Advertising,Revenue,161346,9,2020-10-21,320.00,Nil,"COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS",GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,161362,93,2020-11-25,464.77,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,161370,259,2020-12-11,615.34,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,161343,41,2020-10-15,700.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,161362,52,2020-11-25,700.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,161370,18,2020-12-11,700.00,Nil,ADVERTISING SERVICES,GPC,Not yet available
Wakefield WMDC,E08000036,2020-12-31,CHILDYOU,4,Children's and Education Services,ARGOS LTD,Assistance to Families (Section 34),Revenue,161369,113,2020-12-09,-179.00,Nil,DISCOUNT STORES,GPC,Not yet available
