Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-12-18,18 SEA VIEW VILLAS,8208298,revenue,1MK34,Shared Lives - Adult LD,1696
Resources,ICT,Capital Expenditure,2020-12-16,4NET TECHNOLOGIES LTD,8206367,Capital,2CAPI,Capital Investment,16328.7
Resources,ICT,Revenue Expenditure,2020-12-21,4NET TECHNOLOGIES LTD,8210051,revenue,1CC24,Telecoms,3915.65
Resources,ICT,Revenue Expenditure,2020-12-23,4NET TECHNOLOGIES LTD,8207214,revenue,1CC24,Telecoms,3742.28
Resources,ICT,Revenue Expenditure,2020-12-17,4NET TECHNOLOGIES LTD,8207556,revenue,1CC24,Telecoms,2987.03
Place,Fairer Housing Unit,Capital Expenditure,2020-12-21,A & G JOINERY AND BUILDING,8210768,Capital,2N101,Capital Grants,4912.25
Operations & Reg Services,Operations,Revenue Expenditure,2020-12-03,A S PNEUMATICS,8189421,revenue,1KESA,Maintenance Workshops,4650
Place,Commercial Dev & Property,Revenue Expenditure,2020-12-17,A T F RETAIL LTD,8188851,revenue,1DV03,Old Eldon Square,3500
Place,Commercial Dev & Property,Revenue Expenditure,2020-12-17,A T F RETAIL LTD,8188860,revenue,1DY85,Higham House,2500
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-12-23,A&J KEITH LTD,8194909,revenue,1KVWC,Minor Works Contracts,315
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-12-17,A&J KEITH LTD,8207307,revenue,1KVWC,Minor Works Contracts,5867.2
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-12-09,A&J KEITH LTD,8200264,revenue,1KBRM,Sub Contractors R & M,38098
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-12-09,A&J KEITH LTD,8200265,revenue,1KR20,M&E Electrical,244039.8
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-12-09,A&J KEITH LTD,8200266,revenue,1KR20,M&E Electrical,141097.38
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-12-09,A&J KEITH LTD,8199970,revenue,1KVWC,Minor Works Contracts,107660.17
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-12-09,A&J KEITH LTD,8199971,revenue,1KVWC,Minor Works Contracts,6116.5
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-12-07,A1 FOSTER CARE,8197675,revenue,1MC22,IND Sector Foster Carer Costs,7920
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-12-17,AA GLOBAL LANGUAGES SERVICES LTD,8203249,revenue,1MC20,In-House Foster Carer Costs,74.00
