Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2021-08-27,18 SEA VIEW VILLAS,8406050,revenue,1MK34,Shared Lives - Adult LD,1696
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2021-08-03,18 SEA VIEW VILLAS,8388388,revenue,1MK34,Shared Lives - Adult LD,1696.00
Resources,ICT,Revenue Expenditure,2021-08-10,4NET TECHNOLOGIES LTD,8393240,revenue,1CC24,Telecoms,1800
Resources,ICT,Revenue Expenditure,2021-08-19,4NET TECHNOLOGIES LTD,8393831,revenue,1CC24,Telecoms,11414.55
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-08-16,A WILDERNESS WAY,8398132,revenue,1MC02,Ind Sector Placements,29800
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-08-16,A WILDERNESS WAY,8398133,revenue,1MC02,Ind Sector Placements,27200
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-08-16,A WILDERNESS WAY,8382816,revenue,1MD62,Support to CIC,3323.52
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-08-16,A WILDERNESS WAY,8382817,revenue,1MD62,Support to CIC,2954.24
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-08-16,A WILDERNESS WAY,8382818,revenue,1MD62,Support to CIC,2584.96
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-08-16,A WILDERNESS WAY,8382820,revenue,1MD62,Support to CIC,738.56
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-08-16,A WILDERNESS WAY,8390416,revenue,1MD62,Support to CIC,259.20
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-08-13,A&J KEITH LTD,8397220,revenue,1KVWC,Minor Works Contracts,108685.18
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-08-13,A&J KEITH LTD,8397224,revenue,1KVWC,Minor Works Contracts,19987.09
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-08-25,A&J KEITH LTD,8404552,revenue,1KBRM,Sub Contractors R & M,52269.50
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-08-25,A&J KEITH LTD,8404553,revenue,1KBRM,Sub Contractors R & M,83431.42
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-08-11,A&J KEITH LTD,8395840,revenue,1KBRM,Sub Contractors R & M,42626.07
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-08-11,A&J KEITH LTD,8395839,revenue,1KR20,M&E Electrical,276699.36
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2021-08-11,A&J KEITH LTD,8395845,revenue,1KR20,M&E Electrical,36966.22
Operations & Reg Services,Community Hubs,Revenue Expenditure,2021-08-25,A&S LOCKSMITHS,8404843,revenue,1KL84,Out of Scope Open Space,484.86
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2021-08-16,A1 FOSTER CARE,8398092,revenue,1MC22,IND Sector Foster Carer Costs,4560
Operations & Regulatory Services,Operations,Revenue Expenditure,2021-08-20,AAA CHEMICALS LTD,8398393,revenue,3KES1,Fleetmaster Stores Account,968
