Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
Resources,Human Resources,Revenue Expenditure,2022-03-29,16 DEGREE SHIFT TRAINING & CONSULT LTD,8573807,revenue,1FP40,Health & Safety Team,1395.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-03-15,18 SEA VIEW VILLAS,8569458,revenue,1MK34,Shared Lives - Adult LD,1729.92
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-03-04,3E CONSULTING ENGINEERS LTD,8560978,revenue,1KR01,Responsive Maintenance,750
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-03-01,3E CONSULTING ENGINEERS LTD,8558249,revenue,1KR01,Responsive Maintenance,750
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2022-03-11,A&J KEITH LTD,8542355,revenue,1EEE1,Community Family Hub - East,320.00
HRA Expenditure,Special Services,Revenue Expenditure,2022-03-11,A&J KEITH LTD,8543174,revenue,1HP01,Comm. Centres - Citywide,1336
HRA Expenditure,Special Services,Revenue Expenditure,2022-03-11,A&J KEITH LTD,8542169,revenue,1HP01,Comm. Centres - Citywide,268.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-03-25,A&J KEITH LTD,8568197,revenue,1KBM1,Public & Educ Depot,388
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-03-18,A&J KEITH LTD,8571970,revenue,1KBRM,Sub Contractors R & M,54029.31
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-03-18,A&J KEITH LTD,8571969,revenue,1KR20,M&E Electrical,244973.87
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-03-18,A&J KEITH LTD,8571974,revenue,1KR20,M&E Electrical,19647.66
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-03-18,A&J KEITH LTD,8571419,revenue,1KVWC,Minor Works Contracts,500
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-03-17,A&J KEITH LTD,8571406,revenue,1KVWC,Minor Works Contracts,213467.92
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-03-11,A&J KEITH LTD,8542166,revenue,1KVWC,Minor Works Contracts,2700
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-03-25,A1 FOSTER CARE,8578188,revenue,1MC22,IND Sector Foster Carer Costs,4560.00
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-03-24,AAA CHEMICALS LTD,8566868,revenue,3KES1,City Transport Stock,484.00
City Futures,Economic Development,Revenue Expenditure,2022-03-21,AARDVARK ONLINE TRADING LTD,8572872,revenue,1FN23,ERDF-Business Energy Effciency,3195.71
"Children, Education and Skills",Education,Revenue Expenditure,2022-03-22,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,8575023,revenue,1EA15,Newcastle City Learning Main,539
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-03-01,ABBEYFIELD CASTLE FARM,8557963,revenue,1MG20,Residential Care OP,8172.84
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-03-29,ABBEYFIELD CASTLE FARM,8580916,revenue,1MG20,Residential Care OP,8172.84
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-03-01,ABBEYFIELD THE GROVE,8557955,revenue,1MG20,Residential Care OP,10897.12
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-03-29,ABBEYFIELD THE GROVE,8580909,revenue,1MG20,Residential Care OP,10897.12
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-03-01,ABBEYMOOR,8557964,revenue,1MH10,Nursing Care PD,6078.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-03-29,ABBEYMOOR,8580917,revenue,1MH10,Nursing Care PD,6078.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-03-01,ABBEYMOOR LIFEWAYS,8558001,revenue,1MH10,Nursing Care PD,6078.68
