Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals,Revenue Expenditure,2018-02-14,3663,7419134,Revenue,1KF07,Banqueting Suite,255.44
Environment & Regeneration,E & R School Meals,Revenue Expenditure,2018-02-07,3663,7419135,Revenue,1KF07,Banqueting Suite,440.33
Environment & Regeneration,E & R School Meals,Revenue Expenditure,2018-02-16,3663,7424058,Revenue,1KF07,Banqueting Suite,260.76
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2018-02-06,18 SEA VIEW VILLAS,7428101,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Environment & Regeneration,E&R - Technical Consultancy,Capital Expenditure,2018-02-27,3E CONSULTING ENGINEERS LTD,7442849,Capital,2CAPI,Capital Investment,1125.00
Environment & Regeneration,NS: Waste Management,Revenue Expenditure,2018-02-16,A & C WEBER UK,7377478,Revenue,1KE41,Domestic Refuse Collection,1938.00
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,2018-02-05,A WILDERNESS WAY,7404584,Revenue,1MC02,Ind Sector Placements,23400.00
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,2018-02-05,A WILDERNESS WAY,7427253,Revenue,1MC02,Ind Sector Placements,40411.43
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-02-23,A&J KEITH LTD,7444234,Revenue,1KVWC,Minor Works Contracts,17626.50
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-02-23,A&J KEITH LTD,7444233,Revenue,1KVWC,Minor Works Contracts,33439.85
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-02-09,A&J KEITH LTD,7426609,Revenue,1KVEE,Electrical Stand Alone Works,450.00
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2018-02-13,A&J KEITH LTD,7434284,Revenue,1KBRM,Sub Contractors R & M,176251.94
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2018-02-13,A&J KEITH LTD,7434289,Revenue,1KBRM,Sub Contractors R & M,15511.45
Environment & Regeneration,NS: Repairs & Maintenance,Revenue Expenditure,2018-02-21,A&J KEITH LTD,7441840,Revenue,1KVEE,Electrical Stand Alone Works,4600.00
Environment & Regeneration,Cityworks Parks & C/side,Revenue Expenditure,2018-02-09,A&S LOCKSMITHS,7431863,Revenue,1KL61,Parks R&M,437.27
Environment & Regeneration,NS: Asset Man,Revenue Expenditure,2018-02-15,A&S LOCKSMITHS,7405812,Revenue,1DTS1,I&D Property Services,1038.35
Environment & Regeneration,Blacksmiths,Revenue Expenditure,2018-02-06,AAA CHEMICALS LTD,7424967,Revenue,1KE69,City Centre Cleansing,726.00
HRA,HRA Planning QS,Capital Expenditure,2018-02-02,AARAN BUILDERS (NE) LTD,7419248,Capital,2HE01,Capital Citywide,6384.00
