Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals,Revenue Expenditure,2017-10-23,3663,7333861,Revenue,1KF07,Banqueting Suite,469.35
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-10-17,18 SEA VIEW VILLAS,7341375,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2017-10-20,A & C WEBER UK,7212936,Revenue,1KE41,Domestic Refuse Collection,2105.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2017-10-24,A & C WEBER UK,7347031,Revenue,1KE41,Domestic Refuse Collection,4210.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2017-10-24,A & C WEBER UK,7345263,Revenue,1KE41,Domestic Refuse Collection,4210.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2017-10-24,A & C WEBER UK,7347030,Revenue,1KE41,Domestic Refuse Collection,2947.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2017-10-24,A & C WEBER UK,7347029,Revenue,1KE41,Domestic Refuse Collection,4210.00
Environment & Regeneration,Fleet Management System,Revenue Expenditure,2017-10-13,A S PNEUMATICS,7339635,Revenue,1KENB,Fleet Workshops OH,320.00
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,2017-10-20,A WILDERNESS WAY,7344676,Revenue,1MC02,Ind Sector Placements,23400.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-10-18,A&J KEITH LTD,7342179,Revenue,1KVWC,Minor Works Contracts,2978.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-10-30,A&J KEITH LTD,7351100,Revenue,1KVWC,Minor Works Contracts,93902.15
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-10-16,A&J KEITH LTD,7340533,Revenue,1KBRM,Sub Contractors R & M,108962.71
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-10-11,A&J KEITH LTD,7338000,Revenue,1KBRM,Sub Contractors R & M,11036.75
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-10-30,AA GLOBAL LANGUAGES SERVICES LTD,7352054,Revenue,1CR01,Revs and Bens Supp&Svs,166.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-10-30,AA GLOBAL LANGUAGES SERVICES LTD,7352054,Revenue,1VH26,Housing Advice Centre,25.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-10-30,AA GLOBAL LANGUAGES SERVICES LTD,7352054,Revenue,1MD62,Support to LAC,218.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-10-30,AA GLOBAL LANGUAGES SERVICES LTD,7352054,Revenue,1FT08,Translation Unit,226.00
Environment & Regeneration,Fleet Management System,Revenue Expenditure,2017-10-06,AAA CHEMICALS LTD,7334671,Revenue,3KES1,Fleetmaster Stores Account,726.00
